,OTU_2,OTU_1,OTU_3,OTU_9,OTU_8,OTU_5,OTU_6,OTU_15,OTU_13,OTU_20,OTU_18,OTU_11,OTU_25,OTU_36,OTU_28,OTU_76,OTU_17,OTU_35,OTU_39,OTU_68,OTU_129,OTU_62,OTU_67,OTU_48,OTU_55,OTU_92,OTU_64,OTU_53,OTU_12,OTU_73,OTU_141,OTU_154,OTU_19,OTU_74,OTU_45,OTU_119,OTU_72,OTU_163,OTU_80,OTU_34,OTU_78,OTU_145,OTU_137,OTU_144,OTU_150,OTU_103,OTU_69,OTU_59,OTU_91,OTU_47,OTU_148,OTU_98,OTU_143,OTU_140,OTU_224,OTU_123,OTU_88,OTU_126,OTU_29,OTU_118,OTU_109,OTU_211,OTU_99,OTU_219,OTU_27,OTU_131,OTU_132,OTU_160,OTU_282,OTU_26,OTU_128,OTU_50,OTU_171,OTU_464,OTU_234,OTU_85,OTU_120,OTU_90,OTU_194,OTU_133,OTU_147,OTU_168,OTU_187,OTU_142,OTU_188,OTU_111,OTU_191,OTU_337,OTU_245,OTU_203,OTU_100,OTU_173,OTU_491,OTU_307,OTU_166,OTU_463,OTU_216,OTU_323,OTU_280,OTU_220
54,7.3750086,6.5583334,6.6003385,6.5611134,6.622389,5.163317,5.3397026,6.0993385,6.1523814,5.5590787,5.5715566,3.6665375,3.8330905,4.4711757,4.931281,3.5407228,2.672522,3.113533,4.4345846,4.018657,0.9443729,3.5579956,3.6778839,3.9953444,2.6518755,3.7543607,3.5840976,2.1722689,2.690056,3.2675755,3.2297435,1.9831771,3.4976406,3.6848826,1.7093506,3.4144626,3.696194,0.8155904,3.6060023,3.563498,2.363931,4.1693563,1.5749272,2.534042,3.3327456,3.4940846,1.7159165,3.918556,3.2308812,2.0466263,2.6938057,3.290211,3.2603147,2.8608098,3.0420907,2.7629292,1.5257115,2.7975233,1.5346856,2.8288028,1.649535,1.8068415,2.7078013,2.952273,2.4933038,2.2404606,2.3208206,2.5952334,2.2223928,2.7978654,0.6758329,1.6423304,2.3288724,1.9417559,0.80245876,1.6201661,0.30487692,1.3111763,1.8497976,1.8542243,-1.3273168,2.0040684,1.7305827,0.49295282,2.6086812,0.45989513,1.9069438,1.2044289,1.9306281,1.8011667,-0.22350544,0.9072242,-0.28391063,-1.7883818,0.57214344,1.314539,0.44637132,0.47425193,1.279539,0.68921626
55,7.135947,7.2788987,6.554938,7.041925,6.090545,5.702574,6.0055027,6.2026677,6.719032,5.7422295,5.5760136,4.601138,4.4000344,4.653833,5.305099,5.386057,4.7428365,2.6564405,4.099178,4.296149,4.231863,4.3640947,3.7373903,4.3718443,3.6024249,4.089091,2.3785932,1.4359463,0.32021594,4.5708055,3.8035479,2.960625,1.3013246,4.5365615,2.6556818,3.5733044,3.428678,-0.9017079,3.8245173,1.8985751,2.8498192,2.8652475,1.0961694,2.6632264,4.228923,3.2565405,3.0216112,2.3901634,2.7645667,3.08374,3.7357893,2.615436,3.7704124,4.2745333,2.795923,3.2067099,3.6226025,3.4407387,-0.9197084,2.0977197,3.1348424,3.5631456,3.126758,4.0271187,0.18654168,3.8673062,2.5808358,4.038102,2.7366838,0.39387906,1.4861015,0.1552056,2.4808533,1.7707258,-0.05194831,0.22084635,-0.35840225,-0.0005328655,3.4904866,4.563757,-1.3465209,-2.5214744,2.2001834,1.1411864,1.9771472,-0.05829239,2.0310998,3.0401487,1.7792025,2.1622021,-0.2820332,1.0542667,1.6975951,-1.0020992,0.21023226,0.34998548,0.6721694,-0.13942862,3.3365755,1.5846932
56,7.3866706,6.706585,6.4753695,6.416816,6.4586306,5.33161,5.337395,6.061316,6.2469816,5.615208,6.0002213,3.9983616,4.237007,4.403584,5.1558137,3.7311287,3.3615046,3.1231034,4.687259,3.9295902,1.051094,3.592192,3.8010867,4.100401,3.0486133,3.8361154,3.102026,3.2946315,2.2928066,3.4501882,3.3592448,2.625474,2.7671313,3.610085,2.5390325,3.3777895,3.7886715,0.46881247,3.8306184,3.5193353,2.5674357,4.1146564,1.4274735,2.5636964,3.1191013,3.5250432,1.85651,3.740668,3.7478576,2.1193347,2.6047053,3.1607423,3.187733,2.9494925,2.9907637,2.7298949,1.8607767,3.1973054,0.31652838,3.1430633,1.7536547,2.048989,2.8270438,2.98521,1.7360275,1.7263389,2.070182,2.384763,2.4996784,1.5852882,0.8712178,0.7430699,2.3820114,2.2107499,-0.05350685,0.52594346,0.7426834,1.8655756,2.052115,2.5236154,-1.662256,1.815271,1.7965158,-0.07960069,2.7536306,-0.20687675,2.2750156,1.2542772,1.7668767,1.4243715,-0.71352726,1.372484,0.48055762,-0.72819185,0.2044709,1.3164562,0.37524462,0.22501278,1.3126181,1.2869235
57,7.427121,6.9545336,6.444931,6.524231,6.2876124,5.5762033,5.644128,5.88382,6.4331675,5.4964,5.7581406,3.9720538,4.3311586,4.490054,5.063999,3.9662514,3.3874521,2.526936,4.264924,3.8234632,1.8529416,3.8183806,3.5296423,3.9295835,3.1845891,3.9663994,2.877197,3.5268633,2.489631,3.5885487,3.6410663,2.2739358,2.7587223,3.9465437,2.5715904,3.3457744,3.6111333,-0.61998296,3.699441,3.542384,2.7332168,3.6135795,1.3654827,2.515791,3.223333,3.3514702,2.0083356,3.285478,3.347236,2.6965334,2.711459,3.0037398,3.2037828,2.9437938,3.0312848,2.7467737,2.140657,3.0573964,-0.058362126,2.858756,1.9142597,2.187161,2.8617966,2.815451,1.8290074,2.5761323,2.4812322,1.9217716,2.6733167,1.9217105,1.2677984,1.0155336,2.2968032,2.1790018,0.1323216,1.2505832,0.65571594,1.6882191,2.3991177,3.1159616,-1.7155685,-0.89391243,1.9869053,-0.41234022,2.034497,0.37431657,2.1277199,1.5409445,2.1732416,1.7108214,-0.28097272,1.0899067,0.9583543,-2.1508508,1.0272905,1.5623018,0.08109903,0.75811034,1.7744942,1.309886
58,7.3416343,6.665237,6.119321,6.427155,6.3181715,5.395101,5.652156,5.880879,6.643996,5.625269,5.6753626,4.1218977,3.9983182,4.0493717,5.4690924,4.0231977,4.287054,3.3773153,4.202202,3.8651347,2.0572834,3.7851448,3.5391366,3.9572542,3.4779987,4.137964,2.7608347,4.0797915,1.2605076,3.696778,3.2557497,2.0926878,2.0774412,4.2127934,3.1748579,3.033484,3.7772923,0.004310608,4.0985103,3.6989782,2.3896008,3.5326705,1.4793425,2.4770715,3.1521266,2.88874,2.64259,3.7029505,3.263027,2.8515873,2.5045857,2.5571299,3.212534,3.2182353,3.0516114,2.6853588,2.155355,3.1149511,-0.29118383,2.5978189,1.6590666,2.1499226,2.7356758,3.141663,1.3991284,1.9111973,1.6198214,2.3205597,2.8891873,0.7784387,1.4269505,1.4114288,2.5729177,1.8889297,1.2922821,2.8846781,0.7363836,2.0284796,2.6878645,2.7189333,-2.5085418,0.92678344,1.8086851,1.2381299,1.2522528,0.74271905,2.034838,1.9614424,2.1043692,1.5985959,0.927588,1.1610079,0.23565829,-2.5749729,2.3636842,0.94664335,-0.03594911,0.18150294,1.7789536,1.6796694
59,7.5435324,7.022867,6.4750185,6.4542913,5.9480834,5.956857,5.7424593,6.0085373,6.6545205,5.431547,5.914229,4.2375093,4.434026,4.4835653,5.167095,3.951797,3.6892302,2.4271843,4.291635,4.031774,1.9137809,3.837212,3.7536993,3.9427361,3.187711,4.033232,2.9566302,3.894824,2.4094524,3.6001663,3.6638258,2.295338,3.0522842,4.0933466,2.8216362,3.2251084,3.8538504,-1.531631,3.7919254,3.7038038,2.9102013,3.1964493,1.1809083,2.8061364,3.0669768,3.4286954,2.4262145,3.1367254,3.5669951,3.3893447,2.7986197,2.7788208,3.3074024,2.8610036,2.965923,2.8542848,2.0726898,3.0926929,-0.29476392,2.9174476,2.0698075,2.2402823,2.7551205,2.9828358,2.1121268,2.6148353,2.3870566,1.6400673,2.80793,2.4894638,1.289917,1.0208652,2.443033,2.3316245,0.46003377,1.6285341,0.68255216,1.538689,2.5527835,3.5582364,-2.2877078,-2.141471,2.0501633,-1.0240481,1.8361611,0.31166673,2.267707,1.5097897,2.6093245,1.5865428,-0.20602334,1.2133594,1.3937526,-2.8255763,1.4917233,1.7795233,0.059043527,0.8877394,2.031714,1.5615511
60,7.380688,7.2001004,6.479387,6.3480444,6.6326036,5.961236,5.9167337,5.725066,6.042803,5.2747116,5.8009586,4.612196,4.781798,4.496833,4.7435255,3.6610374,3.1003284,3.4789119,4.2653203,3.6479356,-0.080724,3.689983,3.4679217,3.7351925,2.9937856,3.705775,3.2189512,3.0804925,2.7974098,3.3343124,3.8264644,2.5317414,2.2823687,3.5643137,2.8086135,3.5657365,3.5905132,-0.8393948,3.4550986,4.119212,3.255356,4.3458657,0.9651611,2.212583,2.7550116,3.6893928,1.9108144,3.1325793,3.4067855,2.793806,2.4480584,3.2981567,2.981391,2.4600127,2.9678729,2.4126153,1.4367145,3.0573916,1.7578483,2.9602048,2.0095973,2.0914001,2.740634,2.268763,1.6781547,2.6156383,3.2343454,1.9490176,2.5729585,1.4485445,1.2199131,0.5324876,2.445516,2.4036863,0.19327676,0.026811302,2.3449488,2.9757533,1.9579902,3.1892023,-2.5620403,0.963779,1.8351444,-0.04844892,2.466901,0.6537008,2.0501747,0.647573,2.0761755,1.5734215,-0.37489206,1.0529436,1.6011391,-0.8407152,-0.017454721,2.6009293,1.2995293,0.95399237,0.9789375,1.0666773
61,7.2769136,6.987617,6.5302916,6.672436,6.5272517,5.6365037,5.643371,6.11707,6.5137267,5.552451,5.9756036,4.3769274,4.414081,4.58866,5.183032,4.1060305,3.737776,3.4764647,4.5045185,3.983248,1.6035264,3.7697685,3.6708245,4.116219,2.878667,3.8342085,2.9223537,2.674813,2.0118415,3.73459,3.680605,2.7381914,2.608429,3.984109,2.5393558,3.4658897,3.8303201,-0.52717185,3.8149042,3.2047176,2.8302257,4.0536814,0.755553,2.4440498,3.4284742,3.548512,2.2729712,3.230929,3.5754144,2.635321,2.9434602,3.1128285,3.3837037,3.1634047,2.9157708,2.82713,2.0183048,3.256743,0.39163744,2.7836635,2.0272074,2.39723,2.9375346,3.2774816,1.6803908,2.756814,2.7812743,2.8514009,2.618064,1.5439386,1.1406081,0.6317719,2.467732,2.2633576,0.4821986,0.42011088,0.40321255,1.4649817,2.3756437,3.5431163,-2.288764,0.0101825,1.8567578,0.20772833,2.6165977,-0.10852337,2.287082,1.4495057,1.8814738,1.6620357,-0.8749148,1.1040242,1.3160518,-0.7143521,0.24126488,1.3782367,0.36065555,0.2482642,1.9027538,1.2560604
