,08bd45c0807b6fb44faaa54fb53e4213,b73cb42e006377b6fde3161fcec1d0f9,30dbf1c75521f969f69ff64101abcee2,583e7caf625474a3918b14c9f2246d0a,7a3ba492a5e6828062d29151d0ac288f,0234344c5194a16654cbdac94efd8de1,d91d91ddd239d382e64507aae73eba4b,78685ceba064e4c0ed07ada1dc4dcd8d,f34cdcd73e535507d29c29b19d01f658,0fb538dc7ae93db1aad8af6b841e0274,f0251ae1f45621e16745ce99443f242c,b66772dfb431b48b579915617caf0ad6,868e0165fe32a8925b7f20afa5e1dbfc,83ce8edb4ac8c161373501ee646e0000,9597fc3785cf1fa55fae3a6a76e3e1d7,a738568b261166a672bdd2c51055fff7,750ba0e2bb9fe55d1cbb3b4eaadc1981,cc4fa36d40bc7a4d412d0e7cb87ef853,0a4893b9a6062b1e61e27c920e0e38ca,8375b47f50ee3b002fe82bfe00409092,09e001b592afa7c54186b4bd0f7fd237,9318d8cb603c43732005170b52f5de79,552b2e6b06aff5e457765df86c108618,05810500448cc3ad7c9d8b11a497f1ca,92886da043b3cfb88c385fc9b72752d5,e8724520788bb38a7f9d22c91318f016,5e881daab846993e2a1262bd76e598f2,e25ef47f374d93454b340499c284a37e,4da1ab0190b065b4136bce78f2a475b7,e9311af1b908303f03c070ba934c0d8a,54836838deb0d4769d6d07eb48fa827f,1d1d68c0261030f6885f385754f10174,919f52074a986016c7e460883cbe1484,1225347ee9208076df507676ba6503e7,ba0a5157f621548f0a487dc25bf3fada,5b824059f35b2d1a22e2ce26ab79ede0,e38bafa6321bd4ed4b15f934c3eb652c,66710dc67a16ee15b84b22764079988c,f672aa3aea2d03f0b297739022e9b716,19bf0c1b9f4d2805e5df22736695b103,57f295f1e37d390a0d93e4b898f5a1ac,07eb166d091e1aebe641105881f4f2d3,38eb18bdb8fc24ba2666bc99f04719ba,47a9d10e32ffbceb163e240b65825d7e,5ec7485582e96e450b0c65c431780a11,c1ba9460c7bf03aa48206243533697a9,422a3c019dbe1b529c87ac238b5bafd5,095dcca0a1cacb655451100eb59c8ef1,554345c10941538d3c323777253ee02d,5ad4ffad545af8e279101d52bd189173,a6fb5086a3f1107b90bc46aaf31c1d78,838f9b15d03dbd6dc65050aac63dd8d0,495619e6c51e1e0955975577268afaf7,41d407d2dcd22d6ed303635fcdd94744,0eb88b722902316b11770922bcdaca7b,c5750b049169944a0a720c0f9c5c0968,aed191bac0b1c3264208a084af848bed,8abd3585c9b1660fdd408406819f4295,c3b9e67755c1877b5055fcf237ee8a2c,b746f465fc0a651d16eeecc079762c90,60100a196856996735dfb367491283a4,fca1ed7792b0c80cd00c60203ba400e8,b701af8d98ca714dab16ab6724bb631a,1516cd1f7a1e4da4a9318783cb437b3f,1c2b8892a0d7f828d72808cd01cfd199,1227d149bbf9c6e0c11ab7d46c7e503f,80f6c62af8a91fce6b60c53a999bdd7d,c25f046b8bc4de3bcdb537665b5fb25a,b60765bf2e10d524fe9872a961bc4c53,b8544f4c7065245a8949a406eebdab42,5a6c87d6a4eb5e114959f6192f29b641,c9f9355d32e264f6bc060415332587bb,d662d41c478094e4a8f701d57e0564d4,c467d4b4b5f787571d0b7d72c1504ecd,834408b5dea275ad6ac778a97c1414cb,d922e28fdfb36aa671e51df99219225a,bb5d90bda16047b2647c35bcee57cd77,66950cf19482c3f3ee1b7971a304e6c4,c2c4cdbd0939f6a85f1d9dfa6d148a5e,56440c70f592a33b20e98a858002d123,107273e73071282e4d0f4a0b46548da5,c48070f3061b086b60ff32f77e0002fa,91e949df3116e7bc8735d49bceb673a1,55a5e9cc5ecbf0ab7005bda5581d4825,42585a533f2fd89feb71061338fe7dd6,3891c9c486fe0958dacac18bc09c05a3,c86c42d313081e6c6ec2c8088812cb23,2b8313923596f09c18a4b6802c632b36,149550abac2acbfef6d5ae32d4103fcd,10aa3fe0c9285b3a9bb386ecca984c5b,edcee9ae6196e011c79d9763cfa748db,c69962aad1a56cd7400314f370f6e8ba,a2989847b1fb3dfd897685a913060946,e335f74033bc634af43ee6baa84fa247,1cb493a848bb5451756c85b2a5ffd356,0117e9c502bd1cee660d22cb0e8b4a3c,ec4387340f04d3ca85d61e808a411bb9,55a3b3b66eb1d13cf1e9d43f843987c6,04b4ed8ceabf387ba2caa3e54509965d,6d1d55869c5b78e9862457d11a2ce607
44,-2.378985,-2.842545,-4.2824154,-5.9454536,-3.0414402,-2.9123807,-3.6510692,-4.930573,-3.71529,-3.9604485,-4.035204,-8.632384,-3.2029583,-5.3804784,-5.216885,-4.7224813,-4.0125737,-3.7268407,-3.8174603,-3.3814287,-3.5085936,-3.8199909,-3.7839468,-4.9260387,-4.733583,-4.229771,-4.530354,-4.18879,-8.642754,-4.001805,-5.0443573,-5.8850784,-6.361078,-4.023533,-10.25888,-4.390765,-3.7565682,-7.576232,-4.9309297,-2.8536365,-5.1036,-5.2102737,-4.414667,-5.395866,-5.2735147,-12.060414,-11.167326,-4.706721,-4.6765337,-7.9283614,-5.086227,-4.7045627,-4.4775977,-4.82475,-4.5327463,-6.9010744,-5.088377,-5.4377813,-6.538062,-5.8496633,-5.6391025,-5.2448,-5.5438375,-4.9675665,-5.903905,-6.8105087,-5.948423,-5.509665,-6.05418,-7.012433,-4.911249,-7.338277,-8.405748,-8.426031,-5.6300216,-5.6217756,-4.326887,-5.909163,-6.56767,-3.6663103,-5.420762,-5.6890244,-11.182724,-7.9027076,-9.803276,-6.134843,-5.639526,-7.8021374,-5.212101,-4.681456,-5.271862,-5.695955,-5.7884426,-6.1300488,-6.1228805,-7.5336947,-3.6319027,-5.851654,-5.1755238,-7.025934
45,-1.9002831,-2.890944,-4.450098,-7.2516317,-2.8581297,-1.9247091,-3.863996,-4.5730076,-3.2143006,-4.4028277,-3.9714,-8.165386,-3.4723344,-6.2144585,-5.298456,-4.939702,-4.4853783,-3.8155026,-4.1415176,-3.3776846,-3.9030151,-4.3431673,-4.1222377,-5.5695333,-5.3614645,-4.2911606,-5.7662697,-4.0359473,-8.164187,-4.7766066,-6.546329,-4.5515256,-7.5747614,-3.806238,-12.342236,-5.5746646,-3.8714101,-8.334674,-5.2464056,-2.5799568,-5.3969965,-5.163098,-5.733032,-5.574807,-6.7957907,-12.513852,-10.21888,-4.683721,-5.453817,-10.15733,-5.6234145,-5.0907,-4.474878,-6.3831024,-5.611852,-5.6746163,-4.0086784,-5.8078227,-8.073067,-2.576889,-5.649403,-4.7019186,-6.995787,-6.061382,-7.065218,-2.846202,-7.701993,-5.8184586,-8.249369,-7.5115733,-5.456041,-10.858803,-9.013367,-3.3784847,-7.4973526,-5.617059,-6.400839,-6.9652166,-6.6619782,-3.4117231,-4.864352,-6.038297,-13.522444,-9.294334,-13.003929,-4.33176,-6.239902,-8.057485,-6.663238,-4.0841107,-5.918086,-7.348374,-7.272761,-5.4730606,-6.247989,-5.9151134,-5.6912575,-5.828759,-2.200327,-6.83258
46,-0.94859684,-2.6522453,-4.2638087,-6.398364,-3.3941753,-1.2859938,-2.8975196,-3.8283064,-2.151651,-4.164038,-4.2472763,-7.9457254,-3.921804,-6.449396,-6.2543516,-4.4405675,-4.9284124,-3.4118447,-4.102254,-4.3867493,-3.9176095,-4.7626214,-4.86566,-5.960619,-6.0747437,-4.7417517,-5.9965343,-3.658383,-5.448891,-5.836937,-4.307598,-5.0945,-5.9453096,-3.8006501,-12.317352,-6.3129067,-5.654554,-7.851258,-5.121701,-3.5881996,-6.143884,-4.8486514,-5.161861,-4.650159,-6.3351455,-12.772674,-10.556625,-3.7460732,-6.126658,-6.4187574,-6.1224785,-6.17883,-2.9222505,-7.243597,-6.1808324,-6.3945227,-1.5936775,-7.032363,-5.545854,0.13799,-6.8785706,-3.923115,-6.8794856,-5.2026014,-7.881938,-2.5806484,-7.799917,-6.90243,-7.9173145,-9.592289,-6.209728,-7.245156,-7.520484,-3.4282813,-8.517643,-4.9175606,-6.7452726,-6.856356,-6.0368094,-5.6113367,-3.7962525,-6.617335,-13.301012,-9.35561,-11.543095,-4.8074694,-5.415318,-9.092808,-6.8028893,-4.88445,-6.621438,-6.874067,-7.577396,-6.7860656,-6.4969416,-4.2777452,-5.44668,-5.0237017,-2.5928035,-6.826127
47,-2.9543335,-4.2620163,-3.7063386,-4.4377704,-2.2377434,-4.4057193,-6.0082536,-7.32694,-4.347579,-4.266199,-4.3094106,-11.550188,-1.7489455,-4.8878784,-4.6317763,-4.38762,-2.750607,-3.370538,-3.5248365,-2.6262717,-6.299964,-2.612256,-3.1868622,-3.9905872,-5.2822022,-3.0014749,-4.388061,-3.729009,-13.811274,-4.653223,-8.727513,-4.9617295,-5.6011066,-4.187177,-12.287311,-3.495242,-1.5711021,-7.3572497,-5.408806,-3.6846137,-4.3140244,-5.960852,-6.2606063,-6.8035817,-7.941582,-11.666371,-10.303539,-8.879377,-2.7665546,-9.834223,-5.5326533,-4.53754,-5.880526,-4.992799,-10.802231,-8.622159,-5.6930223,-4.2340746,-7.9987087,-7.2224665,-3.1358426,-4.647682,-6.4793777,-7.9432707,-4.8716326,-6.9974113,-7.513961,-3.788431,-6.8782125,-8.274492,-4.2755938,-9.336837,-9.128802,-6.0223722,-5.865676,-5.4337893,-6.663658,-4.92241,-9.827393,-0.028405666,-6.2980437,-3.6348834,-7.2830453,-6.7355747,-12.789024,-5.0350084,-5.6695094,-6.173639,-3.9848855,-3.2932806,-4.0253735,-5.948565,-7.340068,-3.7135599,-3.7150836,-11.085879,-3.6950407,-6.611772,-5.304199,-5.5792837
48,-1.6119537,-3.5356085,-3.8824787,-6.543495,-2.828025,-3.420392,-4.604243,-5.3833747,-3.1500523,-4.131535,-5.05801,-10.582324,-2.7345781,-6.222073,-6.439524,-4.4873652,-3.6778932,-3.4270163,-3.8027127,-1.8595247,-4.913112,-3.5885262,-3.3499632,-4.76911,-5.2953334,-3.3383474,-5.626698,-3.5356927,-11.528046,-2.4242806,-6.9815445,-6.420426,-7.285528,-4.1216474,-14.04125,-4.790108,-2.0322762,-8.723073,-5.1066823,-4.5816035,-4.9195633,-5.042241,-5.7852864,-6.2020364,-7.7868648,-13.233889,-11.968787,-7.0022964,-4.020678,-9.392149,-5.650206,-5.180087,-6.2439237,-3.8903785,-7.9991426,-8.227752,-3.184655,-5.628204,-8.821723,-5.2358556,-4.419738,-6.8329763,-6.6459904,-8.656296,-5.9934874,-5.9460363,-7.8362827,-4.6678967,-6.273174,-10.528211,-4.899738,-8.717118,-8.348985,-5.541972,-8.532407,-5.993721,-6.9727297,-5.5873237,-8.331155,-1.2191682,-5.5476437,-4.4629326,-10.825523,-10.651396,-14.862373,-5.4161997,-6.0546017,-8.530348,-4.5934134,-2.0658798,-4.400607,-6.7350373,-7.6549573,-4.956869,-5.6429358,-8.602093,-0.61659193,-7.5357523,-4.765849,-7.2730694
49,-2.552288,-3.2764707,-2.089334,-4.411216,-2.818801,-4.594385,-5.670622,-7.212244,-4.317868,-4.439946,-6.665605,-15.957533,-2.2261767,-6.643977,-7.8392315,-13.184206,-4.1361866,-3.1057148,-6.179832,2.3591857,-5.00049,-3.0020642,-0.7660105,-7.287745,-5.3564587,-4.7050924,-4.400014,-9.706031,-12.624645,4.624422,-12.947569,-11.78034,-4.6753745,-6.791142,-15.9125805,-2.385179,-0.95154095,-6.849638,-5.972104,0.35609913,-2.1984954,-3.9638379,-8.143814,-7.0133815,-14.680531,-18.461872,-14.364563,-9.869727,-4.240116,-16.385933,-5.153224,-5.012789,-10.347218,2.5022893,-5.53513,-13.90004,-16.844526,-5.615542,-16.326218,-9.973237,-3.3019528,-9.314432,-5.2597184,-12.727635,-6.123572,-11.887856,-6.757229,-2.4944117,-3.4454794,-5.867279,-3.7203424,-19.751175,-9.106453,-10.087905,-8.992788,-8.012158,-5.6666474,-4.6524553,-4.183386,-0.773036,-6.0565486,-3.409338,-8.643326,-15.460394,-16.103285,-8.057572,-6.2762785,-8.940182,4.831826,3.069046,-3.4378095,-9.481045,-8.577248,-3.6456404,-5.48134,-8.881999,-7.028758,-14.216503,-7.036108,-5.5365715
50,-7.6144648,-5.389149,-0.8026736,-0.3531947,-2.230333,-11.784652,-7.6641617,-10.752227,-8.26642,-4.8311014,-4.1863856,-17.586178,1.7792869,-5.370339,-5.270311,-6.0055475,-0.9907031,-0.64608026,-4.910868,1.1206112,-8.875795,0.13049603,1.520369,-2.9780846,-2.7692685,-2.1814027,-1.4465172,-11.226578,-16.632418,-0.5113597,-10.368672,-13.844852,-3.4893,-4.945882,-6.2400503,7.628496,-6.3792973,-0.39770746,-5.8391223,-5.471868,-1.9927094,-8.397636,-1.6436615,-8.405574,-10.991428,-13.1174,-11.620608,-16.00538,-2.613123,-8.646218,-5.3110824,-2.6379848,-7.22723,-1.7423391,-12.249908,-8.560147,-13.878011,-3.5573096,-2.072108,-11.930028,-4.2879796,-5.924784,2.0127506,-15.532234,-3.9768333,-19.770275,4.0248985,-0.54359865,-0.6750207,-3.2076418,-4.520073,-2.6618042,-11.688256,-26.449596,-6.3933744,-6.653885,-4.430077,0.19946814,-9.958889,-2.4366212,-6.790485,-2.768874,-3.7411783,-2.9499135,-7.0007806,-9.338861,6.3961744,-2.8869145,6.770872,4.5991173,-2.3611789,-6.431994,-2.6613252,-3.9859176,-0.669744,-15.041311,-7.652563,-12.065594,-20.78041,5.767099
51,-8.713201,-5.5209503,-1.1480546,-1.5250411,-1.8318386,-11.4388275,-7.9761734,-11.048962,-8.674446,-5.4835315,-1.694015,-13.713032,2.1952915,-4.969419,-3.51129,-6.267783,-2.0752387,-0.19476366,-5.070457,-0.1435237,-8.346664,-0.9014206,0.92809105,-3.791348,-2.2935712,-2.6080637,-0.51588535,-11.433911,-16.46283,-3.4359856,-11.323711,-8.973447,-5.5430555,-3.7756114,-3.2946205,7.920932,-7.5121603,-0.8429594,-6.180154,-3.8509154,-1.9983296,-9.15053,-1.2113767,-8.272424,-11.639084,-11.152597,-8.588752,-14.183334,-3.3930385,-10.842212,-4.945767,-1.0717254,-5.3908653,-5.566593,-8.961528,-4.616476,-13.575131,-2.9964528,0.9419699,-10.053441,-5.0226355,-4.426597,1.7228341,-14.652096,-4.6252337,-17.33869,4.934289,-0.694221,-3.9440844,1.2836175,-4.087154,-5.7550325,-14.843658,-22.935562,-5.067233,-5.947548,-3.708828,-1.0212812,-9.5542,-5.1869254,-5.9700346,-3.8788624,-6.6746325,0.06675911,-5.386541,-6.680455,7.6787853,-0.10921383,2.1827621,4.634759,-3.318999,-7.7611513,-0.51118374,-3.6652558,0.063135624,-14.000559,-13.666379,-10.4722395,-18.99782,9.542482
