,OTU_3,OTU_5,OTU_8,OTU_4,OTU_9,OTU_20,OTU_11,OTU_10,OTU_2,OTU_30,OTU_36,OTU_34,OTU_1,OTU_28,OTU_25,OTU_23,OTU_45,OTU_41,OTU_58,OTU_49,OTU_95,OTU_18,OTU_73,OTU_44,OTU_42,OTU_66,OTU_24,OTU_17,OTU_13,OTU_31,OTU_97,OTU_88,OTU_47,OTU_114,OTU_71,OTU_77,OTU_108,OTU_56,OTU_72,OTU_70,OTU_79,OTU_14,OTU_67,OTU_81,OTU_26,OTU_107,OTU_113,OTU_78,OTU_115,OTU_142,OTU_74,OTU_130,OTU_105,OTU_86,OTU_50,OTU_116,OTU_119,OTU_186,OTU_157,OTU_96,OTU_75,OTU_54,OTU_99,OTU_84,OTU_35,OTU_448,OTU_85,OTU_541,OTU_102,OTU_68,OTU_156,OTU_125,OTU_214,OTU_55,OTU_191,OTU_159,OTU_53,OTU_131,OTU_138,OTU_233,OTU_46,OTU_106,OTU_32,OTU_204,OTU_197,OTU_155,OTU_122,OTU_281,OTU_110,OTU_80,OTU_132,OTU_408,OTU_277,OTU_194,OTU_227,OTU_126,OTU_160,OTU_104,OTU_219,OTU_37
81,-3.7169478,-2.8336935,-5.5076013,-4.8570347,-4.1753736,-6.948954,-3.2441585,-4.988015,-3.7413936,-3.6550841,-6.5445843,-4.070905,-4.0008674,-5.4742455,-4.462072,-4.4925666,-4.668726,-5.439848,-6.6075134,-4.4019012,-5.971981,-4.256266,-4.739779,-4.934222,-5.139693,-4.5923576,-4.8917623,-5.0002255,-4.6764183,-4.478035,-4.8702087,-6.5830474,-4.8844666,-5.127946,-5.5621476,-4.6372337,-4.986092,-5.5960336,-4.7766223,-4.870055,-6.4571514,-6.001021,-6.166361,-5.238965,-5.0472927,-5.496997,-5.0751944,-6.4948893,-5.018902,-5.2319937,-5.462835,-5.4131546,-5.396512,-5.322284,-5.237436,-4.8370566,-5.304242,-6.8868318,-6.6302633,-7.030191,-5.5651317,-5.6709547,-5.844924,-6.0682473,-4.675869,-6.2722664,-6.382722,-5.1602125,-6.0287127,-5.0785246,-6.3814306,-4.97749,-5.9069448,-5.1849146,-5.879114,-5.3312354,-6.1128078,-5.897702,-7.0028405,-6.3065734,-6.520639,-6.534633,-5.677124,-5.239033,-5.88282,-5.684601,-5.7520313,-5.908788,-6.6038046,-5.623441,-6.1561484,-8.106836,-5.798865,-6.1133094,-5.9960213,-5.9509315,-7.2551637,-5.7185364,-5.4929566,-6.87596
82,-3.5778422,-3.2336748,-5.0187755,-4.423749,-4.311656,-7.0771527,-3.496154,-4.7940307,-3.7141192,-3.8257961,-6.755483,-3.9373424,-4.417917,-5.406739,-4.2797723,-5.0697536,-4.0424647,-5.433291,-6.0758543,-4.7475743,-5.68411,-4.6158934,-4.856981,-5.3889313,-5.490127,-4.762217,-4.9942565,-5.095964,-4.784933,-4.4256268,-4.534238,-6.5291085,-4.7641206,-5.0441318,-5.481323,-4.69648,-4.7619834,-5.611852,-4.73094,-4.804086,-6.7139506,-6.194315,-6.535852,-5.2941837,-5.076808,-5.678753,-5.414965,-5.9673424,-5.1943374,-5.3589783,-5.547078,-5.6621785,-5.6688185,-5.496521,-5.2570496,-4.9423666,-5.6763716,-7.038319,-6.7324653,-6.9706454,-6.003735,-6.1060705,-6.360464,-5.74113,-5.3735266,-6.2920003,-5.8157187,-5.693714,-6.2675185,-5.3756766,-6.5301933,-5.6032,-6.2127304,-5.017934,-6.127918,-5.4223285,-6.041702,-6.7495313,-6.6524787,-6.3878264,-6.1026454,-6.581833,-5.5395374,-5.730957,-5.388939,-5.736196,-6.0703907,-6.0853853,-7.0721498,-5.507493,-6.5766034,-7.984136,-5.533426,-6.932175,-5.793943,-5.8770323,-7.575163,-5.6458726,-5.411325,-7.1410017
83,-3.3206573,-2.8224287,-4.940798,-4.099139,-4.396774,-7.3030906,-3.2305279,-4.5752583,-3.439454,-3.7531447,-7.0347385,-3.8162723,-4.0096617,-5.6397057,-4.1998177,-4.7764626,-4.1766305,-5.274522,-6.630118,-4.2569947,-6.373232,-4.4449344,-4.506477,-4.8457994,-4.976094,-4.382074,-4.552382,-4.8109508,-4.5632534,-4.5511985,-4.439318,-6.589261,-4.8037233,-5.1727924,-5.1624556,-4.5802937,-4.749245,-5.648364,-4.435472,-4.870388,-6.8330207,-6.087793,-6.7120895,-5.192643,-5.046621,-5.506937,-5.522633,-6.0955067,-5.209165,-5.38654,-5.808374,-5.524101,-5.662236,-5.1987667,-4.7423925,-4.9747796,-5.490134,-7.2998333,-7.0014787,-7.142481,-5.9712367,-6.0205235,-6.386394,-5.910072,-4.962912,-6.552909,-5.789958,-5.7836056,-6.0920687,-4.996881,-6.515281,-5.1018047,-6.089727,-5.3324604,-5.5137277,-5.4495687,-5.4990005,-5.8795476,-6.7901325,-6.395456,-6.617823,-5.9698663,-5.465447,-5.571184,-5.8813205,-5.7919545,-6.060706,-5.6678777,-6.8203597,-5.0648003,-6.307892,-8.561835,-5.6923356,-6.8189883,-5.8903694,-5.9582176,-7.606556,-5.74608,-5.8720713,-6.893762
84,-3.7449398,-2.90095,-5.1157875,-4.3088684,-4.4713783,-7.4104433,-3.3046067,-4.657074,-3.650713,-3.8558931,-7.1197453,-3.982006,-4.27907,-5.8056083,-4.211554,-4.8353176,-4.40373,-5.5215263,-6.5708323,-4.4347672,-6.3521194,-4.408247,-4.6149187,-5.2614374,-5.088249,-4.639351,-4.843869,-4.995901,-4.7183547,-4.5323033,-4.6958513,-6.681619,-4.952364,-5.0608125,-5.3728786,-4.831135,-4.972069,-5.635257,-4.807931,-4.9716444,-6.8387923,-6.133108,-6.883381,-5.3981357,-5.0735445,-5.7585406,-5.5685134,-6.3006744,-5.30853,-5.4805813,-5.7110624,-5.670098,-5.578903,-5.252087,-5.115013,-4.9845624,-5.415442,-7.425075,-6.7849817,-7.262171,-6.0675697,-6.078142,-6.4648676,-5.8751726,-5.097356,-6.701947,-5.9399185,-5.9320755,-6.1756506,-4.9372883,-6.629636,-5.214041,-6.171557,-5.2545247,-5.798998,-5.47345,-5.964878,-6.14464,-6.9844737,-6.384652,-6.502923,-6.440914,-5.581211,-5.7644496,-5.9111886,-6.0017853,-5.9645467,-6.109179,-7.0821185,-5.331309,-6.640935,-8.765676,-5.8006406,-6.98699,-5.8025966,-6.0070047,-7.758583,-5.8442426,-5.8795395,-7.0903873
85,-4.5569115,-2.9686153,-5.1484914,-4.072955,-4.8611593,-7.3052597,-3.511092,-5.2505064,-4.526503,-3.9536333,-6.723916,-4.416696,-4.9782424,-6.17934,-4.779263,-4.9762383,-4.8440194,-6.221376,-6.3735013,-4.9891458,-6.0899405,-4.3623886,-4.5767093,-5.3650293,-5.458652,-5.064694,-4.851943,-5.3330135,-4.885978,-4.7567153,-5.2298517,-6.8360167,-5.271499,-4.945201,-5.783837,-5.170255,-5.079823,-5.5986757,-5.4786325,-5.092457,-6.020927,-6.3758082,-6.1554117,-6.1005764,-5.2218003,-6.2162066,-5.2127805,-6.3764033,-5.22396,-5.804923,-6.1781573,-6.162325,-5.582624,-5.4542413,-5.496185,-5.2242064,-6.1474175,-7.0045075,-6.4040384,-7.190776,-5.8555303,-5.6894364,-6.0492043,-6.473619,-5.0882196,-6.9313283,-6.4581385,-5.8295846,-6.0554905,-5.30433,-7.1035466,-5.7821727,-6.318691,-5.471339,-5.9903493,-5.827974,-6.521403,-6.2012296,-6.850466,-6.362236,-7.019906,-6.2908278,-5.815673,-6.197978,-5.8177867,-6.439922,-5.5365205,-6.6309466,-6.992105,-6.0576563,-6.967872,-8.801734,-6.206454,-7.222571,-6.331345,-6.6155653,-7.9710517,-6.374571,-5.4516997,-7.8181424
86,-4.793167,-2.830647,-5.4511986,-4.4021645,-5.24397,-7.5451655,-3.7987862,-5.4369493,-4.673662,-3.8292074,-7.191171,-4.7900386,-5.487704,-6.61986,-4.935722,-5.574672,-5.5678463,-7.0228286,-6.693337,-4.9108825,-6.583066,-4.6385837,-5.064415,-5.675906,-5.62767,-5.5392175,-5.5663614,-5.95948,-5.7491727,-5.1452775,-5.27533,-7.0393553,-5.800672,-5.04213,-6.2081876,-5.8110805,-5.942625,-6.248958,-5.9158244,-5.591457,-6.5874267,-6.8257947,-7.217404,-6.466917,-5.688179,-7.0729823,-6.0309925,-7.150471,-5.6517644,-6.1848717,-6.141435,-6.6453376,-5.799262,-5.610431,-5.6841164,-5.6759534,-5.951132,-7.7279396,-6.8631177,-7.8014913,-6.6054964,-6.3837852,-6.4593687,-6.4845896,-5.2321887,-7.563036,-6.5921373,-6.3038945,-6.612258,-5.6226163,-7.6269207,-6.1075687,-6.55173,-5.90139,-6.600105,-6.429913,-7.3714666,-6.822809,-7.522572,-6.7307205,-6.97558,-7.42126,-6.4718223,-6.6707444,-6.502758,-6.9087954,-5.9681067,-7.376589,-7.6329093,-6.855219,-7.967873,-9.513127,-6.180671,-7.9553843,-6.5747194,-7.5044703,-8.298558,-6.8251815,-6.0927157,-8.381715
87,-3.9182036,-2.3186607,-5.3349986,-4.27141,-4.4541483,-7.0056567,-3.8108191,-4.7731013,-3.9443772,-3.4888802,-6.8131638,-4.455938,-4.2561965,-5.9989023,-4.526594,-5.1913385,-5.006827,-5.945378,-6.144629,-4.4373055,-6.4219675,-4.3575606,-4.596317,-4.984602,-5.0670133,-5.211818,-4.8093824,-5.215619,-5.4308267,-4.74327,-4.621353,-6.31483,-5.311769,-4.9472303,-5.590139,-5.2894034,-5.4677176,-5.900089,-5.023448,-5.1582346,-6.284194,-6.088816,-6.826243,-5.96677,-5.3330793,-6.555626,-5.592824,-6.7872925,-5.008345,-5.3040514,-5.544269,-5.776489,-5.5692134,-5.105714,-5.1200857,-5.36223,-5.308639,-7.132533,-6.616959,-7.2636714,-6.135094,-6.020022,-5.997042,-5.986562,-4.6830206,-7.0566525,-5.8508315,-5.6847506,-5.818385,-4.9919276,-6.8068886,-5.274996,-5.823656,-5.3715186,-5.9511495,-5.830735,-6.40987,-6.0919523,-6.788858,-6.0558844,-6.4488635,-6.627733,-5.88806,-6.1077766,-6.112412,-6.15086,-5.62702,-6.4789686,-7.0697885,-5.8254266,-7.0285425,-9.026901,-5.6602416,-7.4998755,-6.350881,-6.5833945,-7.4319415,-5.835605,-5.824039,-7.459045
88,-3.2877,-2.8445208,-5.7181478,-4.608721,-4.919548,-7.4941792,-3.531058,-5.909327,-3.6394098,-3.6737561,-6.7654166,-4.4217353,-4.224972,-5.597615,-4.96276,-5.6340466,-4.474737,-6.137335,-6.8829155,-4.595608,-6.3537674,-4.735643,-5.052777,-4.424626,-5.356495,-4.847966,-5.983856,-5.300071,-5.743816,-4.752638,-4.279699,-7.4802938,-5.6249666,-5.130684,-6.5178533,-4.9273596,-5.361645,-7.122839,-4.946121,-5.516385,-7.1098185,-6.576076,-7.485729,-5.3079367,-6.1512513,-6.1720514,-6.2576528,-7.2046947,-4.9757056,-5.7467146,-5.8250413,-5.983435,-6.584881,-5.676568,-5.2004633,-6.227687,-6.053659,-7.1699376,-7.770422,-7.7451935,-6.7447824,-7.174595,-6.612935,-6.479289,-5.51061,-6.750467,-6.0618596,-5.9664736,-6.4477463,-5.594584,-6.4643836,-5.786378,-6.2747464,-5.912897,-6.1465235,-6.333573,-5.9292626,-7.475689,-6.7155747,-7.1915917,-6.9044824,-7.2355137,-6.511068,-6.2236543,-6.8001475,-6.4916067,-7.096182,-6.223406,-8.061065,-6.5137315,-7.356094,-9.079324,-5.657181,-7.422698,-6.4434967,-7.1709104,-7.148991,-5.9344964,-6.810528,-7.59551
