,OTU_2,OTU_1,OTU_3,OTU_6,OTU_5,OTU_11,OTU_8,OTU_9,OTU_13,OTU_15,OTU_18,OTU_17,OTU_25,OTU_20,OTU_35,OTU_28,OTU_45,OTU_46,OTU_36,OTU_48,OTU_39,OTU_22,OTU_55,OTU_62,OTU_92,OTU_73,OTU_68,OTU_34,OTU_29,OTU_69,OTU_67,OTU_59,OTU_74,OTU_64,OTU_108,OTU_147,OTU_72,OTU_53,OTU_141,OTU_12,OTU_78,OTU_47,OTU_90,OTU_103,OTU_119,OTU_99,OTU_122,OTU_128,OTU_80,OTU_91,OTU_145,OTU_88,OTU_98,OTU_143,OTU_224,OTU_19,OTU_282,OTU_109,OTU_150,OTU_118,OTU_132,OTU_142,OTU_131,OTU_100,OTU_27,OTU_123,OTU_126,OTU_85,OTU_367,OTU_148,OTU_140,OTU_177,OTU_151,OTU_198,OTU_50,OTU_111,OTU_120,OTU_464,OTU_209,OTU_219,OTU_139,OTU_827,OTU_173,OTU_179,OTU_194,OTU_171,OTU_201,OTU_188,OTU_491,OTU_208,OTU_26,OTU_191,OTU_105,OTU_220,OTU_187,OTU_610,OTU_153,OTU_203,OTU_463,OTU_245
53,-1.5951446,-2.2024226,-2.3857653,-3.1976986,-2.293827,-3.0742433,-3.1451383,-3.7387035,-3.2990272,-4.0671678,-4.0028124,-4.15249,-4.7094793,-3.680902,-5.561196,-4.7506385,-5.438141,-5.4922404,-6.2626843,-5.7549596,-5.7459407,-6.0990276,-6.038907,-5.8762717,-6.0233364,-6.160371,-5.7251406,-5.4841104,-6.4689527,-6.2439013,-5.667536,-6.433434,-5.6462235,-6.68452,-6.92899,-7.059361,-6.3394747,-6.5516477,-5.6312823,-5.866421,-5.8862467,-6.299693,-5.9471607,-6.7862744,-6.37762,-6.512017,-6.276782,-7.9104486,-6.8439918,-6.122851,-6.9631014,-6.3700056,-6.0362406,-6.374857,-6.7437944,-7.0123177,-6.4406343,-6.8156347,-6.8198285,-7.3167844,-6.911344,-7.486268,-6.772587,-8.52412,-6.8125334,-7.4784784,-7.07461,-9.246987,-7.1036716,-7.507163,-7.210739,-7.700037,-7.6402917,-7.4757385,-6.9805975,-8.366999,-8.454948,-7.5619836,-8.519603,-7.8370495,-8.607875,-6.9646044,-8.195908,-8.936214,-7.314009,-7.294657,-8.066277,-8.04186,-7.468691,-8.294572,-8.090476,-8.168475,-9.344805,-8.105299,-7.7290983,-6.908565,-7.9249873,-7.996906,-8.040242,-7.979917
54,-1.6950382,-2.6191225,-2.4789653,-2.8015246,-1.8403478,-3.0009625,-3.5947795,-3.74484,-3.4057624,-3.6625276,-3.937824,-4.0848064,-4.7614756,-3.6622045,-4.9555883,-4.8573413,-5.312739,-5.075279,-5.566243,-5.5557904,-5.7379274,-6.2811823,-6.1688685,-5.7026453,-5.801842,-5.7384825,-5.55854,-5.195718,-6.046497,-5.748239,-5.2950535,-6.0527596,-6.210876,-6.6235275,-6.3414316,-5.929868,-6.2942,-6.3460455,-5.881367,-6.0561337,-5.753901,-6.5697074,-5.846412,-6.8323817,-6.777158,-6.70843,-6.1020193,-7.131104,-6.2865977,-6.4223037,-6.774483,-6.4687934,-6.1324015,-6.2426996,-6.449108,-7.109375,-6.7336154,-6.4339943,-7.43339,-7.2971344,-6.8530903,-7.505553,-6.6069646,-8.080511,-7.2584586,-7.1669393,-6.7563133,-9.519845,-7.2788925,-7.2287087,-7.273654,-7.7519155,-7.956381,-7.0518913,-7.8763733,-8.113107,-8.106283,-7.5830793,-8.343211,-7.485624,-8.586108,-7.1225395,-7.9716406,-8.088881,-7.5683413,-7.383683,-7.554901,-7.7026415,-7.43969,-8.409816,-8.522445,-7.9559865,-9.482424,-7.9245143,-7.84674,-6.7867913,-8.191312,-7.8862576,-7.7960715,-7.6199245
55,-1.3959134,-1.9832333,-2.884392,-2.8412168,-2.6342757,-3.0638027,-2.8888614,-3.4342806,-3.2035758,-3.9050999,-4.322668,-4.228138,-4.3753276,-4.2009106,-5.3373294,-4.5957355,-5.311498,-5.3622956,-5.6769347,-5.3100257,-5.5237536,-6.9953313,-5.537895,-5.6630015,-5.614489,-6.1759043,-5.6864033,-5.6313276,-6.261335,-6.0464654,-5.577318,-6.1614275,-5.6386786,-6.013901,-6.473597,-6.530397,-5.884086,-6.526595,-5.878325,-6.2382774,-6.085899,-6.1377945,-5.9813604,-6.636593,-6.1777997,-6.5762453,-6.401685,-7.1615715,-6.394766,-6.210539,-6.6718903,-6.406325,-6.5522957,-6.508399,-6.3336396,-7.1259584,-6.2241187,-6.594982,-6.4153633,-6.817279,-6.760046,-7.315437,-6.6726494,-7.518059,-7.151846,-6.877046,-7.120622,-9.508457,-6.7301164,-7.323258,-7.1748705,-7.441545,-7.49469,-7.672367,-7.426037,-7.587461,-7.773312,-7.15551,-7.8616953,-7.5425863,-7.948547,-6.95959,-7.4884973,-8.293175,-7.4633617,-7.159943,-7.6234636,-7.8768253,-7.1866426,-8.000243,-7.7680535,-7.594215,-9.098024,-7.758046,-7.4696255,-7.2012215,-7.575845,-7.6268873,-7.891533,-7.9980125
56,-1.6745329,-2.1636472,-2.3229837,-2.9756274,-2.1909366,-3.009679,-3.121999,-3.8916614,-3.3370397,-3.6131794,-4.177445,-4.168429,-4.373633,-3.5565171,-5.925236,-4.8002596,-5.5599613,-5.0228314,-6.675556,-5.376822,-5.6468096,-5.838363,-5.5714874,-5.9991302,-5.8399687,-6.148922,-5.705968,-5.6869063,-6.5020866,-6.0446696,-5.9318233,-6.2923675,-5.8376565,-6.4932647,-6.8524213,-6.9153476,-6.062961,-6.242872,-5.6216307,-5.80084,-5.7657886,-6.4376884,-5.6828375,-6.4830465,-6.1602407,-6.484548,-6.1985645,-7.9082017,-6.8009596,-6.044053,-7.007076,-6.246882,-5.9913244,-5.916518,-6.39212,-6.700158,-6.3240533,-6.605791,-6.7769723,-7.0444484,-6.899112,-7.6168203,-6.884678,-8.59223,-6.718796,-7.027408,-6.803393,-9.119201,-6.678029,-7.534528,-7.3062797,-7.711958,-7.7739444,-7.663283,-6.9540567,-8.219281,-8.402671,-7.35172,-8.320471,-7.8078475,-8.426474,-6.908842,-8.065304,-8.756759,-7.01868,-7.431136,-7.6770263,-7.9903116,-7.093278,-8.272977,-8.041248,-7.9213114,-9.263937,-8.029756,-7.738434,-6.7101483,-7.893431,-7.8938885,-7.8593607,-7.6150694
57,-1.63484,-2.115653,-2.8628726,-2.5964973,-2.2308533,-2.9613345,-3.3210046,-3.4704409,-3.1996868,-3.5857723,-4.413877,-4.213084,-4.5841336,-4.206027,-5.150951,-4.4769716,-4.9027033,-5.0691,-5.1874766,-4.8286905,-5.293498,-7.120898,-5.437313,-5.3814325,-5.2713575,-5.769033,-5.7375073,-5.348384,-5.8585424,-5.6840434,-5.3850474,-5.8262534,-5.7361016,-5.9745893,-5.999868,-5.8086934,-6.0554576,-6.04686,-5.9074955,-6.1196485,-5.8111305,-6.1153564,-6.0360727,-6.44828,-6.3929124,-6.5057545,-6.2046456,-6.123822,-5.9107947,-6.2648582,-6.2296863,-6.232799,-6.215659,-6.312483,-6.20933,-7.0821886,-6.4641986,-6.404757,-6.649729,-6.5027633,-6.3326354,-7.308511,-6.4134717,-7.025892,-7.476862,-6.4832907,-6.869847,-10.102323,-6.6714125,-6.9447565,-7.091776,-7.19801,-7.480629,-7.296893,-7.7768626,-7.5862756,-7.1765656,-7.1883373,-7.5678077,-7.183648,-7.747448,-6.951048,-6.9674973,-7.678206,-7.654171,-6.8754363,-7.331972,-7.700214,-7.173533,-7.8591304,-7.901434,-7.4599795,-8.747397,-7.317831,-7.589734,-7.372816,-7.7482944,-7.0815806,-7.748766,-7.871909
58,-1.9035012,-1.8066735,-2.2879398,-3.1744583,-2.4944985,-3.131697,-3.6648688,-3.5802686,-3.1821592,-3.9785786,-4.4390492,-4.667915,-4.8174253,-4.203397,-5.998799,-4.918937,-5.2478733,-5.569869,-6.3898864,-5.0381846,-5.5116124,-6.4202495,-5.425977,-5.5646615,-6.006008,-5.7778654,-5.9879875,-5.9290805,-6.9225883,-6.4582386,-6.24949,-6.3591166,-5.664046,-6.966841,-6.4036164,-7.4935827,-6.673105,-6.4994097,-5.7648935,-5.670129,-5.809423,-6.2500525,-6.368017,-6.6762276,-6.155786,-6.1048856,-6.260091,-7.3272543,-6.770821,-6.2176867,-6.871146,-6.109997,-6.0711174,-6.2970476,-7.1270823,-6.850964,-6.923969,-6.819197,-6.9516764,-7.081081,-6.3192863,-7.6974044,-6.627843,-8.355201,-6.9855366,-7.133651,-7.219741,-9.952521,-6.938495,-7.2470055,-6.9013515,-7.6939135,-8.167844,-8.064115,-7.091579,-8.413254,-8.196297,-7.475846,-8.640552,-7.4903574,-8.763818,-7.1293907,-8.09655,-9.119691,-7.701472,-7.5904503,-8.006554,-8.247919,-7.7056413,-8.218155,-8.136439,-7.9463925,-9.384661,-7.6764536,-8.447614,-7.4193196,-8.215804,-8.02185,-8.321841,-8.534948
59,-1.8722019,-2.3782794,-2.6955302,-2.7480464,-2.2551467,-3.3143091,-3.9354095,-3.5333474,-3.2390394,-3.7462137,-4.4545274,-4.644764,-5.3771987,-4.4720416,-5.037748,-4.7642665,-4.860897,-5.4002957,-5.0800548,-4.937396,-5.6637735,-7.4924135,-5.923403,-5.3479266,-5.819872,-5.4929204,-5.993926,-5.358039,-6.132112,-5.948598,-5.674657,-5.9789824,-6.338287,-6.7951283,-5.770529,-6.0259714,-6.669667,-6.534018,-6.3561783,-6.221738,-5.9931865,-6.5315204,-6.616916,-6.8310146,-6.947903,-6.4498463,-6.2339153,-5.909272,-5.939298,-6.6947737,-6.4924784,-6.594646,-6.54349,-6.5742674,-6.8995676,-7.4476357,-7.3597603,-6.5826344,-7.591226,-7.18335,-6.3539944,-7.7413363,-6.4775667,-7.423237,-7.8215685,-6.921615,-7.161926,-10.86094,-7.273632,-6.933412,-6.910975,-7.694948,-8.203475,-7.6329074,-8.643702,-8.007578,-7.5155253,-7.754707,-8.161514,-7.0991383,-8.567092,-7.667405,-7.5183754,-7.8727283,-8.372185,-7.6684546,-7.678738,-8.077269,-8.083007,-8.36685,-8.575194,-7.9053874,-9.597086,-7.375254,-8.433961,-7.788741,-8.357974,-7.6230273,-8.393504,-8.547343
60,-1.7942716,-2.5921485,-3.0616786,-2.3532124,-2.10584,-3.1920357,-3.7207258,-3.5265782,-3.0673785,-3.5267231,-3.9746244,-4.1712565,-4.777098,-4.1414976,-4.624017,-4.6234994,-5.079464,-5.0213428,-4.563865,-4.9676404,-5.767766,-7.0592265,-5.6788597,-5.232761,-5.6284957,-5.3148227,-5.517251,-5.243161,-6.0895333,-5.2097054,-5.019729,-5.8635406,-6.4909573,-6.297068,-5.498788,-5.4038587,-5.982257,-6.440189,-6.330757,-5.929469,-5.804583,-6.4422736,-5.6212225,-6.651973,-6.6831284,-6.42616,-6.14956,-5.876083,-5.6313796,-6.434426,-6.4593353,-6.1838603,-6.426041,-6.5447035,-6.2763557,-7.302211,-6.594791,-6.0789456,-7.3629622,-7.246847,-6.285001,-7.339655,-6.140054,-7.1925297,-7.427633,-6.3222623,-6.6879535,-9.944417,-7.076376,-6.9707065,-6.5931306,-7.7511687,-8.200054,-7.2493505,-8.667663,-7.4713526,-7.5811357,-6.8811984,-7.8733926,-6.489354,-8.471889,-7.247572,-7.4219856,-7.406065,-7.5515237,-7.480379,-6.9750466,-7.481483,-7.453209,-8.119032,-8.692922,-7.212846,-9.247963,-7.49373,-8.123137,-6.858388,-8.2940445,-7.768075,-7.95898,-7.9940414
