,08bd45c0807b6fb44faaa54fb53e4213,b73cb42e006377b6fde3161fcec1d0f9,30dbf1c75521f969f69ff64101abcee2,583e7caf625474a3918b14c9f2246d0a,7a3ba492a5e6828062d29151d0ac288f,0234344c5194a16654cbdac94efd8de1,d91d91ddd239d382e64507aae73eba4b,78685ceba064e4c0ed07ada1dc4dcd8d,f34cdcd73e535507d29c29b19d01f658,0fb538dc7ae93db1aad8af6b841e0274,f0251ae1f45621e16745ce99443f242c,b66772dfb431b48b579915617caf0ad6,868e0165fe32a8925b7f20afa5e1dbfc,83ce8edb4ac8c161373501ee646e0000,9597fc3785cf1fa55fae3a6a76e3e1d7,a738568b261166a672bdd2c51055fff7,750ba0e2bb9fe55d1cbb3b4eaadc1981,cc4fa36d40bc7a4d412d0e7cb87ef853,0a4893b9a6062b1e61e27c920e0e38ca,8375b47f50ee3b002fe82bfe00409092,09e001b592afa7c54186b4bd0f7fd237,9318d8cb603c43732005170b52f5de79,552b2e6b06aff5e457765df86c108618,05810500448cc3ad7c9d8b11a497f1ca,92886da043b3cfb88c385fc9b72752d5,e8724520788bb38a7f9d22c91318f016,5e881daab846993e2a1262bd76e598f2,e25ef47f374d93454b340499c284a37e,4da1ab0190b065b4136bce78f2a475b7,e9311af1b908303f03c070ba934c0d8a,54836838deb0d4769d6d07eb48fa827f,1d1d68c0261030f6885f385754f10174,919f52074a986016c7e460883cbe1484,1225347ee9208076df507676ba6503e7,ba0a5157f621548f0a487dc25bf3fada,5b824059f35b2d1a22e2ce26ab79ede0,e38bafa6321bd4ed4b15f934c3eb652c,66710dc67a16ee15b84b22764079988c,f672aa3aea2d03f0b297739022e9b716,19bf0c1b9f4d2805e5df22736695b103,57f295f1e37d390a0d93e4b898f5a1ac,07eb166d091e1aebe641105881f4f2d3,38eb18bdb8fc24ba2666bc99f04719ba,47a9d10e32ffbceb163e240b65825d7e,5ec7485582e96e450b0c65c431780a11,c1ba9460c7bf03aa48206243533697a9,422a3c019dbe1b529c87ac238b5bafd5,095dcca0a1cacb655451100eb59c8ef1,554345c10941538d3c323777253ee02d,5ad4ffad545af8e279101d52bd189173,a6fb5086a3f1107b90bc46aaf31c1d78,838f9b15d03dbd6dc65050aac63dd8d0,495619e6c51e1e0955975577268afaf7,41d407d2dcd22d6ed303635fcdd94744,0eb88b722902316b11770922bcdaca7b,c5750b049169944a0a720c0f9c5c0968,aed191bac0b1c3264208a084af848bed,8abd3585c9b1660fdd408406819f4295,c3b9e67755c1877b5055fcf237ee8a2c,b746f465fc0a651d16eeecc079762c90,60100a196856996735dfb367491283a4,fca1ed7792b0c80cd00c60203ba400e8,b701af8d98ca714dab16ab6724bb631a,1516cd1f7a1e4da4a9318783cb437b3f,1c2b8892a0d7f828d72808cd01cfd199,1227d149bbf9c6e0c11ab7d46c7e503f,80f6c62af8a91fce6b60c53a999bdd7d,c25f046b8bc4de3bcdb537665b5fb25a,b60765bf2e10d524fe9872a961bc4c53,b8544f4c7065245a8949a406eebdab42,5a6c87d6a4eb5e114959f6192f29b641,c9f9355d32e264f6bc060415332587bb,d662d41c478094e4a8f701d57e0564d4,c467d4b4b5f787571d0b7d72c1504ecd,834408b5dea275ad6ac778a97c1414cb,d922e28fdfb36aa671e51df99219225a,bb5d90bda16047b2647c35bcee57cd77,66950cf19482c3f3ee1b7971a304e6c4,c2c4cdbd0939f6a85f1d9dfa6d148a5e,56440c70f592a33b20e98a858002d123,107273e73071282e4d0f4a0b46548da5,c48070f3061b086b60ff32f77e0002fa,91e949df3116e7bc8735d49bceb673a1,55a5e9cc5ecbf0ab7005bda5581d4825,42585a533f2fd89feb71061338fe7dd6,3891c9c486fe0958dacac18bc09c05a3,c86c42d313081e6c6ec2c8088812cb23,2b8313923596f09c18a4b6802c632b36,149550abac2acbfef6d5ae32d4103fcd,10aa3fe0c9285b3a9bb386ecca984c5b,edcee9ae6196e011c79d9763cfa748db,c69962aad1a56cd7400314f370f6e8ba,a2989847b1fb3dfd897685a913060946,e335f74033bc634af43ee6baa84fa247,1cb493a848bb5451756c85b2a5ffd356,0117e9c502bd1cee660d22cb0e8b4a3c,ec4387340f04d3ca85d61e808a411bb9,55a3b3b66eb1d13cf1e9d43f843987c6,04b4ed8ceabf387ba2caa3e54509965d,6d1d55869c5b78e9862457d11a2ce607
44,7.159569,5.9994283,6.148269,4.9746504,6.105183,5.5561843,5.3830814,4.496676,5.1537824,6.1975603,4.5971556,-0.8947253,6.2759266,4.3410826,3.3661122,4.132239,5.8874154,5.570469,5.2021766,5.28608,4.895128,5.7622414,5.2295303,4.95315,4.5097766,5.0104985,4.4510674,4.1344466,0.2753272,3.679504,4.740397,2.7240953,5.8228846,4.3326206,0.015500784,3.8510873,5.98156,3.3468544,4.339559,5.163237,4.6435375,4.3196945,4.4882307,3.8231683,2.8837373,-0.9207697,-0.64307714,3.3567848,4.7950897,1.4004583,4.180663,4.018774,3.411832,6.007884,4.899708,0.22911382,3.2526846,3.7325928,1.8924967,-0.14214706,4.4665008,3.839679,3.6269355,3.168802,4.0177712,0.7113272,3.3869352,4.0784364,4.231565,2.4046004,4.2012267,3.5175772,3.1116557,-2.0787237,3.1933775,2.972816,4.31258,3.3454893,2.149828,4.559886,3.5189164,3.9670687,-0.7311654,1.0938509,1.8703821,2.7143025,3.9373136,2.5739956,4.7365055,3.4339619,4.5969243,3.95882,2.984673,3.1789837,3.643909,1.0874122,5.946369,1.7446822,3.5001435,1.9767401
45,7.291034,6.2908044,6.0060997,3.255745,6.47927,6.320757,5.6143756,5.006356,4.8668733,5.5265646,4.918365,0.17772484,5.9500804,3.1876287,3.5565524,3.9719377,5.8950834,5.2294054,5.508896,5.4379706,5.28984,5.4191465,5.4556165,5.211055,4.8168707,5.280719,4.348214,2.9019165,1.7555242,3.4612412,4.828343,3.9218493,4.972134,4.970374,-0.16139865,3.7587216,5.361824,3.6032915,4.716424,4.387886,3.991519,4.3829226,3.7127028,4.259051,1.7296281,0.33897138,0.5295744,1.9324512,3.8961499,0.7578231,4.142325,3.977047,2.9658525,6.021339,3.8305378,1.697371,4.0267935,3.1979492,2.0425515,3.7472315,3.5599766,4.5053754,3.119764,2.0681002,3.204158,2.2209995,2.5094025,4.008916,3.1941574,1.7624524,3.689934,5.2701774,4.31571,-0.5153627,4.0627313,3.887633,3.5477366,3.0932362,2.5854757,3.7064915,5.1233325,3.352852,-1.668899,0.9499788,0.10604334,4.0820312,4.6046486,2.3696988,3.7312682,4.1148267,3.9110556,3.1446588,2.6182413,3.198036,3.9152324,2.4271836,4.210204,3.1234567,2.3264227,1.4845792
46,7.418025,6.1057873,6.3956532,4.4496784,5.992953,5.8751206,5.830313,5.002853,4.606453,6.069972,4.1970186,-1.1167469,6.2153864,4.1987123,2.7887206,4.2394986,5.706363,5.6414185,5.247068,5.2903514,4.417316,5.2869396,5.144082,4.449834,4.432221,5.0122476,4.2898917,4.1106796,1.7407415,3.0820308,5.17052,2.7590742,6.8148184,4.287563,0.4826281,3.6070075,5.3760405,3.7123294,4.4514074,3.6720889,4.122552,4.345716,4.537223,4.0251527,1.7315583,0.83741784,0.6345322,2.8637507,4.1909075,2.7328131,3.9189994,3.3523037,2.0264044,5.081083,4.309801,0.04540682,3.1539865,3.3176327,2.237116,0.09989691,3.965976,3.4472322,3.1542435,0.7385833,3.78203,2.1855645,3.270031,3.818701,4.45897,1.3961107,3.76966,6.593766,3.9995494,-1.7778016,3.01086,2.8982213,2.8805847,3.4839978,2.7003438,3.4893265,4.983211,3.937558,-0.62674665,0.3491156,2.2347097,3.5233772,5.0038414,2.5063136,3.997174,3.4336734,4.3346834,3.6545653,2.843346,3.3476152,4.2719603,1.7933178,4.5063105,1.9437732,1.2799194,2.1059704
47,7.188873,5.7316475,6.652378,5.179361,6.100744,5.054563,5.1765304,4.2736053,4.6353374,5.8723087,4.475579,0.30801773,6.4719105,4.471195,3.301836,4.2149487,6.0096474,5.620411,5.236362,5.5986595,4.0736933,5.639401,5.287118,4.7712145,4.6176248,5.46877,4.4996247,4.2261415,-0.6095364,3.39163,4.413092,3.4902625,5.6907907,4.41969,0.8514707,3.2905056,5.583497,3.9654737,4.235807,3.2594025,4.4317775,4.519582,4.5177746,3.6218562,1.2612784,0.550076,0.36133122,1.5697097,5.137389,2.4593837,3.9258218,3.81844,1.9546589,5.2062483,2.8229885,0.59848356,2.4844816,3.612366,2.4879093,0.5265527,4.2772493,2.6480987,3.295437,-0.08348012,4.0383677,0.7729387,3.3035185,4.2119827,4.666911,2.0141892,4.5671086,5.1606245,3.157973,-2.0762293,2.3442633,2.9419973,2.865072,4.1893587,1.8883109,5.3432655,3.831738,4.467554,0.7159362,1.4303776,2.10199,3.3946774,5.3089294,3.692809,4.399566,4.097472,4.7167997,3.509291,3.346374,3.5783129,4.428032,0.7565105,5.7258797,1.9292933,0.9186021,2.7404282
48,7.2807837,6.631985,6.5319576,4.9975348,5.8800206,6.0155954,6.2557487,5.365178,4.0862083,5.966674,4.061391,1.4987316,5.7980447,4.520659,3.083253,4.127612,5.709646,5.2619715,5.1331987,5.4218807,4.5376,5.337547,5.2305098,5.0195823,4.6840363,4.9865575,4.1572695,3.6126084,2.7329078,3.588232,5.232227,2.9740791,6.3249207,4.211983,1.4960938,2.97623,4.1515474,4.486508,4.5860615,3.1240706,3.938599,4.65924,4.81461,4.660998,1.3223841,1.2672445,0.6875527,2.930164,4.2347813,0.300179,4.469151,2.978283,2.0767136,6.3995442,6.4189215,0.7873652,3.1790884,3.021551,1.7754787,-0.66614294,3.9243722,2.5335102,2.585206,0.19727063,3.7082431,1.3835672,3.5298443,4.0421286,5.2548723,2.1551437,3.8791556,6.318241,3.560977,-3.3606913,1.1248634,3.353946,2.8653286,3.875864,3.4246504,2.5486586,4.404032,4.2340107,-0.87297225,1.6482143,2.5832617,2.6931832,5.3109226,3.363414,5.131764,3.8605547,3.527065,3.2097201,3.1266057,2.452454,4.0495563,0.3078804,6.9698734,2.7452695,0.78459454,1.8841144
49,7.467712,6.707527,8.0102215,5.8841376,5.9936776,7.148013,6.819516,5.781073,2.5625932,4.973478,4.633991,3.0424037,5.880004,2.7533581,3.046457,1.5670137,6.7996826,5.840238,4.443131,6.2247496,6.0344143,5.796986,5.663853,5.1373553,5.507068,4.854536,4.0192623,-5.118198,7.985059,3.6785095,4.6017385,1.4892249,7.8457427,5.1071563,1.380666,2.4926445,4.027078,6.822214,5.2050266,3.5361638,4.2239094,5.9850016,2.4025214,6.3392715,-0.9588115,-0.3241663,1.14683,-0.26224995,2.4868999,-1.4365544,4.6389465,3.2738292,3.0119915,10.86858,7.601223,-0.29649758,2.8804018,2.329826,0.08069587,-0.7715168,3.0329175,1.9569728,1.9177938,-3.8504558,2.826913,-0.9458816,3.502772,4.253098,5.267153,2.5072875,2.8336644,10.533519,3.5522385,-2.292307,3.6272683,3.4411662,2.4337254,3.5259857,5.201544,-0.4585886,6.116873,2.8538024,-2.0015783,2.0191178,4.834173,3.2938213,6.104187,4.0318375,6.613903,5.1766953,2.627217,2.461975,3.0255888,1.2955732,5.5442266,0.40894008,0.93277645,0.5837395,0.13567507,2.5984347
50,6.425543,6.2397795,7.683111,4.059869,6.429984,5.3944383,5.191334,4.164074,4.0618353,5.3098655,4.6800327,-0.7624793,6.6830115,3.334015,4.15429,2.3314462,6.3729067,6.2670507,4.8089023,5.1206656,4.998433,5.8088026,5.650488,6.1002383,5.143457,5.430638,4.254565,-1.6593847,5.2159038,2.6317556,2.1547654,0.13962984,6.596094,4.760537,1.659353,1.9851606,4.176088,6.8180246,5.8222494,3.845608,4.5800023,4.5900936,2.527526,5.917707,-0.042693138,-0.9796872,1.5314735,-1.4161539,4.021877,0.8369874,4.1373596,3.3539436,4.093402,8.572924,4.962576,1.7248107,4.2254663,2.7395992,2.2962554,3.2227721,3.4902937,5.2989798,2.310965,-2.5407257,3.1504452,-1.2229679,2.9786224,4.491223,2.8219824,1.8394694,3.316989,5.302031,2.7598422,-1.3926058,0.98209083,4.8480167,1.6235404,3.8829432,2.9705553,0.25886655,6.0657034,3.2042348,0.5118711,1.8115612,1.7369963,2.7831187,6.2435813,3.5378416,5.3071995,4.8992286,3.2690148,2.4429665,2.2779734,2.6290085,4.8595963,1.0523126,3.5022905,1.8168474,-1.5101638,1.6343172
51,6.525017,6.2245684,7.470156,4.2139277,6.2249103,6.0396447,5.89575,4.1107597,3.3554292,5.357876,4.594754,-1.1375365,6.7339125,3.070384,3.7762005,2.7289171,6.1384377,6.279482,4.4855995,5.662602,4.483443,5.8224955,5.409259,5.0640697,5.009848,5.092665,4.5459647,-2.7891722,4.971329,2.5499094,2.4927602,0.19603848,7.242691,4.6625676,0.82933617,1.9995475,4.3341513,5.6558876,5.3958735,3.451649,4.252821,4.1279616,3.0501237,5.544861,1.7974281,-1.3257775,1.4040639,0.96325684,3.3907018,1.9979941,4.1304965,3.7064457,3.3230016,6.9373865,6.0291924,0.6035209,4.416388,2.5163798,2.5232422,2.1885808,3.2437012,5.0213428,2.8450053,-2.3336878,3.1439874,-0.8022468,3.5200145,4.0816913,4.173339,0.8837676,3.2105796,7.4723034,2.80662,-3.591708,0.832291,4.279331,1.708224,4.0355687,3.0152974,1.0386491,6.0195293,2.905914,-1.257174,1.3795115,3.8611937,3.2134397,6.082364,3.0742035,5.6113725,5.750671,3.721135,2.8639588,3.1897154,2.3871818,5.1325455,1.5043433,0.41352296,0.28578568,-2.661228,1.8739133
