,OTU_12,OTU_6,OTU_16,OTU_7,OTU_15,OTU_1574,OTU_21,OTU_39,OTU_27,OTU_19,OTU_33,OTU_29,OTU_63,OTU_121,OTU_51,OTU_629,OTU_1810,OTU_48,OTU_57,OTU_83,OTU_100,OTU_61,OTU_64,OTU_82,OTU_103,OTU_98,OTU_87,OTU_89,OTU_1029,OTU_111,OTU_109,OTU_37,OTU_101,OTU_164,OTU_120,OTU_128,OTU_136,OTU_146,OTU_129,OTU_43,OTU_154,OTU_117,OTU_65,OTU_173,OTU_135,OTU_118,OTU_644,OTU_230,OTU_235,OTU_148,OTU_168,OTU_284,OTU_140,OTU_192,OTU_241,OTU_445,OTU_185,OTU_180,OTU_282,OTU_208,OTU_267,OTU_178,OTU_2094,OTU_166,OTU_226,OTU_2,OTU_90,OTU_92,OTU_38,OTU_163,OTU_211,OTU_150,OTU_415,OTU_2097,OTU_246,OTU_301,OTU_252,OTU_254,OTU_234,OTU_266,OTU_60,OTU_221,OTU_220,OTU_206,OTU_443,OTU_397,OTU_296,OTU_410,OTU_250,OTU_308,OTU_399,OTU_209,OTU_6803,OTU_601,OTU_323,OTU_320,OTU_93,OTU_249,OTU_1812,OTU_567
85,-5.7880645,-2.6798124,-3.099929,-2.9193728,-3.5535362,-2.8493392,-3.5742054,-3.0763004,-4.1893067,-4.406789,-3.9399698,-4.1628237,-5.8810716,-4.701026,-3.7216477,-5.1722116,-5.279357,-4.9751954,-5.0553355,-5.0660534,-4.724693,-4.760039,-4.7488093,-5.5534477,-4.7567496,-6.5161495,-4.062019,-4.7941885,-4.259016,-4.2934637,-5.5555563,-6.2408347,-4.245125,-4.454035,-5.4718504,-5.258449,-5.4035916,-3.9460924,-4.645175,-5.0336475,-6.066434,-6.5940385,-6.767986,-5.755501,-4.896953,-6.4595447,-6.2259283,-6.4560547,-7.0856977,-5.3322315,-8.508585,-5.2585077,-7.123624,-5.7855515,-4.960022,-6.626297,-5.7966065,-5.338252,-7.373651,-6.1981378,-5.9443903,-6.4011683,-4.5717483,-6.5981784,-5.4970527,-5.445291,-5.510284,-4.6058393,-7.446282,-4.6953135,-6.6670394,-7.365555,-6.8399916,-6.125351,-5.2024775,-7.197064,-6.9093027,-7.9550014,-5.8760877,-7.6672964,-6.985254,-6.62133,-6.5400977,-6.0426016,-4.609954,-7.2893467,-7.26831,-7.0264316,-6.551395,-4.9243217,-7.666183,-4.066493,-6.065706,-5.151163,-6.506719,-6.6580377,-5.6041803,-5.9731555,-5.9366813,-4.4798884
86,-4.173643,-2.3918324,-1.9651853,-2.5977943,-2.4430363,-3.018182,-3.4762878,-1.7898473,-3.0635834,-3.6174967,-3.6133697,-3.1553035,-3.6464841,-2.848055,-3.3049169,-3.8099594,-3.8772488,-3.7279463,-4.1429434,-3.6211066,-3.256469,-3.8598392,-4.3084035,-3.5816972,-3.5301795,-4.9409566,-3.6628265,-4.25019,-3.9481237,-4.391349,-5.1897354,-6.964338,-2.8592927,-4.5515513,-3.6045783,-4.17411,-4.8039484,-3.2906692,-3.9813213,-3.8869781,-4.3363857,-4.735471,-7.99239,-3.984942,-3.656557,-5.092773,-5.800214,-5.138637,-4.888265,-4.321107,-7.5134726,-3.9999332,-5.487733,-4.98983,-4.3420925,-4.312214,-4.527656,-3.1293726,-6.1946297,-4.047464,-3.6798968,-4.9249635,-3.2038255,-4.011467,-4.068199,-4.3971324,-4.9649425,-4.3389425,-7.227743,-4.7670555,-4.747052,-5.9972687,-5.248071,-4.706602,-3.7562575,-3.9528706,-6.461342,-6.002314,-4.829389,-5.6972823,-6.394287,-5.7076917,-4.930904,-4.637579,-3.98623,-5.7647686,-6.452435,-3.2265365,-4.9282217,-4.378759,-5.8588886,-3.170788,-5.7231197,-4.4722204,-5.1662087,-5.2387447,-5.0226245,-7.2626557,-5.464298,-4.1728997
87,-4.5091405,-2.6815052,-2.2816117,-2.9944532,-2.9769628,-2.2787316,-3.4120357,-2.0802097,-3.3905494,-3.5803194,-4.092297,-4.183791,-3.9191425,-3.6422622,-3.420039,-3.8285568,-4.5699472,-4.3984017,-4.8192854,-4.2913504,-4.0666504,-4.1062393,-4.582574,-4.43998,-3.6460428,-4.9137692,-4.2427278,-5.2759523,-5.0603123,-4.621211,-5.6140246,-8.722922,-3.2477093,-5.4851036,-4.2044897,-4.8542786,-4.7724237,-4.111384,-4.749086,-4.319322,-5.309055,-5.659995,-8.675714,-4.701029,-3.7835665,-5.332288,-7.18172,-6.0539813,-5.8715725,-4.8587117,-7.9915957,-4.7401953,-6.9728036,-5.728886,-4.1702604,-5.235508,-5.005077,-3.6057742,-8.115649,-3.4062955,-3.7239182,-5.316473,-3.5382485,-5.188306,-3.992761,-4.6459103,-8.164596,-4.422218,-7.888333,-5.740169,-5.7919254,-7.184134,-5.8400054,-5.2685885,-4.801862,-3.6614165,-6.6993732,-5.3438516,-6.1619983,-6.216433,-6.787764,-6.4242306,-4.5973024,-6.759063,-4.124309,-6.3001986,-6.4663906,-4.887195,-4.864338,-5.0958276,-7.50703,-2.7445202,-8.391364,-3.5691795,-5.557062,-6.138229,-5.873296,-8.856138,-5.487809,-5.289366
88,-4.2208686,-3.602222,-2.3590288,-3.1700063,-3.3540812,-3.540851,-3.4032583,-1.9913381,-3.4488645,-4.687508,-4.280332,-2.999071,-5.245664,-3.6329894,-4.73144,-5.357291,-4.2704387,-4.8100214,-4.4992847,-4.224026,-4.3856063,-4.627419,-5.249327,-4.802334,-3.6080987,-5.0374675,-4.5414977,-6.0094357,-4.6863647,-5.9457254,-6.1103606,-7.0035195,-3.9034534,-6.106723,-5.052455,-4.475904,-6.1093082,-3.9190845,-4.479044,-4.444524,-5.7123427,-6.1874495,-7.7784224,-4.7553406,-3.9083073,-4.9149437,-7.336766,-7.0117044,-6.3798285,-5.7385135,-8.211454,-5.0398254,-7.9678097,-6.091545,-5.707563,-2.919867,-5.128612,-3.815793,-7.379837,-5.6238112,-5.6396375,-6.2108803,-3.5749338,-5.9226475,-4.889741,-4.960968,-6.5809875,-5.1854496,-4.9071765,-6.350803,-6.741869,-5.9772067,-6.0104866,-4.935124,-5.3341746,-5.157966,-6.9180856,-6.268496,-5.556353,-7.405602,-6.557319,-7.584558,-4.7979107,-5.190258,-4.749653,-5.856965,-7.4625516,-6.782405,-6.0360575,-4.657117,-7.725323,-2.9508257,-6.048894,-5.995781,-5.651053,-5.279892,-6.094879,-8.04248,-5.2488647,-4.6752224
89,-3.7105706,-3.3985295,-2.6972487,-3.4152615,-3.202494,-3.2972422,-3.2306745,-2.7058208,-3.6319208,-3.427725,-3.6671278,-2.954666,-4.3531427,-3.6704407,-4.379315,-3.9452593,-4.108847,-4.8029404,-4.528105,-4.3276343,-4.0965962,-3.5897207,-4.4024706,-4.748993,-4.01843,-5.1445074,-4.1922617,-4.5943007,-4.5276933,-5.0103493,-6.191697,-6.15909,-4.2953453,-5.301347,-5.0187497,-4.543313,-4.960883,-3.725897,-3.655162,-4.9966555,-5.7873387,-6.3727884,-7.6057014,-4.713573,-4.0846424,-3.9334242,-6.5051637,-6.22152,-7.684706,-5.2208505,-8.388503,-4.867955,-6.770814,-5.0771503,-4.632623,-3.7245514,-5.179803,-4.1504593,-6.242134,-5.3622713,-5.3622293,-6.381841,-3.5704584,-4.75809,-4.7035704,-4.4169226,-4.33842,-4.5420785,-5.7737865,-5.884035,-6.1371064,-5.7882767,-6.17661,-3.7588377,-3.9034898,-4.594851,-6.3982925,-6.982114,-5.483666,-6.061545,-5.377482,-6.487359,-5.6497107,-5.857356,-4.1843777,-6.2387624,-7.446068,-4.5722294,-6.195216,-5.040907,-6.793331,-3.3240457,-5.702066,-4.96553,-5.8901005,-6.215292,-6.051504,-6.9395065,-5.4756255,-5.011728
90,-3.532519,-3.1388044,-2.4251156,-3.139032,-2.6689904,-3.8621519,-2.5730386,-2.2303457,-3.5247138,-3.5550473,-3.1351075,-3.2488203,-3.571459,-3.3554986,-4.1519256,-3.755833,-4.4364114,-4.9039683,-4.0593176,-3.8943734,-4.0717654,-3.4040387,-4.260059,-4.1347747,-3.9835312,-4.716638,-3.5985513,-5.313612,-4.5149236,-4.408284,-5.6859756,-8.290871,-3.97619,-5.691458,-4.039428,-4.9833636,-5.437467,-3.8042471,-3.7969644,-4.608289,-5.1165676,-5.7155395,-8.941747,-4.15949,-4.3644,-3.9003978,-6.4310417,-6.0070324,-8.003042,-5.13218,-8.806733,-4.5801945,-6.66258,-4.527469,-4.701195,-4.600764,-4.5708847,-3.4954364,-5.880695,-4.1459537,-5.6557274,-5.976824,-3.9562435,-4.2284775,-5.0790234,-4.3934045,-5.7946577,-4.3732433,-7.377512,-6.7578216,-6.60573,-6.684227,-5.189534,-5.1864347,-4.8681226,-5.425855,-5.9517674,-5.794079,-5.364097,-6.14667,-6.1159034,-6.2904816,-4.8995442,-6.7177176,-5.441894,-7.732944,-6.021703,-4.8673496,-4.8704867,-4.3226414,-6.2580447,-3.6432319,-7.8168044,-5.2675066,-5.7182746,-6.1828513,-5.879116,-7.6507263,-4.869169,-5.1764927
91,-3.6084955,-3.2393594,-2.2569964,-2.721694,-2.9572816,-2.9493866,-3.4149156,-2.6265645,-3.3631697,-3.6681793,-3.8132386,-2.9275725,-4.2539105,-3.1790113,-4.082042,-4.0182567,-3.5425467,-4.700886,-3.9222243,-3.95192,-4.5909142,-3.0820787,-3.4828928,-4.7110486,-3.92337,-5.016877,-3.3853693,-3.4612708,-3.881741,-4.5224676,-5.0094447,-6.6067247,-3.9879684,-5.0856733,-4.5425057,-4.489142,-5.7017107,-3.8590038,-3.9208503,-5.4312015,-5.303548,-5.3766003,-7.0958467,-4.193456,-3.9302459,-3.6368666,-5.8997808,-5.832461,-7.908866,-5.1822996,-8.088959,-4.101184,-6.106795,-5.397765,-4.591702,-3.4518156,-4.281133,-3.582034,-6.016662,-4.3751497,-5.3385873,-6.0321774,-4.1479006,-4.6244354,-4.888893,-4.3095427,-3.9374788,-3.6788929,-6.7667255,-6.0235295,-5.1162148,-6.6605325,-5.4373746,-4.3265514,-3.549781,-4.893273,-6.509426,-6.1712027,-4.9920406,-6.7082086,-6.986571,-6.478371,-5.0410933,-5.797316,-4.2130737,-7.577787,-6.669001,-4.5609293,-5.7446947,-4.424893,-6.368072,-3.926744,-5.732655,-5.455314,-5.0440497,-6.3746448,-5.4906473,-5.062431,-5.4548607,-5.1329284
92,-5.0830617,-3.072629,-2.3787522,-3.4598103,-2.7202654,-4.2992253,-3.589033,-1.4461564,-2.9670706,-4.385582,-3.8161047,-3.5344582,-4.331246,-3.5450065,-4.2897305,-4.961308,-4.7417088,-4.8235307,-4.30789,-3.4689798,-4.235758,-4.125656,-5.5891123,-4.012809,-3.6883621,-6.0375395,-3.9498205,-6.5164094,-3.7746224,-5.0831366,-4.8551397,-6.0178533,-3.912304,-5.8866925,-4.417935,-4.324333,-6.001259,-3.8445773,-4.6748447,-3.929248,-5.344248,-5.3413353,-6.812339,-4.7889957,-4.0491304,-5.3705907,-6.534944,-6.0353503,-6.5812955,-4.8262916,-9.33992,-4.1658626,-7.401901,-6.041082,-5.731406,-3.1956558,-4.749878,-2.7402358,-7.2597814,-4.9552674,-5.8338523,-5.7726135,-4.007333,-4.723204,-4.6950827,-4.872155,-4.853094,-5.252762,-4.8451114,-7.5559726,-7.1820335,-6.6755958,-6.237861,-3.641104,-5.431159,-5.5358157,-5.577926,-6.0885315,-4.2864985,-6.533984,-6.9657454,-6.566826,-5.557671,-5.5137916,-4.6865864,-6.7104087,-6.9969506,-5.518732,-5.638097,-4.596571,-6.661045,-2.5040338,-5.82682,-5.8507104,-4.7046533,-4.786192,-5.9552665,-6.9486732,-4.2191815,-4.3956294
