,ad4cba5280fb47cbebea01e7031af61c,8abdf967e5b46a4af2dc34923219a392,25b7d72340d612b530455f3f2695d11a,8562afaf3955423d4eda6d71b8b277d8,6c5f4f9666d82b1bedf94e99acfe6741,5cd37e05111717fc8bbb6b94769a58f0,d829bee4984f82ffc2453212157caf96,9d127ac8ec1a7b03befe92229847b811,bf3a1a4c1b84ea31505d1050de6beab1,2d16d001e21717f960cf771ae879b1dd,83e948f389f9d97b0c975afc880989e8,13c94683bc0368daf22efe280916acd4,46d99f09b9b4c58ca58cda72404768bb,e6ae687fa14ab2cd9955578eb02bdcab,69023e9c72ccf5e979a500bf1c235026,26005dfb7ad2e8cdbb139846af329663,8145fcdc23c05da1eaa10f826eafcd02,e16d86b7fe770de88e7e8fd0fb6c8b5a,d326d182c4d5d5cac0f8ea5d778af5b1,1d145835e7f0188562322f4eefb02657,d3d472c89611f2b47bbe1b12747001e8,bcc804ad1c95335596932486130c5e6d,6472eb8b1e09f892aca2f23182962903,7d14fe4e8495c6c1ee5a40bda6bc1fc5,7ff346973a282aa55de296afdb5d74af,4457bfd8e0cc459a2088fdaa222aa3af,90aca794c7e30b8a77e87f13ffc9a5cc,bc3676c17839094c4fa8e33268905268,120eba657e42a11a5c29f97b90f02035,fd1098cd571337c869bc804919b0f630,bdf8a26094624622d68509a87fa75ba7,8206db4b8b8bbd572d04ab96cb720f52,5461cbec86382de4f99ac81bfd6293cb,cbfdf57625ab3c2f96b2cbe53342b94f,4c687e9abe11199b993e2ab668384d5c,a0b84d1e743c5c63fa472ebb0e5f920e,2fac845da336657d55f1a9f350c6bc09,1c2b8892a0d7f828d72808cd01cfd199,1fb6ab5be1d427ef2ed5faeaacd60eca,abae3771d5f40267f682b62f003a3d9b,210103819517329a90f0656fbf1639ec,86e14dd85367bf944f87fb172a7697ea,cc60312357314937af544b9333c06feb,dab1160ee7a4ecf9945086ff09f99528,0ddcd311e02f742e2e0e61ce02cf9c29,b2d174d55400124fc94a0b38fada4b3a,f2b75630f9d3ae484c97b3ee9c2ce66d,308df1fb41d807a16562a9960b47db39,63bffc481d9d40a5b6aaf178954bbcdb,09fb9a825ce15adbdb8cb2fc98de038b,c39e15de7f8295ecfed0969cd53b2126,729294fe01d434e2eff0b0528bd4d26a,63e1f0fefba06459121a3a6fa83c5941,ed4eb0c93690ed93b1306bbc507ef2ba,d7f06fea948e188eea5ef649478bb75e,146011b4b3b1ac5bd7d8224c5d93209d,1b9123f5b28e795eec7c9fac313296a8,aeacd2afff6f64686cf9630d9547a892,3a7bcfd3dd1c23c2efae4b6b3fcd36a3,e9b70570f6e642a8721db4312e0b2763,1f6cf1d5418139ccc08e2bb80b6fd00d,1b057b5f1c048af522447b5cda8c6be9,4608fae4bbc9964cdd17af8782f2155e,84351f43af04791ddd7762ac90f5bb66,466cdff6005dcc2faeaa225f5048174a,4aed6a6836270535a3e0c9b3f5b966e8,fe0ee07c8a03dcc118f7d3ceb7ae8f47,4d6c4c551f53c3ab04e6af55c2fdbc63,ffa31a3700f9548aa83f7acaa113d1e8,ab0184f9b865f34e92ea87ed83be9079,103f1919b7687d97c88fd3c34b52a0ee,ccddd34639efdaf38949c8859f85eca7,f3ab46eb643f9fd49253881533af6c9c,4ad850902c9101b6a6024b081f1ab9d0,cb5b9907447a49154182dee3ea78d16e,df8ccc83457fa7a13d3aa89a402b6c29,d0fbc9aff818121519652ff493a83314,252ba0276b58c6239fcabd31c6082a06,fe74fd714cefe90175f7aec710750fa5,99b45d835ebb17d61efa99fbea02ad39,b32c31cdf2e8499f2dcf74dc1dca50df,97fd5405520473610f5ff4686960371e,68c56896f754db932a51a88ebad5bc6a,faf12d1e8ced164ada65be05df6962d1,cd5cbbf5c9cdb460f3da9ceed4a787ad,47f2617de53ce85d035fd4d1cc587272,a14e6fb98dfdb0c8bb6403538c4feaae,8af9b72c1b3847562719d980e6cab6ef,f128a86a33356a0f49169a42bbdaa7fa,97a7fce8cdd13b1e08878a12b1ece4fd,526f60719efbc69c6a1d39c7ad78f864,6de8fff163b98c8aa71aeec462c52f49,011e10f8a25fbb7772784b8ada133bb3,e5841b2713289f05e7bc8221f7086b42,d1f4babdfa6aa29532c66b9b1b30c201,403aa856cd248423fcd9f7242ef77099,717e6182253f059237eb5caacd914ba4,7997386ba2220d045f0c4c8d2070d451,f15b29f8cd5dc2b290818ad676b17429,2743823e7602e70cfa467627e69d2774
53,7.1657352,5.897971,5.8574953,5.3521886,5.750122,5.6358004,5.4886417,5.076269,5.0796638,4.806069,5.383982,4.742664,4.8512716,4.3289766,4.6651154,4.4632654,5.061556,4.4902835,4.9637027,4.871505,5.0151477,3.769705,4.6155953,4.600293,4.60681,4.784857,4.508501,4.6484876,4.6035643,4.7550964,4.9091034,4.1502104,4.4329576,4.566559,4.2392945,3.6250126,4.283893,4.0447316,4.228838,4.2735624,4.0967917,4.117101,4.2461996,4.3893437,3.8580685,4.1586056,4.562892,4.5506554,3.9541376,4.2399554,4.145535,4.2991643,4.134471,3.9858768,3.9629066,4.0488343,4.3176713,3.957112,3.972107,4.180033,4.173044,4.341283,1.6044482,4.0141244,3.8747656,4.000005,3.4020565,4.509702,3.8187606,4.153751,3.6337504,3.6151989,3.674597,3.1074405,3.7925518,3.605524,3.524844,3.3122513,4.2194934,3.4243062,3.4781184,3.5490568,4.12308,3.4803562,4.097852,2.9890285,3.7574825,3.1524923,3.7594054,3.9554021,3.801193,3.6250136,3.4131014,3.5430431,3.919462,2.7711108,3.1977122,3.2831917,3.883441,3.7875614
54,7.3914447,6.1834283,5.9996734,5.374785,5.854408,5.873561,5.9740963,5.0154753,5.4995303,5.3862057,5.4826956,4.7064037,5.083731,4.6777673,4.560734,4.7020435,5.071634,4.5061746,5.146914,5.3998327,5.203671,4.249542,4.9863334,4.8818793,4.703524,5.035276,4.8153486,4.773793,4.9005127,4.613415,5.033124,4.337253,4.9233994,4.6106935,4.6181855,3.7099319,4.561082,4.1475754,4.203564,4.447226,4.1155725,4.2515383,4.38954,4.8297377,4.0767527,4.6534424,4.720258,4.1851554,3.905776,4.5649633,4.100288,4.588272,4.3284273,4.3194385,4.0440207,4.135123,4.9478025,4.214922,4.452908,4.4428244,4.28832,4.774147,1.9482656,4.420743,4.1825314,4.3186684,3.434966,4.8226132,3.7892816,4.4313307,4.1569166,3.811621,3.7264676,3.310384,4.4562826,3.8050754,3.9176955,3.158486,4.3204513,3.6561575,3.3672912,3.6070194,4.2363977,4.084461,4.320034,3.0983152,3.7879934,3.0729077,3.8304925,3.963459,3.7615082,3.7296627,3.677547,3.6763945,3.9337978,3.1164982,3.297763,3.0421991,3.8292294,4.15893
55,7.669145,6.4057655,6.307041,6.146902,6.0576687,5.7394333,5.9948096,5.438416,5.1992784,5.3790164,5.611269,4.951408,5.3753724,4.67003,4.9387417,5.0313306,5.2787514,4.8543167,4.81058,5.1054735,5.3131537,4.252632,4.4934573,4.8919563,5.034001,5.204661,4.866382,4.9096694,5.02371,5.099168,5.2459497,4.7448373,4.609284,4.6821213,4.603669,4.2516155,4.3580976,4.327766,4.428336,4.702089,4.5651126,4.5246353,4.6469526,4.533972,4.3250346,4.469374,4.528321,4.9323764,4.256488,4.424814,4.4413333,4.6039805,4.289653,4.4944196,4.5107813,4.4746127,4.243194,4.221955,4.4196186,4.378249,4.3655825,4.4238296,1.8408549,4.2888036,4.3022375,4.48394,3.7330253,4.5724063,3.9489691,4.322215,3.8068283,3.776558,3.8163977,3.802593,4.1567163,3.9490824,3.7989867,3.8949854,4.1706386,3.6599674,3.9124036,3.9739614,4.1781955,3.6407397,4.4270744,3.2970695,4.0530806,3.619776,3.9515693,3.9600215,3.8508909,3.9410625,3.8568926,3.81621,4.0736566,3.1698143,3.383371,3.5964139,3.9478955,4.0668745
56,7.166787,5.757004,5.8440814,5.3931046,5.774959,5.369739,5.605234,5.0112095,4.9273415,4.76342,5.4890337,4.9380894,4.742132,4.427164,4.8264594,4.7360077,5.264273,4.6074834,4.7925186,4.822305,4.9713097,3.8342614,4.364414,4.977534,4.491175,4.9517374,4.5831966,4.603857,4.684031,5.2731028,5.052368,4.361864,4.2253275,4.324413,4.3691697,3.7003846,4.1043534,3.9770339,4.2120795,4.337276,4.2483945,4.4968925,4.323784,4.439559,4.0691757,3.981984,4.4131675,4.624228,3.680035,4.225024,4.377516,4.3187356,4.241783,4.0599623,3.7828922,4.5866,4.312655,3.7798111,4.3278813,3.8129454,4.138983,4.1498876,1.2253116,4.0041413,4.3957253,4.257752,3.4213855,4.2511363,4.152866,4.0815873,3.2040548,3.1634521,3.4715335,3.1353388,3.721421,3.5713382,3.0487518,3.771161,4.2396874,3.275711,3.5839543,3.4162228,4.2622705,3.3634877,4.4114156,2.9433687,3.5862467,3.4803836,3.9877546,3.5834234,3.6484096,3.5316734,3.565647,3.4037025,3.9115314,2.4065063,3.2992377,3.600464,3.9519036,4.1876144
57,7.1680045,5.7364573,5.921492,5.572243,5.7870975,5.3894687,5.605078,5.2241344,5.0384197,4.880365,5.432148,5.043085,4.7610116,4.641901,4.8976846,4.893375,5.2460938,4.8233314,4.794216,4.7007895,4.9350758,4.0109034,4.5413604,5.0632563,4.5454917,4.9712276,4.7016315,4.6366415,4.7487993,5.1885023,4.970646,4.4410825,4.3053613,4.479188,4.4621077,3.8359241,4.218888,4.1196885,4.1255593,4.5004935,4.4213266,4.452916,4.2556205,4.298424,4.1835785,3.9952824,4.3314233,4.627625,3.8383963,4.2996736,4.521706,4.4569974,4.324318,4.0026283,3.9737358,4.610867,4.220234,3.8991692,4.2776585,3.8787968,4.1208563,4.2352066,1.4833516,4.090538,4.3121643,4.405719,3.528537,4.153772,4.2399387,4.064055,3.3609066,3.3252757,3.7081432,3.3116322,3.795035,3.7561824,3.297191,3.8275123,4.205138,3.4494529,3.7600327,3.6149607,4.2671914,3.386447,4.388833,3.216091,3.670424,3.3545558,4.030421,3.619829,3.570568,3.6001403,3.635663,3.5135381,3.9469104,2.5404499,3.2916267,3.7452075,3.9502692,4.1496663
58,7.115901,5.611659,5.6410213,5.5219703,5.4918566,5.151679,5.45296,4.9874206,4.669962,4.8582363,5.241647,4.5598965,4.471826,4.1866355,4.6569963,4.627527,4.941318,4.4385405,4.428912,4.5006933,4.772965,3.7439685,4.2138157,4.6799836,4.451147,4.8557696,4.391728,4.378498,4.7245836,5.08223,4.80836,4.24502,4.1775036,4.2876973,4.226079,3.5471425,4.007408,3.897425,3.8874173,4.3752713,4.2366047,4.1078753,4.0269628,4.2636895,3.9304013,3.9546373,4.1470766,4.8745217,3.8258102,3.9534762,4.276263,4.439182,3.857685,3.7970855,4.092958,4.2350903,3.9828339,3.8145785,3.9280882,3.8868809,3.8302605,4.23116,1.2140498,3.8865976,3.8613229,4.335231,3.0068855,3.992917,3.8934417,3.8214774,3.2522588,3.324535,3.4730618,3.0852835,3.7056794,3.4310665,3.3340821,3.387417,3.9045386,3.0761147,3.792995,3.7112362,3.962381,3.152893,4.24732,2.9930058,3.674371,3.2905993,3.6153016,3.4805107,3.3596928,3.4192762,3.3568878,3.4766564,3.6723113,2.6571968,3.1355422,3.4684072,3.7124147,3.8306317
59,6.980219,5.706261,5.638025,5.0860844,5.3710036,5.2476177,5.0745215,4.84929,4.7527575,4.216121,5.2103505,4.538646,4.627033,4.1398783,4.3324237,4.5717144,4.9761615,4.4181747,4.3361535,4.3371973,4.813792,3.3773317,4.1213436,4.618227,4.1235805,4.65873,4.0277443,4.575586,4.5869904,5.0480995,4.5583744,3.9045665,4.0221605,4.1820335,3.9700458,3.1208653,4.024088,3.563536,3.8393893,4.2107306,3.9922175,4.0473332,3.896328,3.8776991,3.7564983,3.6342041,4.2723765,4.7285104,3.677331,3.9957561,4.063626,4.130406,3.9932005,3.6517031,3.5172741,4.053569,3.8890736,3.5805566,3.667013,3.865181,3.8777945,4.0043116,1.0953263,3.834127,3.6377783,4.234177,3.169649,4.21887,3.797531,3.8765883,3.0096385,3.3246725,3.4812531,2.6894684,3.3218336,3.3109274,3.1074672,3.074679,4.1228952,2.9918356,3.6799908,3.5232873,4.10138,3.1773582,3.9915974,2.7404401,3.4943986,3.2762225,3.451355,3.4505186,3.575853,3.5381384,3.458198,3.340861,3.6299129,2.1412206,3.023299,3.6249828,3.7916214,3.5882125
60,7.258985,6.1093674,5.852892,5.3987427,5.371905,5.3628917,5.0448217,4.904737,4.395195,4.3659935,5.0475163,4.1838355,4.753099,3.7712586,4.254223,4.679082,4.5360503,4.433162,4.0209537,3.9994535,4.84949,3.144609,3.8242946,4.1636753,4.4948807,4.500839,4.028682,4.440836,4.6897297,5.0757513,4.575497,4.063008,4.1407466,4.223268,3.613268,3.4352896,3.9942625,3.6562452,3.8834698,4.1875014,4.101136,3.7972496,3.8935313,3.8752913,3.6305254,3.809136,4.340438,5.1908073,4.1022754,3.9164548,3.8111906,4.1278358,3.8118734,3.854723,3.968407,3.4483042,3.5770197,3.8005202,3.336824,4.2698183,3.884042,3.7682285,0.9520242,3.7950723,3.1683037,4.270656,2.939355,4.347859,3.554659,3.7645302,3.1116555,3.9335868,3.349432,2.8477147,3.085023,3.071514,3.5052218,2.9549744,3.6126525,2.9385734,3.5878305,3.7139983,3.9721882,2.7372022,3.6009755,2.7236974,3.8229141,3.1073592,3.2440326,3.7162886,3.6453261,3.8259032,3.387964,3.2883172,3.5234697,2.580837,3.0098064,3.154732,3.415322,3.1409087
