"ASVID","DonorA_Stool2","DonorA_Stool4","DonorA_Stool5","DonorA_Stool6","DonorA_Stool7","DonorA_Stool8","DonorA_Stool9","DonorA_Stool10","DonorA_Stool12","DonorA_Stool13","DonorA_Stool14","DonorA_Stool15","DonorA_Stool16","DonorA_Stool17","DonorA_Stool18","DonorA_Stool19","DonorA_Stool20","DonorA_Stool21","DonorA_Stool22","DonorA_Stool23","DonorA_Stool24","DonorA_Stool25","DonorA_Stool26","DonorA_Stool27","DonorA_Stool28","DonorA_Stool29","DonorA_Stool30","DonorA_Stool32","DonorA_Stool33","DonorA_Stool34","DonorA_Stool36","DonorA_Stool37","DonorA_Stool38","DonorA_Stool39","DonorA_Stool40","DonorA_Stool41","DonorA_Stool42","DonorA_Stool43","DonorA_Stool44","DonorA_Stool45","DonorA_Stool46","DonorA_Stool47","DonorA_Stool49","DonorA_Stool50","DonorA_Stool51","DonorA_Stool52","DonorA_Stool53","DonorA_Stool54","DonorA_Stool55","DonorA_Stool56","DonorA_Stool57","DonorA_Stool58","DonorA_Stool59","DonorA_Stool60","DonorA_Stool61","DonorA_Stool64","DonorA_Stool65","DonorA_Stool66","DonorA_Stool67","DonorA_Stool68","DonorA_Stool70"
"OTU_143",17,23,19,2,16,31,30,10,11,20,11,11,17,13,20,46,30,17,23,12,9,8,12,12,10,8,31,19,9,15,32,22,22,24,27,49,43,22,17,25,41,30,30,17,18,22,9,22,20,16,17,25,32,17,19,10,21,10,5,15,4
"OTU_140",23,21,7,2,17,20,17,5,2,15,23,2,16,9,11,15,12,15,22,27,15,10,37,16,20,3,34,15,18,3,12,65,52,25,7,5,32,32,47,22,14,37,40,21,31,29,21,7,15,41,13,11,11,8,17,21,20,28,14,14,14
"OTU_224",11,14,23,7,12,16,23,16,17,15,12,17,18,18,20,11,18,17,16,17,12,13,50,28,44,17,18,18,21,22,4,18,22,11,15,17,12,22,18,18,14,14,27,25,29,15,33,16,28,17,20,24,30,16,12,23,27,21,7,10,22
"OTU_123",25,19,16,7,27,26,37,11,11,30,12,22,19,9,11,30,12,12,13,10,11,14,30,14,7,3,25,9,17,19,5,9,9,13,11,54,37,4,32,39,38,9,38,47,30,31,25,8,9,25,16,11,11,12,5,18,16,30,11,4,3
"OTU_88",35,25,14,19,17,8,24,14,19,18,26,18,9,23,21,31,22,21,35,26,31,8,4,18,3,9,32,29,43,18,22,28,13,59,54,46,21,4,37,24,20,6,20,30,21,14,14,1,4,5,2,8,1,4,1,1,15,2,2,9,9
"OTU_126",19,16,12,3,14,20,15,9,6,14,10,6,7,8,9,19,20,19,20,17,24,15,44,9,18,16,38,23,18,10,22,14,24,18,4,6,13,8,40,16,36,35,12,14,15,24,22,13,12,41,24,18,29,15,14,27,29,35,24,9,8
"OTU_29",4,1,13,59,6,13,1,8,142,93,6,11,105,13,4,0,9,0,1,1,59,3,0,1,0,8,1,0,0,2,1,19,2,0,20,16,13,52,0,1,0,0,2,1,0,0,2,14,70,8,2,5,1,9,47,21,61,23,25,89,30
"OTU_118",32,26,34,5,16,36,28,15,17,11,16,7,2,3,7,7,7,12,6,21,16,31,55,25,19,8,9,12,29,21,10,17,29,18,13,15,18,23,15,11,6,18,19,20,23,37,22,9,21,12,34,13,13,18,11,8,14,25,17,11,8
"OTU_109",24,39,17,10,28,12,28,22,18,23,20,16,18,22,15,27,20,17,17,22,25,6,9,9,14,14,32,28,36,16,26,22,22,22,22,19,18,22,13,12,24,8,20,20,6,14,14,8,1,6,4,6,8,8,11,21,29,2,7,18,7
"OTU_211",32,22,14,7,15,24,22,17,14,25,25,14,10,25,25,25,32,25,23,17,36,12,14,9,29,9,35,11,30,12,29,28,26,16,17,6,5,8,25,7,7,15,12,18,19,11,12,11,3,19,10,12,6,10,23,7,23,8,16,12,10
