,99fee0a19b008f861969600865c985de,c834e02be94ea60ec2900976677cc474,dfcfd742612d616e7c1097c359c7e63b,123e950130b49f3692b2898d9a43ef9c,091126efa2a5f6896c1a128c49160228
34,592.77454,1206.0503,1944.1812,2576.629,1265.3578
35,524.9686,1129.4265,1674.0856,2100.6443,985.95184
36,499.021,1049.4664,1618.8064,2092.2905,1041.0013
37,456.07315,926.0008,1498.6711,1987.816,1004.4859
38,436.9879,905.04205,1401.1261,1801.849,907.7516
39,400.64813,837.56165,1293.4381,1653.1129,834.31006
40,378.25406,781.2775,1217.4425,1570.2314,797.53204
41,352.9425,723.5198,1132.7864,1462.8918,743.6478
