ASVID,99fee0a19b008f861969600865c985de,c834e02be94ea60ec2900976677cc474,dfcfd742612d616e7c1097c359c7e63b,123e950130b49f3692b2898d9a43ef9c,091126efa2a5f6896c1a128c49160228
45,97.3903,98.42479,99.130936,99.02194,97.534424
46,97.50462,98.5412,99.232506,99.11972,97.633545
47,96.69589,97.717545,98.39672,98.26301,96.79403
48,96.68295,97.707466,98.404854,98.27948,96.80429
49,96.68146,97.70593,98.40335,98.27796,96.802795
50,96.6814,97.70589,98.40333,98.27794,96.80277
51,96.6832,97.7077,98.40511,98.279755,96.804565
52,96.6832,97.7077,98.40512,98.27976,96.804565
