,99fee0a19b008f861969600865c985de,c834e02be94ea60ec2900976677cc474,dfcfd742612d616e7c1097c359c7e63b,123e950130b49f3692b2898d9a43ef9c,091126efa2a5f6896c1a128c49160228
45,3525.34,2280.49,1094.93,921.7,473.5
46,2833.1,2328.76,1316.86,935.37,607.38
47,2178.93,1971.69,1481.92,995.6,753.11
48,1866.22,2004.02,1490.47,825.6,757.47
49,1741.55,2005.25,1450.11,700.1,721.41
50,1467.32,1738.02,1494.07,622.8,767.31
51,1353.68,1596.35,1536.66,659.87,797.0
52,1011.24,1239.03,1490.16,802.15,863.99
