ASVID,99fee0a19b008f861969600865c985de,c834e02be94ea60ec2900976677cc474,dfcfd742612d616e7c1097c359c7e63b,123e950130b49f3692b2898d9a43ef9c,091126efa2a5f6896c1a128c49160228
34,98.07143,101.184616,101.02871,100.33535,99.19373
35,98.07312,101.18634,101.030464,100.33703,99.19538
36,98.0723,101.18555,101.029655,100.33628,99.19455
37,98.07047,101.18363,101.02771,100.33439,99.19269
38,98.07047,101.18363,101.02771,100.33439,99.19269
39,98.07047,101.18363,101.02771,100.33439,99.19269
40,98.07047,101.18363,101.02771,100.33439,99.19269
41,98.07047,101.18363,101.02771,100.33439,99.19269
