"ID","Nov2rep3","Nov3rep3","Nov4rep3","Nov5rep3","Nov9rep3","Nov10rep3","Nov11rep3","Nov12rep3","Nov13rep3","Nov16rep3","Nov17rep3","Nov18rep3","Nov19rep3","Nov20rep3","Nov23rep3","Nov24rep3","Nov25rep3","Nov26rep3","Nov27rep3","Nov30rep3","Dec1rep3","Dec2rep3","Dec3rep3","Dec4rep3","Dec7rep3","Dec8rep3","Dec9rep3","Dec10rep3","Dec11rep3","Dec14rep3","Dec15rep3","Dec16rep3","Dec17rep3","Dec18rep3","Dec21rep3","Dec22rep3","Dec23rep3","Jan4rep3","Jan5rep3","Jan6rep3","Jan7rep3","Jan8rep3","Jan11rep3","Jan12rep3","Jan13rep3","Jan14rep3","Jan15rep3","Jan18rep3","Jan19rep3","Jan20rep3","Jan22rep3","Jan25rep3","Jan26rep3","Jan27rep3","Jan28rep3","Jan29rep3","Feb1rep3","Feb2rep3","Feb3rep3","Feb4rep3","Feb5rep3","Feb8rep3","Feb9rep3","Feb11rep3","Feb12rep3","Feb15rep3","Feb16rep3","Feb18rep3","Feb19rep3","Feb22rep3","Feb23rep3","Feb25rep3","Feb26rep3","Feb29rep3","Mar2rep3","Mar3rep3","Mar4rep3","Mar7rep3","Mar8rep3","Mar9rep3","Mar10rep3","Mar11rep3","Mar14rep3","Mar15rep3","Mar21rep3","Mar22rep3","Mar23rep3","Apr18rep3","Apr19rep3"
"OTU_16945",0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1,0,0,0,0,0,0,1,2,1,0,1,0,1,1,0,0,0,4,1,0,0,0,3,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_12273",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,2,0,1,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"OTU_23098",0,0,0,0,2,1,1,0,1,0,0,0,0,1,1,2,0,0,0,0,2,0,0,0,1,0,0,2,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,1,0,2,1,2,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1462",3,0,0,0,0,1,1,0,1,2,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,3,0,2,0,0,0,2,1,0,2,1,1,3,0,0,2,1,0,2,1,1,1,0,1,0,2,3,1,0,3,1,0,0,2,1,0,1,2,0,0,1,0,1,0,0,1,1,0,2,1,1,1,0,0,1,0,4,1,0,0,0
"OTU_104",23,3,2,29,5,0,0,3,1,4,2,15,3,9,0,1,3,1,0,0,0,0,1,0,0,4,1,2,2,11,15,2,3,27,3,2,8,5,4,1,1,1,2,2,1,1,3,4,4,2,2,4,1,2,2,4,1,3,4,3,15,2,5,5,8,7,2,6,6,2,3,3,7,4,3,7,11,6,17,9,7,5,14,2,1,1,0,0,0
"OTU_18299",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,2,1,1,2,0,1,0,1,0,1,1,4,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0
"OTU_7168",0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,2,1,1,1,0,2,2,0,1,0,0,0,1,2,0,0,1,0,0,0,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1765",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,2,0,1,0,1,2,0,0
"OTU_282",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,66,5
"OTU_478",0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,4,1,3,1,2,0,0,2,2,0,0,1,0,1,0,0
"OTU_49",31,4,14,32,2,0,0,1,0,0,11,18,4,5,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,6,5,0,2,17,0,2,2,0,1,0,0,0,1,0,0,2,0,2,1,1,0,3,1,0,4,0,3,2,3,3,0,1,3,4,0,5,1,3,2,1,3,0,2,1,0,4,7,9,8,8,16,2,20,25,81,117,103,0,0
"OTU_96",0,0,0,0,1,0,2,0,0,0,0,0,0,0,4,2,2,1,2,2,2,1,1,3,4,1,1,2,0,0,0,2,0,0,1,7,2,4,5,8,10,8,7,11,4,7,13,6,10,9,13,7,13,10,9,6,9,8,19,4,13,8,21,17,5,19,13,13,8,23,11,8,13,5,2,10,2,3,3,1,3,1,3,1,1,0,1,0,0
"OTU_909",0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,2,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,3,2,0,1,0,1,0,0
"OTU_7324",0,0,0,0,0,2,1,1,5,2,0,2,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
"OTU_1274",0,2,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,3,2,2,1,6,3,4,2,1,0,0,0,0,0,0,2,0,2,2,4,2,3,1,5,2,2,1,2,1,1,1,5,1,4,0,1,0,1,0,0,1,1,5,2,0,0,0,1,1,0,4,1,1,1,2,1,1,0,3,1,1,1,1,1,1,2,1,0,0
"OTU_21079",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,1,0,1,0,0,0,2,1,2,2,0,1,0,1,1,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"OTU_1033",1,1,0,0,2,2,1,2,1,1,3,0,1,1,0,1,1,1,2,2,0,2,1,0,0,2,2,1,0,4,0,0,1,0,0,3,0,1,0,1,1,1,2,2,1,3,3,0,1,2,2,4,2,5,0,0,1,1,0,0,2,0,2,1,3,2,1,1,0,0,2,0,1,1,0,0,0,0,1,4,1,1,1,2,1,0,2,0,0
