"ID","SE1A","SE2A","SE3A","SE4A","SE5A","SE6A","SE7A","SE8A","SE9A","SE10A","SE11A","SE12A","SE13A","SE14A","SE15A","SE16A","SE17A","SE18A","SE19A","SE20A","SE21A","SE22A","SE23A","SE24A","SE25A","SE26A","SE27A","SE28A","SE29A","SE30A","SE31A","SE32A","SE33A","SE34A","SE35A","SE36A","SE37A","SE38A","SE39A","SE40A","SE41A","SE42A","SE43A","SE44A","SE45A","SE46A","SE47A","SE48A","SE49A","SE50A","SE51A","SE52A"
"583e7caf625474a3918b14c9f2246d0a",35,80,135,34,54,49,52,21,27,17,0,9,4,14,17,36,103,52,21,30,38,24,14,15,5,0,0,0,0,0,2,0,0,0,0,3,0,6,61,9,1,10,19,9,15,23,37,22,63,85,68,140
"585a6e5cf9f16e557a81c2badd41fbee",0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,5,1,1,3,1,0,1,0,0,3,0,3,11,0,8,3,0,0,4,0,2,0,4,5,5,6,0,3,0,0,2,1,0,0,0,5,0
"589169f0aeef1b19d68e2b5037f8f8f2",16,25,14,0,23,16,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,12,0,0,0
"58979be7687ca30d9c69de345567267f",7,0,6,7,9,8,11,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,2,0,0,0,5,6,2,5,4,6,6,6
"58991c314fd35b6d592704d7f488de09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,23,13,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"58fed3d42b75e63cf4edad4dd542f673",0,7,0,0,7,1,0,0,13,7,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
"59364744507fc064189cc76039389725",0,19,0,0,38,22,0,0,31,29,21,0,0,0,0,0,0,18,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,21,0,0,0,0,14,0,0,0,26,0,0,0,0,18,0,0,22
"59777186ad2e0947e97615b5d6225136",16,0,17,0,14,0,0,0,14,7,0,0,14,0,0,0,0,0,0,0,0,0,86,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,6,19,15,0,0,13,41,19,22
"59b137a84d670592bc976799c6faf075",0,0,0,0,4,2,0,0,9,4,7,0,3,3,0,0,3,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,10,5,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"59cd43163098b92d1ac96ac225d0f2a3",0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,3,4,0,10,7,7,14,11,2,0,5,0,7,7,0,0,9,6,4,5,4,5,2,4,0,5,0,0,0,0,0,0,0,0,0
