"ID","N01C","N02C","N03C","N04C","N05C","N06C","N07C","N08C","N09C","N10C","N11C","N12C","N13C","N14C","N15C","N16C","N17C","N18C","N19C","N20C","N21C","N22C","N23C","N24C","N25C","N26C","N27C","N28C","N29C","N30C","N31C","N32C","N33C","N34C","N35C","N36C","N37C","N38C","N39C","N40C","N41C","N42C","N43C","N44C","N45C","N46C","N47C","N48C","N49C","N50C","N51C","N52C"
"2e12d27906ba53d79e0f757a39f5346c",0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2e492489d57605b9c22be158b4258eb4",0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2e4f2b53b856c4def6d021d01f5abb70",6,0,0,0,0,8,0,0,0,0,4,0,0,0,6,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,12,0,12,0,11,4,6,0,4,7,0,0,3,0,0
"2e9604852a895d087f192a9cb519c1c5",0,0,6,3,2,2,1,0,3,2,6,0,6,1,0,5,2,3,5,0,3,11,8,10,13,15,10,7,4,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2ea29efe6c75478e3b2c437686ae29ae",21,19,10,17,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2eb3650ae005e049a426a27cd8fcfbb9",49,97,65,61,45,58,71,84,79,45,22,29,32,14,63,75,44,87,60,40,17,58,43,23,33,38,44,30,39,20,28,40,60,50,61,72,23,65,57,37,54,50,45,39,37,55,55,40,39,46,41,0
"2ebdedf78777c9209270f8845ba50391",0,0,0,0,0,0,0,0,0,14,16,0,0,0,0,0,0,0,0,0,0,0,16,11,0,0,0,0,0,9,11,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2f23ae1dded4bbb8bd07cfc7f6427336",246,226,123,155,422,417,372,329,491,516,305,269,306,247,773,926,608,643,357,395,185,311,214,349,280,220,366,362,471,707,520,682,537,639,623,766,99,387,472,810,594,506,518,511,764,409,225,293,543,351,287,698
"2fa3b67785dbe0c8c979baebdaf970d2",0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30451f666aa021d81d9a4c57554e2399",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,38,22,9,24,20,15,26,12,18,10,24,14,0,23,42,0,0,0,0,0,0,0,0
"304f89346e1a320c635aae1b1cce4a5b",38,21,20,22,12,14,15,18,0,15,14,38,23,12,18,0,0,0,0,0,0,0,0,0,0,22,20,26,43,30,30,48,63,56,61,46,10,45,20,0,0,0,0,0,0,0,0,0,0,0,0,0
"305f0ef12166d61f455a172ed26bf18c",5,0,2,13,13,7,7,10,18,17,23,15,0,3,11,6,9,9,9,10,5,10,6,11,7,8,8,11,0,0,9,6,6,2,6,0,0,5,10,12,11,15,6,14,17,71,140,205,23,602,607,477
"313bb5e86cda87fdf3df9722575a9382",0,0,0,0,0,0,0,0,4,17,5,25,19,0,15,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,7,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"315ca0a729f126b941ba111a16d4d97a",0,0,0,0,11,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,17,0,10,0,0,0,0,7,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"316ae54c3b5bd9979e0f6bcf94f640f5",0,0,0,0,0,0,27,22,28,33,26,37,34,0,41,44,41,0,46,27,0,40,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3175fdeba3362ef86a15397290de72f4",0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"319ef1177234565939b0048a7adddd87",79,105,71,81,145,71,60,77,58,92,86,56,53,17,27,37,57,58,103,64,26,65,51,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32b9c3a857a4561d923e804ff9c01c54",0,0,0,0,0,0,0,0,0,6,41,51,40,9,46,36,11,0,0,0,0,0,0,0,0,0,5,34,27,50,80,246,36,46,79,39,7,175,312,100,16,20,74,12,78,545,144,31,140,16,5,8
"33034cba8e3cca23da96a22c31af274b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,20,18,0,19,0,27,11,0,16,22,0,13,0,33,24,0,23,17,11,16,16,13,0
"330f39f226bb835fa90265d08c786158",13,0,6,7,3,0,0,0,0,10,11,16,0,0,0,1,0,7,0,9,6,0,24,17,35,7,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"334ba6b6bf2585a4b01bb05010ab1b7a",0,8,9,0,0,0,0,0,10,7,0,17,23,0,29,17,12,12,18,11,0,19,21,33,20,12,34,20,32,12,18,21,11,11,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"336affb88bba6af4e3d6000cd89a1b4f",0,7,0,0,0,5,5,0,0,0,0,0,0,0,8,9,37,42,103,67,18,74,56,47,41,14,19,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"338579d101cbfe61650c0b3fb97b2f21",0,4,2,0,0,3,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10,6,10,7,0,3,10,7,12,5,0,6,5,5,10,12,6,6,4,5,11,6,10,6,4,4
"33b523428574fdcd3ede24ed03f75d08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,16,21,27,12,33,35,24
"33b7d7b478cf73ba3b1b1d0123856e38",0,0,13,0,6,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33bbf1617f1e992dfe01f450fc8e6181",0,0,0,0,0,0,0,0,0,9,14,18,11,21,23,20,26,17,12,20,0,23,25,18,15,10,10,10,19,11,13,16,18,20,40,19,6,24,26,12,17,18,31,34,25,28,20,31,38,39,46,27
"33d45c4c54a7ae4703bd0591773c8a17",8,9,8,6,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,5,8,8,12,5,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33e6082230ba54f68e50fa51eb170264",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,30,23,0
"340b0e69f7e38e3cae95739bd685a8da",0,10,3,3,4,2,0,2,3,5,7,0,0,0,4,0,0,4,0,0,1,7,0,20,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"345c308f76539edd9e91d297e2d97c13",7,0,4,9,0,8,7,0,4,5,0,8,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,24,17,7
"349f1f735b8e0231fd3fd20759c2b71d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0
"352f5e0321329ce7f88e961569611e04",0,15,26,32,27,25,84,28,0,21,9,0,0,0,0,0,36,30,0,0,0,0,18,21,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,121,102,55,27,0,0
"3563aebf483d7e2d44e2a68ef187cd8e",0,0,0,0,0,0,0,0,0,0,0,0,47,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"359630ea9f85e714da09b7f1f3ff8638",0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35df18cd6b95df787f52fa653b46eb08",0,10,0,5,2,0,7,2,0,3,0,5,0,0,0,4,0,4,7,12,4,20,11,13,16,15,27,17,29,39,32,47,52,33,40,47,3,59,49,50,36,33,45,22,26,16,16,8,19,21,10,8
"35e8f92891757e2c3fc0b41d6fa22be5",0,0,23,63,35,31,49,70,108,186,441,110,58,26,54,94,97,146,114,98,34,79,84,84,78,84,120,158,167,185,173,86,40,18,40,36,0,57,33,43,41,0,26,35,44,58,43,54,58,97,31,0
"36470348dad95e10ddeefe337a4cb981",0,0,0,0,0,0,0,0,0,0,0,20,37,41,189,222,190,133,85,51,30,89,78,70,42,44,32,18,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3662cfeef68e9a24916017491658dc1d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,32,171,90,35,270,119,120,192,13,0,0,270,0,2,10
"3667572b894e08ef348bb1738e1e6393",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36b97543fe5f44e30f46474e8c99f62e",0,0,0,0,58,47,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37a9f8cf216ab81cae2e19312ac0a511",0,0,0,0,0,0,6,2,7,8,29,37,14,12,9,9,11,9,15,8,0,9,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,30,24,14,28,13,21,30,17,12
"37f0f50bbe241beb5ca3703a962a8e8d",251,371,353,301,210,183,186,242,211,175,301,211,181,68,171,140,143,205,147,197,51,165,170,150,143,237,212,205,140,146,182,202,293,561,753,1410,446,1345,1402,1289,1299,931,663,512,308,153,110,131,160,309,356,311
"380dd0f6882c618d853f3060f5a0526e",0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3851773e0cbee29f4c901fb18c93eb45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,20,16,6,6,7,12,6,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3890e15d10fcf672c8ed65cefb60c1be",13,12,0,0,13,9,14,6,0,0,0,0,0,0,0,0,21,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"3891c9c486fe0958dacac18bc09c05a3",0,2,0,0,0,0,0,0,0,3,0,4,0,4,12,13,4,8,11,0,4,5,7,10,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38c27ceaed634984c1225a82648cf571",29,28,16,12,52,46,53,48,28,50,26,29,16,16,18,26,49,29,24,12,0,0,0,14,0,0,0,0,0,6,0,9,0,0,0,0,0,0,0,0,13,0,0,7,14,26,43,143,12,75,15,29
"3911c12107459566a7a2a97792c2d01d",0,0,0,0,0,0,0,4,0,0,5,5,0,0,9,6,14,16,19,13,3,13,11,10,0,0,5,10,8,0,6,0,0,2,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39e89ba8840faf0d04e03db5da0cfaed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,309,142,51,18,57,265,157,79,61,631,37,33,12
"3a173408a020fc8750b796970a5ad7ef",18,11,15,17,34,39,34,35,17,42,14,28,0,0,17,13,35,10,20,26,0,34,23,16,31,8,16,14,22,26,16,23,30,21,30,19,0,31,29,30,27,29,79,96,36,90,118,184,80,226,151,90
"3a654d08123a97e513a7214f1837bdef",0,0,0,0,0,0,32,51,58,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3aa615a830a3456716329647b0418986",8,10,15,11,7,4,2,2,3,0,0,1,0,2,5,8,8,13,29,35,10,45,60,38,51,45,38,38,40,55,58,27,73,38,30,29,3,45,36,19,12,13,7,6,6,2,4,0,5,8,5,9
"3abdc10ad55444e9476b4791a1d29e4e",7,0,3,5,0,1,3,0,0,1,0,0,0,0,0,2,0,0,5,5,1,11,19,26,18,16,34,17,48,41,37,28,11,4,5,4,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"3af3f9e122f0cdd4a0ad21e955b4aa80",66,55,35,42,43,30,31,26,15,5,5,9,5,0,2,2,4,15,6,0,0,3,5,2,4,5,0,4,5,1,3,0,0,5,3,0,0,11,3,2,0,2,0,0,3,4,7,8,0,7,7,4
"3b40f482d9890c0cbca2d125f60a2e2d",0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3b6fd7be1d9b5827f77b4942a55be2e3",16,19,9,20,5,0,6,8,6,10,18,18,13,16,5,10,10,6,0,0,0,0,11,0,8,8,13,10,0,9,14,4,10,8,18,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3bcd53dd16ed587ab1107e84b335a89a",0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3be867818004ac1cd3cc0c2e67e83fd5",0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3c140e2f08e531a90003526e6e1f608d",0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3ca48e3c238f1bc439a089b64cc318c0",17,0,0,0,18,16,17,0,17,29,30,73,68,0,22,0,15,0,0,14,9,0,19,27,0,10,0,9,0,9,0,0,0,0,0,0,1,0,0,0,0,0,14,6,9,0,0,25,0,0,13,23
"3da13822a4e59d2d70a6ec427c82e650",14,26,34,26,16,0,21,16,0,0,12,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3dcb8e210aada55b2e87e15bd5f21adb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,18,15,41,72,40,62,73,95,51,104,120,48
"3e1af76fe1384bc4652ec293da3ab89d",4,0,0,0,0,0,0,0,0,0,0,0,6,4,6,4,8,13,11,8,4,19,27,17,25,23,28,37,24,20,32,18,19,24,15,0,0,10,11,7,7,0,8,7,6,0,0,0,0,0,0,0
"3e9c077323b8e74e73def3d1a59a4a52",0,0,0,0,2,0,0,7,11,20,49,29,21,0,0,0,0,0,0,12,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,5,16,17,0,25,40,34,36,21,18,16,24,5,62,41,66
"3ebe761bfb1238c87195d431f41bf976",127,109,79,132,218,158,160,112,257,190,123,204,205,93,181,138,170,179,113,77,83,100,61,162,62,30,45,27,0,0,0,24,31,24,0,32,24,45,59,48,79,69,88,87,172,104,120,179,85,74,80,126
"3f9a2c5cf916124f4f056344b9a2db61",4,8,2,9,7,6,7,4,5,4,7,4,0,0,6,0,0,9,13,0,0,3,1,6,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
