"ID","nahant_unf_d0_1080","nahant_unf_d1_1083","nahant_unf_d2_1086","nahant_unf_d3_1089","nahant_unf_d4_1092","nahant_unf_d5_1095","nahant_unf_d6_1098","nahant_unf_d7_1101","nahant_unf_d8_1104","nahant_unf_d9_1107","nahant_unf_d10_1110","nahant_unf_d11_1113","nahant_unf_d12_1116","nahant_unf_d13_1119","nahant_unf_d14_1122","nahant_unf_d15_1125","nahant_unf_d16_1128","nahant_unf_d17_1131","nahant_unf_d18_1134","nahant_unf_d19_1137","nahant_unf_d20_1140","nahant_unf_d21_1143","nahant_unf_d22_1146","nahant_unf_d23_1149","nahant_unf_d24_1152","nahant_unf_d25_1155","nahant_unf_d26_1158","nahant_unf_d27_1161","nahant_unf_d28_1164","nahant_unf_d29_1167","nahant_unf_d30_1170","nahant_unf_d31_1173","nahant_unf_d32_1176","nahant_unf_d33_1180","nahant_unf_d34_1182","nahant_unf_d35_1185","nahant_unf_d36_1188","nahant_unf_d37_1191","nahant_unf_d38_1194","nahant_unf_d39_1197","nahant_unf_d40_1200","nahant_unf_d41_1203","nahant_unf_d42_1206","nahant_unf_d43_1209","nahant_unf_d44_1212","nahant_unf_d45_1215","nahant_unf_d46_1218","nahant_unf_d47_1221","nahant_unf_d48_1224","nahant_unf_d49_1227","nahant_unf_d50_1230","nahant_unf_d51_1233","nahant_unf_d52_1236","nahant_unf_d53_1239","nahant_unf_d54_1242","nahant_unf_d55_1245","nahant_unf_d56_1248","nahant_unf_d57_1251","nahant_unf_d58_1254","nahant_unf_d59_1257","nahant_unf_d60_1260","nahant_unf_d61_1263","nahant_unf_d62_1266","nahant_unf_d63_1269","nahant_unf_d64_1272","nahant_unf_d65_1275","nahant_unf_d66_1278","nahant_unf_d67_1281","nahant_unf_d68_1284","nahant_unf_d69_1287","nahant_unf_d70_1290","nahant_unf_d71_1293","nahant_unf_d72_1296","nahant_unf_d73_1301","nahant_unf_d75_1304","nahant_unf_d76_1307","nahant_unf_d77_1310","nahant_unf_d78_1313","nahant_unf_d79_1316","nahant_unf_d81_1322","nahant_unf_d82_1325","nahant_unf_d83_1328","nahant_unf_d85_1334","nahant_unf_d86_1337","nahant_unf_d87_1340","nahant_unf_d88_1343","nahant_unf_d89_1346","nahant_unf_d90_1349","nahant_unf_d91_1352","nahant_unf_d92_1355"
"OTU_5558",5,2,1,0,2,1,1,1,2,1,2,1,0,1,1,0,1,1,1,6,4,6,1,1,1,0,0,0,1,0,1,2,0,1,0,1,1,2,1,0,0,3,1,1,0,2,1,0,1,0,3,2,1,4,4,2,4,3,0,8,3,1,1,4,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,2,0,0,1,0
"OTU_1173",3,1,0,1,2,0,1,3,1,2,0,5,7,9,13,6,7,16,4,11,3,2,2,1,1,2,2,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,0,0,2,0,0,0,0,0,1,2,0,2,0,0,0,0,0,2,3,2,2,1,0,2,1,0,0,2,1,0,0,1,3,1,1,0,4
"OTU_751",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,1,0,3,1,1,0,1,8,3,1,1,2,1,0,0,0,0,0,2,3,0,0,1,0,0,0,3,0,3,0,1,5,1,2,4,0,1,0,1,0,2,1,2,1,0,0,0,0,19,5,1,3,3,1,1,0,0,1,0
"OTU_2922",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,6,1,1,0,0,0,0,1,2,0,8,2,4,1,55,12,41,3,1,2,1,0,2,0,1,0,1,2,0,1,0,2,1,0,0,0,0,0,0,1,41,7,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"OTU_291",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5,1,2,1,5,8,14,2,0,2,3,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_986",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,6,7,1,2,2,2,0,2,0,2,1,5,4,6,2,5,2,4,15,6,2,2,1,0,0,0,0,9,9,5,0,2,2,3,7,6,7,6,4,3,3,2,10,8,5,11,7,15,8
"OTU_1811",1,3,2,1,2,0,1,4,1,1,3,2,0,1,1,0,1,2,2,3,0,1,0,3,1,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_634",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,1,3,0,2,0,1,2,0,2,1,0,0,0,0,0,2,1,0,0,2,1,3,1,6,0,1,2,2,7,1,0,2,5,1,2
"OTU_2132",1,2,3,1,0,0,0,2,1,4,1,2,1,0,1,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1,1,1,0,0,0,1,0,2,2,0,2,1,4,2,2,0,2,1,0,0,1,1,2,0,0,1,1,2,0,2,0,1,2,2,0,2,2,1,3,5,1,2,2,4,1,0,1,3,9,7,4,6,0,0,0,0,1,0,1,1
"OTU_144",1,0,0,0,0,0,0,1,0,1,0,3,0,2,1,0,0,0,1,4,1,0,2,3,3,7,1,0,0,1,0,1,0,4,3,0,0,2,10,8,5,9,3,0,0,1,1,0,0,1,1,3,0,9,7,4,1,6,7,6,12,4,21,3,0,7,22,6,10,1,5,9,8,1,3,2,0,0,0,2,2,0,2,0,0,0,0,2,0,0
"OTU_660",2,4,1,3,1,1,1,2,1,4,0,0,5,18,4,5,13,18,9,10,3,0,2,0,1,3,3,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"OTU_1078",1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,5,2,3,1,1,3,5,6,4,6,1,2,2,0,2,1,2,1,2,1,2,4,2,8,4,11,5,3,5,2,9,12,4,3,16,14,5,6,12,29,19,7,33,52,56,11,32,37,7,6,2,7,1,4,3,3
