"ASVID","SE1A","SE2A","SE3A","SE4A","SE5A","SE6A","SE7A","SE8A","SE9A","SE10A","SE11A","SE12A","SE13A","SE14A","SE15A","SE16A","SE17A","SE18A","SE19A","SE20A","SE21A","SE22A","SE23A","SE24A","SE25A","SE26A","SE27A","SE28A","SE29A","SE30A","SE31A","SE32A","SE33A","SE34A","SE35A","SE36A","SE37A","SE38A","SE39A","SE40A","SE41A","SE42A","SE43A","SE44A","SE45A","SE46A","SE47A","SE48A","SE49A","SE50A","SE51A","SE52A"
"0030f073f1f67fa8c7f01795583706e6",-4.68913157526683,-4.63742231387355,-4.65923933968272,-4.77302809378388,-4.67874626248866,-4.5289776056968,-5.03581724154148,-4.56332065103818,-4.46934723261968,-4.44555780417293,0.389503686641866,0.264870599257511,-4.63038887017319,0.340187727850216,-4.70208848887514,0.785914594743096,0.392392836909735,0.47993343563166,-0.106668190330291,-4.56549007932182,-4.69924907114099,-4.58076106474418,-4.5573238781163,-4.6095025879884,-4.55134851910962,-4.37937937146176,-5.18176824710467,-4.53224559384192,-0.625642677171134,0.490851518055322,0.65976819179529,-4.63096403397637,0.115208047199784,-4.57973427077771,0.96519232474748,1.04642006474046,1.56030805473973,1.36802688012334,-4.8003136827849,1.93717050766429,0.754966468544614,1.24367377075368,1.22330104992284,1.12232110593148,1.49509069325096,1.38527692303241,1.50540396526449,1.00626655026083,1.28887894682446,0.903325437737028,1.38207329676669,1.29812476625386
"00a96fbd0ac34bfd245f9c24f8737f7d",-6.9153436894763,-6.86363442808302,-6.88545145389219,-6.99924020799335,-6.90495837669813,-0.741280097789197,-7.26202935575095,-6.78953276524765,-0.52639622220067,-6.67176991838241,-1.11457371013441,-6.89573376076458,-6.85660098438266,-0.35295945270973,-0.515501733545592,-6.83145447266309,-7.03726758486558,-6.910069578414,-6.88348036551604,-0.382420752556255,-6.92546118535046,-6.80697317895365,-1.44982775613436,-6.83571470219787,-6.77756063331909,-0.447179765750469,-0.472566791140247,-6.75845770805139,-6.62481270592764,-6.60852263154229,-6.49217560536282,-6.85717614818584,-6.92541480662747,-6.80594638498718,-6.64603551686499,-1.18717215676663,-6.56308433754461,-6.5314122527365,-7.02652579699437,-1.8914708888248,-6.23871491216678,-6.87736391259901,-6.81361815696984,-0.418123935015673,-6.87308737807493,0.166036646575685,-6.71764532218521,-7.1152085667777,-6.70892968965503,-7.09265387411012,-6.70532205477882,-0.703355233956265
"0117e9c502bd1cee660d22cb0e8b4a3c",0.853982936838133,-0.570287342057734,-1.06326255113624,-0.0797202813188544,-1.58806154528233,-1.14674520589736,-1.44094531239496,-4.97995905974447,-2.47230637125598,-0.371669433481189,0.13818925836096,0.364954057814494,0.941418895786647,0.340187727850216,0.422767905047338,0.475759666439256,-0.341576338170465,-0.133171037254749,0.824890013674653,0.128404871209736,-0.765362676131882,-0.646163585664935,-0.602529895747159,-0.678034034531218,-4.96798692781591,-4.79601778016805,-0.983392414906237,0.0881556038525262,-0.337960604719353,-0.320078698161006,0.0179143056228952,-5.04760244268266,-5.11584110112429,0.109989162725239,-4.83646181136181,-4.68744532669294,-0.55995548146036,-0.0182674809965491,0.320976627683981,1.05296809034164,0.467284396092833,0.73284814698769,0.485702106792064,-0.535906970672057,-0.265897117310343,0.166036646575685,-0.422487678288144,0.229737760761831,0.449128292072643,-0.172813995079023,-0.0912324413428349,-0.521033677162311
"0120eae8d0288b26275c226dadf50e68",-0.504140547315061,0.48576533219158,0.41834198978798,-2.09462330186112,-1.58806154528233,-0.335814989681032,-1.44094531239496,-5.73092581119324,-0.52639622220067,-1.06481661404113,-1.80772089069435,-1.07013046747483,-0.850340573441408,-1.36456036438821,-0.766816161826499,-0.535841245239224,0.00673035609775052,-0.39553530172224,-1.28532318667194,-1.19335096877258,-5.86685423129605,-5.74836622489924,-5.72492903827136,-5.77710774814346,-5.71895367926468,-5.54698453161682,-6.34937340725974,-5.69985075399698,-5.56620575187323,-5.54991567748788,-5.43356865130841,-0.448887934540197,-1.10856738442233,0.292310719519193,-0.64424558768662,-0.339874296379428,-0.965420589568525,-5.47280529868209,-0.106467387142959,-5.06484837836258,-1.32447507313522,-5.8187569585446,-0.813580877338197,-0.66943836329658,-5.81448042402052,-1.30030042221774,0.206120981134231,-1.29631854273322,-0.0974154142954262,-0.578279103187187,-0.00422106435320524,-0.23335160471053
"01a3e936fa63f11bb1e215da327e5c44",-7.08596920650706,-7.03425994511379,-7.05607697092296,-7.16986572502412,-7.0755838937289,0.0319097904442849,-7.43265487278171,-6.96015828227841,-0.169721278261938,-6.84239543541317,-6.89481366923058,-7.06635927779534,-7.02722650141342,-7.13481856126783,-7.09892612011538,-7.00207998969385,-7.20789310189634,-7.08069509544476,-7.0541058825468,-6.96232771056205,0.061315897052586,-6.97759869598441,-0.245854951808426,-7.00634021922864,-0.265493666497898,-6.77621700270199,-7.57860587834491,-6.92908322508215,-6.7954382229584,-0.320078698161006,-6.66280112239358,-7.0278016652166,-7.09604032365823,-6.97657190201794,-6.81666103389575,-6.66764454922688,-6.73370985457538,-6.70203776976726,-7.19715131402514,-6.29408084944775,-6.40934042919754,-0.270453961876095,-6.9842436740006,-0.535906970672057,-7.04371289510569,-6.78896146447385,-6.88827083921598,-7.28583408380846,-6.87955520668579,-7.26327939114088,-6.87594757180959,-6.70917448125018
"01b2114f5d1b80bb3219d17802bddb96",-6.53637019681511,-6.48466093542183,-6.506477961231,-6.62026671533217,-6.52598488403694,-6.37621622724508,-6.88305586308976,-6.41055927258646,-6.31658585416796,-1.35249868649291,-6.34521465953863,-6.51676026810339,-6.47762749172147,-1.36456036438821,-2.01957913032187,-1.22898842579917,-1.03472351873041,-0.39553530172224,-0.879858078563772,-0.0146959724309377,-0.313377552388824,-0.394849157384029,-6.40456249966458,-1.01450627115243,-0.622168610436631,-1.00679555368589,-7.02900686865296,-1.85775454520279,-0.625642677171134,-0.790082327406742,-2.28467078737115,-0.700202362821104,-1.10856738442233,-0.806301569148916,-1.74285787635473,-6.11804553953493,-0.55995548146036,-1.22224028532249,-1.20507967581107,-0.505176527704912,-5.85974141950559,-6.49839041993782,-6.43464466430865,-1.92220133179195,-6.49411388541374,-6.2393624547819,-0.892491307533879,-6.73623507411651,-1.80216350653385,-2.88086419618123,-6.32634856211764,-1.21418085772226
"0243b68c76049aa1b8c51a20333da950",-6.94519665262598,-6.8934873912327,-6.91530441704187,-7.02909317114304,-6.93481133984781,-1.83989238645731,-7.29188231890063,-6.81938572839733,-1.77915919069604,-6.70162288153209,-0.891430158820198,-0.887808910680874,-6.88645394753234,-6.99404600738675,-1.6141140222137,-2.61528278691906,-7.06712054801526,-6.93992254156368,-6.91333332866572,-0.787885860664419,-6.95531414850014,-0.982635822286148,-0.939002132368371,-6.86556766534756,-6.80741359646877,-1.29447762613767,-0.695710342454456,-6.78831067120107,-1.72425496583924,-6.63837559469197,-6.5220285685125,-6.88702911133552,-6.95526776977715,-6.83579934813686,-6.67588848001467,-0.676346533000641,-1.65856777012847,-6.56126521588618,-7.05637876014405,0.187970652855033,-0.631327892575277,-6.90721687574869,-6.84347112011952,-6.87150249075831,-1.05435447767461,-0.453002561830538,-0.892491307533879,-7.14506152992738,-6.73878265280471,-7.1225068372598,-1.10283335302132,-0.366882997335052
"026b68ad384fbb3f5bb0f6769b1b4fce",0.389677328707035,0.48576533219158,-0.37011537057629,-0.0151817601812834,-0.121724476488908,-0.0481329172292515,-0.853158647492839,-0.173113524742933,-5.82747071677287,-0.841673062726924,-5.85609952214354,-6.0276451307083,-5.98851235432638,-6.09610441418079,-6.06021197302834,-5.96336584260681,-6.1691789548093,-6.04198094835772,-6.01539173545976,-5.92361356347501,-6.05737255529419,-5.93888454889737,-0.150544772004101,0.810043020898615,-5.90947200326281,-5.73750285561495,-6.53989173125787,-5.89036907799511,-5.75672407587136,-5.74043400148601,-5.62408697530654,-5.98908751812956,-6.05732617657119,-5.9378577549309,-5.77794688680871,-5.62893040213984,-5.69499570748834,-5.66332362268022,-6.1584371669381,-1.19832370826486,-5.3706262821105,0.276089744491975,-5.94552952691356,-5.97356089755235,-6.00499874801865,0.166036646575685,-0.556019070912666,-6.24711993672142,0.212739514008413,-6.22456524405384,-0.00422106435320524,0.172113503397635
"028cb7dec44769395943fa5e62a0f12a",0.131848219404935,-5.23477842979182,-5.25659545560099,-0.389875209622694,-5.27610237840693,-1.83989238645731,-5.63317335745975,-0.961570885107203,-5.06670334853795,-1.06481661404113,-2.5008680712543,-1.29327401878904,-0.0771506852079265,0.021733996731681,0.422767905047338,0.88122477454742,0.392392836909735,0.0744683275234954,0.100971174447954,0.364793649273966,-1.10183491275309,-0.289488641726203,-0.602529895747159,-0.832184714358477,-0.370854182155724,-1.29447762613767,-5.77912436302294,-0.353677148426513,-0.807964233965089,-1.7063730592809,-0.205229245691315,-1.03667459944232,-5.29655880833627,-0.518619496697136,-0.35656351523484,-0.206342903754905,0.481498393367801,0.451736148249186,0.619469616239977,0.673478468636734,0.467284396092833,-0.471124657338246,-0.995902434132152,-1.229054151232,0.514261440239232,0.779141119462094,-0.199344126973934,0.705161457476906,-0.703551217865742,-1.49456983506134,-0.697368244913151,-0.926498785270475
"02b4cbe5c2955ab2f66dc82cdf6dad64",-6.21244033397099,-6.16073107257771,-6.18254809838688,-6.29633685248804,-6.20205502119282,-6.05228636440096,-6.55912600024564,-6.08662940974234,-5.99265599132384,-5.9688665628771,-6.02128479669451,-6.19283040525927,-6.15369762887735,-6.26128968873175,-6.22539724757931,-6.12855111715778,-6.33436422936026,-6.20716622290869,-6.18057701001073,0.787650500094,-6.22255782984515,-6.10406982344834,-6.08063263682046,-6.13281134669256,-6.07465727781378,-5.90268813016592,-6.70507700580884,-6.05555435254608,0.415811197657027,0.239537089774416,0.548542556685065,-6.15427279268053,-0.00995509575422204,0.446461399346452,-5.94313216135968,-5.79411567669081,-5.8601809820393,-5.82850889723119,-6.32362244148906,0.998900869071362,0.467284396092833,-6.1744605570937,-6.11071480146453,-6.13874617210332,-6.17018402256962,-5.91543259193778,-6.0147419666799,-6.41230521127239,-6.00602633414972,0.856805422102135,-6.00241869927351,0.731729291333057
