"ID","N01B","N02B","N03B","N04B","N05B","N06B","N07B","N08B","N09B","N10B","N11B","N12B","N13B","N14B","N15B","N16B","N17B","N18B","N19B","N20B","N21B","N22B","N23B","N24B","N25B","N26B","N27B","N28B","N29B","N30B","N31B","N32B","N33B","N34B","N35B","N36B","N37B","N38B","N39B","N40B","N41B","N42B","N43B","N44B","N45B","N46B","N47B","N48B","N49B","N50B","N51B","N52B"
"eb67c90fa79eff0d8b25ded7567f17ca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,25,37,129,159,210,252,64,23,285,36,25,26
"eb6cdc2d2d170c0ebfcaf79cff080237",0,0,0,0,5,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,0,0,0,3,5,2,3,0,2,4,0,0,0,0,0
"eb79af3a1a9aa989f04b9161f7cfbcd5",45,9,52,48,38,41,43,39,49,50,69,60,79,46,36,37,19,24,47,46,46,51,50,36,38,48,37,32,29,27,26,26,26,43,26,36,34,40,31,25,23,9,18,20,21,24,23,69,31,61,60,64
"eba69fef85fa63d9ca01273e9eda4dae",0,0,0,0,0,0,0,2,1,0,12,26,24,39,54,36,15,30,36,14,24,29,22,72,43,43,20,12,4,8,13,6,0,2,0,0,17,13,12,8,22,22,39,55,63,244,271,245,113,309,47,62
"ebd1a1c5bd31ca012da657c7faed88f5",4,14,0,6,0,0,0,0,6,0,2,3,0,0,0,7,0,5,9,2,0,0,3,6,0,2,4,0,0,7,0,5,0,10,5,6,7,0,5,7,7,6,13,8,5,7,6,15,7,14,0,0
"ebffaf5c074232770582956617687f96",0,0,2,22,44,53,85,107,57,88,100,115,124,176,174,147,92,136,120,143,110,73,69,63,53,43,38,39,41,37,87,96,72,67,84,222,186,339,278,264,195,199,178,190,265,67,53,55,118,170,126,146
"ec2dee2409343423f3f41f539d06e560",0,0,0,2,0,0,0,0,0,9,4,14,0,5,13,0,7,4,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ec59205b1c23bbe7bcbfd360902cbd60",14,0,16,7,5,6,8,9,12,24,22,70,108,15,12,8,0,8,0,0,0,0,0,9,0,0,16,13,0,0,0,0,10,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,22
"ecc95e5dfc560bd3c36f7b225b081f42",0,0,0,8,19,17,48,102,91,141,177,151,206,229,77,140,60,272,133,112,140,190,143,90,118,106,76,124,116,50,64,70,94,60,49,64,32,50,47,32,43,57,65,73,55,29,34,77,34,48,18,83
"ece26570de4f1c59169298a5fc885f87",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,25,11,11,4,4,0,2,1,1,0,0,0,0,0,0,0,0
