"SampleID","Week","AS.Bacteria.per.mL","AS.AOB.per.mL","AS.Virus.mL","Eff.Virus.mL","AS.pH","AS.Temp..oC.","AS.DO..mg.L.","Influent.Flow..L.sec.","HRT..Hours.","SRT..Days.","Eff.COD..mg.L.","AS.NH4.N..mg.L.","Eff.NH4.N..mg.L.","AS.MLSS..g.L.","Eff.MLSS..g.L.","AS.MLVSS..g.L.","Eff.MLVSS..g.L.","AS.Nitrate..mg.L.","Eff.Nitrate..mg.L.","AS.Nitrite..mg.L.","Eff.Nitrite..mg.L.","AS.Sulphate..mg.L.","Eff.Sulphate..mg.L.","AS.Phosphate..mg.L.","Eff.Phosphate..mg.L.","AS.Fluoride..mg.L.","Eff.Fluoride..mg.L.","AS.Chloride..mg.L.","Eff.Chloride..mg.L."
"AS_23",23,243752968.8,18043333.33,1145805744,495378798.1,6.41,14.6,2.77,78.25,9.737098345,10.76,17,12.1,1.3,2.46,0.06,1.31,0.04,17.834,81.358,0.271,0.623,84.501,97.012,6.843,3.542,0.189,0.15,75.218,64.299
"AS_24",24,68544283.88,5838000,924412800.2,575149375,6.5,13.9,2.56,80.73,11.69317119,12.09,18,5.5,2.3,2.83,0.02,2.18,0.01,21.451,54.91,0.56,0.457,99.248,112.824,5.838,2.798,0.176,0.17,64.428,62.41
"AS_25",25,79701049.73,3368666.667,1151198814,492100384.6,6.45,14,2.55,87.65,13.15443304,13.34,29,10,2.8,2.78,0.06,2.03,0.06,16.017,57.375,0.894,0.423,85.092,103.803,9.676,5.256,0.221,0.198,55.565,54.365
"AS_26",26,271806575.3,16966000,1472861128,563727571.1,6.75,13.9,2.62,102.3,10.91107474,13.55,133,12.3,2.3,2.4,0.08,1.47,0.08,1.301,69.439,0,0.368,147.635,160.625,8.181,5.071,0.391,0.343,80.893,79.47
"AS_27",27,239621577.3,11942666.67,1314385118,654599205.6,6.51,12.7,2.42,73.9,10.95050372,13.03,14,7.6,0.8,3.1,0.07,2.44,0.07,16.369,60.72,1.128,0.619,105.839,114.4,7.432,4.43,0,0.166,63.584,59.099
"AS_28",28,849884853.8,45946666.67,1285185919,773046557.8,6.75,11,1.98,102,13.54096141,12.01,37,4.4,2.5,2.96,0.03,2.18,0.03,1.551,31.866,0,0.747,84.501,97.012,4.64,1.814,0,0,108.979,110.383
"AS_29",29,1041605353,20821333.33,1594805781,656338173,6.1,11,2.11,85.04,12.56913022,12.37,148,5.5,1.5,3.33,0.02,2.42,0.02,6.344,40.757,0.766,1.997,93.091,110.737,5.212,2.298,2.075,0,79.515,70.864
"AS_30",30,1852755381,60386666.67,2164801674,637625904.7,6.65,9.9,2,101,13.24152542,11.62,2,15.3,10.5,3.11,0.04,2.24,0.04,5.369,21.061,1.144,4.728,89.357,101.039,4.454,2.982,0.194,0,175.693,178.228
"AS_31",31,2201245114,41666666.67,1144458961,400263286.4,6.78,9.3,2.51,136.3,12.12121212,12.37,17,9.9,6.8,2.8,0,2.07,0,7.156,18.362,2.147,5.153,75.172,87.903,2.896,1.876,0.333,0.224,85.444,85.245
"AS_32",32,1137188615,24002666.67,1788199749,777067464.8,6.78,10.4,2.45,92.56,12.77628721,12.89,18,6,2.2,3.2,0.07,2.34,0.05,2.205,25.224,0,1.25,90.631,101.512,2.205,2.753,0.198,0,77.139,75.34
