"ASVID","ZN3TBJM_nasal_920","ZN3TBJM_nasal_921","ZN3TBJM_nasal_922","ZN3TBJM_nasal_923","ZN3TBJM_nasal_924","ZN3TBJM_nasal_925","ZN3TBJM_nasal_926","ZN3TBJM_nasal_927","ZN3TBJM_nasal_928","ZN3TBJM_nasal_929","ZN3TBJM_nasal_930","ZN3TBJM_nasal_931","ZN3TBJM_nasal_932","ZN3TBJM_nasal_933","ZN3TBJM_nasal_934","ZN3TBJM_nasal_935","ZN3TBJM_nasal_936","ZN3TBJM_nasal_937","ZN3TBJM_nasal_938","ZN3TBJM_nasal_939","ZN3TBJM_nasal_940","ZN3TBJM_nasal_941","ZN3TBJM_nasal_942","ZN3TBJM_nasal_947","ZN3TBJM_nasal_948","ZN3TBJM_nasal_949","ZN3TBJM_nasal_950","ZN3TBJM_nasal_951","ZN3TBJM_nasal_953","ZN3TBJM_nasal_955","ZN3TBJM_nasal_957","ZN3TBJM_nasal_959","ZN3TBJM_nasal_961","ZN3TBJM_nasal_963","ZN3TBJM_nasal_964","ZN3TBJM_nasal_966","ZN3TBJM_nasal_967","ZN3TBJM_nasal_968"
"OTU_15144",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_2691",14,0,0,2,3,2,1,0,0,1,0,19,0,6,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0
"OTU_1011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,25,0,0,0,8,0,24,0,0,0,0,0,0
"OTU_1455",32,0,0,0,2,0,0,0,0,0,0,4,13,13,11,1,0,1,0,2,2,3,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0
"OTU_7061",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_541",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,35,0,37,0,0,0,0,0,0,0
"OTU_2394",0,0,0,0,0,0,0,0,0,0,0,0,15,8,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,22,0,4,13,0
"OTU_1920",0,0,45,37,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_2060",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,52,12,0,0,5,0,0,0,6,0,0,1,0
"OTU_1768",4,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,11,0
"OTU_388",0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,1,0,3,2,0,1,0,0,0,7,0,0,0,0,0,0,29,1,17,0,0,3,0
"OTU_3215",0,0,0,0,6,1,0,0,0,0,0,0,0,1,1,0,0,5,2,0,2,1,0,0,0,0,0,3,12,0,6,0,0,8,0,2,20,0
"OTU_1852",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,22,0,0,1,0
"OTU_1243",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,11,0,0,0,0,49,0,0,0,0,0,0
"OTU_398",4,0,3,0,21,3,1,1,3,4,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,13,0,3,0,0
"OTU_146",2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_760",0,0,0,0,1,2,0,0,0,0,0,0,3,2,13,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,24,0,5,0,2,0,0
"OTU_227",2,0,0,0,0,0,1,0,0,0,0,5,14,0,0,1,0,0,1,0,1,2,13,0,0,0,0,0,0,0,1,0,0,9,0,0,0,9
"OTU_3141",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,11,2,0,0,0,0,4,0,0,0,5,0
"OTU_10426",0,19,0,0,1,0,2,0,2,2,0,0,0,0,0,6,0,0,0,1,16,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_617",0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,14,0,0,17,0,0,11,0
"OTU_9898",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_2150",17,0,7,0,17,1,0,9,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4392",0,1,0,7,10,5,2,10,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1203",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,10,0,0,31,0,0,0,0,0,0
"OTU_2601",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,7,0,8,0,0,0,0,19,0,2,9,0
"OTU_1045",0,0,0,0,0,0,0,0,0,0,0,0,20,3,0,0,0,2,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,10,0,5,2,0
"OTU_1480",0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,32,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_2405",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0
"OTU_1088",4,2,1,0,2,3,0,1,0,14,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
"OTU_550",0,0,0,0,1,0,0,2,0,0,6,0,0,2,10,0,0,22,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_2131",0,0,0,0,0,0,0,3,0,4,0,0,0,0,24,0,11,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_258",0,0,0,1,2,3,0,0,1,1,0,0,0,1,0,0,0,1,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,12,0,1,16,2
"OTU_1400",0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,8,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_722",1,0,0,2,4,0,0,1,5,0,0,0,0,0,0,0,27,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_640",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,3,5,19,0,0,0,0,7,0,1,2
"OTU_152",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,21,0,0,1,0
"OTU_1317",6,2,0,0,0,0,0,1,0,2,0,4,0,0,0,0,0,1,4,14,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5
"OTU_3442",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,7,9,0
"OTU_1148",0,0,2,0,0,0,0,0,0,0,0,0,13,16,0,4,0,3,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_831",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,9,0,16,2,0,0,0,0,10
"OTU_1081",0,0,0,0,0,0,0,0,0,1,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,5,0,7,5,0
