"ASVID","Nov2rep2","Nov3rep2","Nov4rep2","Nov6rep2","Nov9rep2","Nov10rep2","Nov11rep2","Nov12rep2","Nov13rep2","Nov16rep2","Nov17rep2","Nov18rep2","Nov19rep2","Nov20rep2","Nov23rep2","Nov24rep2","Nov25rep2","Nov26rep2","Nov30rep2","Dec1rep2","Dec2rep2","Dec3rep2","Dec4rep2","Dec7rep2","Dec8rep2","Dec9rep2","Dec10rep2","Dec11rep2","Dec14rep2","Dec15rep2","Dec16rep2","Dec17rep2","Dec18rep2","Dec21rep2","Dec22rep2","Dec23rep2","Jan4rep2","Jan5rep2","Jan6rep2","Jan7rep2","Jan8rep2","Jan11rep2","Jan12rep2","Jan13rep2","Jan14rep2","Jan15rep2","Jan18rep2","Jan19rep2","Jan20rep2","Jan21rep2","Jan22rep2","Jan25rep2","Jan26rep2","Jan27rep2","Jan28rep2","Jan29rep2","Feb1rep2","Feb2rep2","Feb3rep2","Feb4rep2","Feb5rep2","Feb8rep2","Feb9rep2","Feb11rep2","Feb12rep2","Feb15rep2","Feb16rep2","Feb18rep2","Feb19rep2","Feb22rep2","Feb23rep2","Feb25rep2","Feb26rep2","Feb29rep2","Mar2rep2","Mar3rep2","Mar4rep2","Mar7rep2","Mar8rep2","Mar9rep2","Mar10rep2","Mar11rep2","Mar14rep2","Mar15rep2","Mar21rep2","Mar22rep2","Mar23rep2","Mar24rep2","Mar31rep2","Apr18rep2","Apr19rep2"
"OTU_71",2,1,7,2,10,10,7,4,6,6,3,4,1,1,6,19,12,16,8,6,10,7,14,11,6,11,7,9,3,3,1,0,0,4,13,6,18,4,12,6,20,10,12,12,12,11,15,10,8,9,11,13,13,9,14,14,8,5,19,6,9,7,7,10,4,6,7,7,2,5,5,3,2,1,0,1,0,2,2,1,0,2,1,2,0,0,0,0,0,0,0
"OTU_78",3,3,0,5,0,0,3,0,0,1,4,1,0,1,5,5,1,1,6,2,5,4,8,7,3,3,5,4,3,2,2,2,0,1,4,3,0,11,5,4,3,10,5,3,8,7,5,8,12,8,9,7,10,8,8,8,4,13,13,17,9,9,13,19,3,10,13,16,16,14,27,28,17,19,10,20,7,7,15,8,3,4,3,3,1,2,1,6,4,0,1
"OTU_55",17,13,14,26,32,30,27,41,38,53,24,8,14,30,5,12,14,10,11,13,26,13,6,8,6,6,3,6,3,2,6,2,6,2,2,8,0,1,2,3,2,4,4,1,0,1,0,0,0,1,0,0,1,0,0,2,1,1,0,0,0,1,3,0,1,0,0,0,1,0,1,0,0,4,1,2,1,0,0,1,1,1,0,0,1,1,0,0,2,0,0
"OTU_69",13,3,10,6,8,7,14,6,4,7,7,4,7,2,8,8,11,9,7,0,3,7,3,6,2,5,0,1,5,5,6,6,0,1,3,5,0,3,5,6,8,1,5,9,1,2,4,4,8,6,0,8,3,7,7,3,5,0,4,2,5,5,3,5,6,2,2,1,3,3,7,2,1,8,9,14,5,5,8,13,10,9,14,10,21,13,19,6,47,4,14
"OTU_70",9,31,15,16,6,6,2,4,5,9,4,12,7,7,5,6,5,3,8,9,6,7,6,10,11,8,6,5,4,3,7,15,3,2,6,5,0,3,1,3,5,6,1,7,4,2,4,2,5,8,0,3,2,9,1,3,4,4,4,2,1,3,4,4,6,5,5,6,3,4,2,2,7,9,8,4,11,6,7,10,12,7,4,2,10,10,16,5,28,4,9
"OTU_89",6,0,2,0,9,8,6,5,5,3,6,2,4,3,8,6,11,7,6,13,7,6,13,4,7,8,6,7,10,5,3,2,3,5,4,7,10,9,15,4,11,4,10,7,5,15,6,4,8,10,2,7,6,8,13,10,12,10,10,4,14,3,6,5,6,5,3,4,4,0,9,2,3,8,11,3,4,9,3,6,9,9,7,5,5,2,2,2,0,0,0
"OTU_52",1,1,0,1,5,10,19,20,43,28,14,9,10,17,15,14,31,30,21,20,24,21,15,9,11,5,7,6,2,7,5,2,13,5,9,9,2,3,3,0,3,6,0,2,0,1,1,0,0,0,2,0,1,0,1,0,0,0,0,0,2,3,0,2,4,1,0,2,0,3,0,2,1,2,1,0,1,0,1,2,0,0,3,1,2,1,2,4,0,11,19
"OTU_67",10,9,4,6,3,7,1,5,1,9,6,6,6,10,15,6,4,3,18,1,11,9,6,12,11,7,10,3,6,3,2,0,12,4,11,8,10,8,12,10,8,2,7,6,3,14,6,6,3,6,5,6,8,10,4,2,2,5,9,11,8,2,4,3,9,9,5,7,5,5,2,4,2,4,2,6,2,4,4,3,8,5,5,2,4,6,9,3,1,0,0
"OTU_61",3,1,71,17,0,0,0,0,0,0,23,52,43,22,0,0,4,1,0,1,0,0,0,0,0,0,0,1,21,6,36,42,3,1,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,6,1,3,6,10,2,0,2,1,0,7,3,4,13,11,10,11,10,8,11,5,5,5,5,8,4,2,5,0,4,10
"OTU_43",15,10,7,13,21,25,30,25,27,47,25,50,18,18,3,6,20,4,8,6,18,11,13,7,6,7,7,2,10,7,4,7,2,3,2,4,0,2,0,0,1,0,0,0,0,3,0,0,2,0,0,0,0,1,1,0,0,1,0,1,0,0,1,2,0,1,1,1,1,1,0,1,0,1,1,2,0,1,2,1,2,1,1,0,0,0,0,3,1,1,1
