"ASVID","AS_1","AS_2","AS_3","AS_4","AS_5","AS_6","AS_7","AS_8","AS_9","AS_10","AS_11","AS_12","AS_13","AS_14","AS_15","AS_16","AS_17","AS_18","AS_19","AS_20","AS_21","AS_22","AS_23","AS_24","AS_25","AS_26","AS_27","AS_28","AS_29","AS_30","AS_31","AS_32","AS_33","AS_34","AS_35","AS_36","AS_37","AS_38","AS_39","AS_40","AS_41","AS_42","AS_43","AS_44","AS_45","AS_46","AS_47","AS_48","AS_49","AS_50","AS_51","AS_52","AS_53","AS_54","AS_55","AS_56","AS_57","AS_58","AS_59","AS_60","AS_61","AS_62","AS_63","AS_64","AS_65","AS_66","AS_67","AS_68","AS_69","AS_70","AS_71","AS_72","AS_73","AS_74","AS_75","AS_76","AS_77","AS_78","AS_79","AS_80","AS_81","AS_82","AS_83","AS_84","AS_85","AS_86","AS_87","AS_88","AS_89","AS_90","AS_91","AS_92","AS_93","AS_94","AS_95","AS_96","AS_97","AS_98","AS_99","AS_100","AS_101","AS_102"
"OTU_3",7.68386398025643,8.02158453345511,8.03300949859667,8.00536706731666,7.77275271646874,8.20083725837985,7.76684053708551,8.42024166533979,8.36427508499152,8.5358186555394,8.31532177537757,7.7336835707759,8.09833884618906,7.84932381804056,8.25504890275229,8.10470346837111,7.02019070831193,7.98989937494294,7.99328232810159,8.21283958467648,6.72383244082121,7.83478810738819,8.08641027532378,7.50549227473742,6.84906628263346,7.97590836016554,7.91971976092457,7.90691548867859,8.13914867888407,8.19201691453688,6.44571981938558,6.61740297797448,6.69084227741856,6.49677499018586,6.25190388316589,5.75890177387728,6.51174532964473,7.30720231476474,7.16780918431644,7.29844510150815,6.40522845803084,6.48157712927643,6.53813982376767,6.24027584517077,6.70808408385307,5.96614673912369,6.34738920965601,5.5683445037611,6.3261494731551,5.73979291217923,6.26339826259162,6.75343791859778,7.14440718032114,6.67708346124714,6.62406522779989,7.09754885061479,7.34987370473834,5.56452040732269,7.42535788702715,7.69757534680234,7.6889133368648,7.85127199710988,7.97590836016554,7.7553388128465,7.89989532313973,7.5109777520141,7.84149292446001,7.09920174355309,7.4899708988348,8.16905314992734,8.06714903991011,7.78779687818117,7.59387784460512,7.7332456465298,6.72743172485086,8.28223006329669,8.07837810362652,8.15075647027555,7.76684053708551,7.44366368311559,7.05185562295589,6.4281052726846,6.76849321164863,6.59578051396131,6.31535800152233,6.68959926917897,6.33505425149806,6.58202513889283,6.42648845745769,5.64544689764324,5.74300318780948,5.8406416573734,5.48479693349065,6.14846829591765,6.29710931993394,6.69703424766648,6.87212810133899,7.08924315502751,7.55013534248843,7.45645455517621,8.05293303679757,8.10591119798651
"OTU_5",7.11069612297883,6.78897174299217,5.44241771052179,5.06259503302697,4.7361984483945,3.71357206670431,2.89037175789616,2.77258872223978,2.89037175789616,3.04452243772342,3.58351893845611,3.3322045101752,3.66356164612965,4.07753744390572,3.87120101090789,3.87120101090789,4.17438726989564,4.36944785246702,4.34380542185368,4.29045944114839,4.26267987704132,3.76120011569356,3.78418963391826,4.79579054559674,5.03043792139244,4.70953020131233,4.95582705760126,4.52178857704904,4.48863636973214,4.51085950651685,6.84694313958538,7.04838640872188,7.63626960337937,7.85670679309584,8.40200678160712,8.67334187390617,8.51659301134421,8.27078101316267,8.43272403478979,8.02092771898158,8.47657950853094,8.4885879344059,8.43923164994653,8.53954159508,8.00603417874901,8.36915711258883,8.5762165318657,8.39570329382853,7.83715965000168,8.42704964156327,8.12266802334641,7.70029520342012,7.25770767716004,7.23849684089437,7.25205395185281,7.11882624906208,5.38449506278909,6.46458830368996,5.29330482472449,4.46590811865458,3.63758615972639,3.3322045101752,2.484906649788,2.56494935746154,2.30258509299405,2.77258872223978,2.30258509299405,2.484906649788,1.09861228866811,1.38629436111989,1.6094379124341,0,2.07944154167984,1.09861228866811,2.484906649788,2.07944154167984,1.38629436111989,1.38629436111989,1.6094379124341,0,1.09861228866811,1.6094379124341,2.30258509299405,-0.407991980489171,2.39789527279837,2.19722457733622,1.6094379124341,2.30258509299405,1.6094379124341,4.23410650459726,2.56494935746154,2.77258872223978,3.04452243772342,2.89037175789616,2.94443897916644,2.30258509299405,5.52942908751142,5.21493575760899,6.03068526026126,6.66949808985788,7.4899708988348,6.87316383421252
"OTU_8",6.38856140554563,6.0330862217988,5.39816270151775,4.83628190695148,5.03043792139244,5.15329159449778,5.95583736946483,5.67332326717149,5.63835466933375,5.66642668811243,6.61204103483309,7.09672137849476,7.56060116276856,7.4770384723197,6.67959918584438,5.50533153593236,5.29330482472449,5.33271879326537,5.62401750618734,6.18208490671663,6.9177056098353,6.67959918584438,6.61740297797448,7.13009851012558,7.17011954344963,6.62273632394984,6.62406522779989,6.64248680136726,6.96129604591017,7.39264752072162,8.33686963728496,8.0013550258267,7.84854348245668,7.73630709654828,7.568895663407,7.25488481007734,7.12447826249342,6.47697236288968,6.12249280951439,5.51342874616498,6.57228254269401,6.84054652928869,7.08506429395255,7.1276936993474,6.75693238924755,7.1420365747068,7.30921236569276,7.13009851012558,6.40357419793482,7.15383380157884,6.98193467715639,7.15539630189673,6.88959130835447,6.69456205852109,6.45204895443723,6.92853781816467,7.25347038268453,7.3038432252777,7.13727843726039,6.97166860472579,6.77878489768518,6.44094654063292,6.00141487796115,5.86078622346587,5.91889385427315,5.87493073085203,5.62040086571715,4.77912349311153,3.87120101090789,3.52636052461616,4.54329478227,5.34233425196481,6.90073066404517,7.30988148582479,7.57558465155779,7.03790596344718,7.41938058291869,6.42324696353352,6.46146817635372,6.21260609575152,6.20050917404269,6.82328612235569,6.65415252018322,6.41836493593621,7.15383380157884,6.67329796776765,6.7428806357919,7.12367278520461,6.84481547920826,7.0184017990692,6.49677499018586,6.40687998606931,6.78558764500793,6.3261494731551,6.29710931993394,6.1463292576689,6.67582322163485,5.25749537202778,5.65599181081985,5.66642668811243,5.26269018890489,4.44265125649032
"OTU_6",4.20469261939097,3.85014760171006,2.99573227355399,3.2188758248682,3.17805383034795,2.99573227355399,3.8286413964891,4.12713438504509,4.81218435537242,5.16478597392351,5.04985600724954,5.06890420222023,4.38202663467388,4.12713438504509,3.68887945411394,3.46573590279973,3.52636052461616,3.17805383034795,2.56494935746154,2.89037175789616,2.99573227355399,2.99573227355399,3.13549421592915,4.18965474202643,4.15888308335967,3.3322045101752,3.73766961828337,3.09104245335832,2.89037175789616,3.3322045101752,4.87519732320115,5.13579843705026,5.23644196282995,4.99043258677874,5.10594547390058,4.71849887129509,5.06259503302697,3.89182029811063,3.97029191355212,3.49650756146648,4.12713438504509,3.71357206670431,3.61091791264422,2.99573227355399,3.98898404656427,4.00733318523247,4.06044301054642,4.61512051684126,4.35670882668959,4.30406509320417,4.94875989037817,4.59511985013459,4.53259949315326,5.00394630594546,5.40267738187228,5.18178355029209,5.04342511691925,4.89783979995091,4.51085950651685,4.43081679884331,3.95124371858143,3.46573590279973,3.40119738166216,2.484906649788,2.19722457733622,2.39789527279837,2.39789527279837,1.94591014905531,1.94591014905531,2.484906649788,2.484906649788,3.76120011569356,3.91202300542815,4.26267987704132,4.11087386417331,3.43398720448515,3.87120101090789,4.24849524204936,4.969813299576,5.68017260901707,6.3297209055227,7.42297125104942,7.60339933974067,7.39264752072162,7.31721240835984,7.26892012819372,7.56008046502183,7.83636976054512,7.82043951526218,7.95014988765202,7.9973268229981,8.15937473677543,8.4142741374084,8.40088406901585,8.44074401925283,8.59359852261864,8.55294636112206,8.20494516501921,8.49719454490955,8.22309055116153,7.84893372636407,7.29573507274928
"OTU_16",7.43307534889858,7.75833346749091,7.87169266432365,7.75747876658418,7.38894609761844,7.5109777520141,6.87419849545329,6.87109129461055,6.69208374250663,6.82762923450285,6.65544035036765,5.96100533962327,6.4150969591716,5.78996017089725,6.03548143252476,5.99146454710798,5.19849703126583,6.13556489108174,5.68697535633982,6.04263283368238,5.6021188208797,6.09356977004514,6.1527326947041,5.92425579741453,5.06259503302697,5.73334127689775,6.23832462503951,6.20657592672493,6.53233429222235,6.60665018619822,4.45434729625351,4.44265125649032,4.26267987704132,4.44265125649032,4.18965474202643,3.61091791264422,4.20469261939097,5.37063802812766,5.0998664278242,6.07304453410041,4.39444915467244,4.20469261939097,4.81218435537242,4.96284463025991,5.37527840768417,4.64439089914137,5.04342511691925,4.92725368515721,4.51085950651685,3.87120101090789,3.95124371858143,3.78418963391826,3.52636052461616,3.46573590279973,2.77258872223978,4.00733318523247,4.60517018598809,3.25809653802148,4.53259949315326,4.44265125649032,4.99043258677874,5.35658627467201,5.66296048013595,5.74300318780948,5.96614673912369,6.45204895443723,6.46146817635372,5.88610403145016,5.93753620508243,6.46146817635372,6.49223983502047,6.01859321449623,5.85507192220243,5.37527840768417,5.29330482472449,5.59842195899838,5.01063529409626,5.46383180502561,5.64190707093811,4.99721227376411,5.03695260241363,5.16478597392351,5.38449506278909,5.40717177146012,5.48063892334199,5.12396397940326,5.45958551414416,5.99893656194668,5.82600010738045,4.79579054559674,5.29330482472449,5.09375020080676,3.78418963391826,4.71849887129509,4.87519732320115,5.87211778947542,6.1463292576689,6.53813982376767,4.65396035015752,5.01727983681492,5.63478960316925,5.78689738136671
"OTU_9",5.8348107370626,6.10924758276437,5.90536184805457,6.08677472691231,5.92157841964382,5.63478960316925,6.18001665365257,6.00388706710654,6.22653666928747,5.80513496891649,5.95064255258773,6.13556489108174,6.16331480403464,6.4377516497364,6.45676965557216,6.18001665365257,6.54391184556479,6.63068338564237,6.17378610390194,6.17586727010576,6.37331978957701,6.37161184723186,6.26339826259162,6.43615036836943,6.50428817353665,6.43294009273918,6.43454651878745,6.07304453410041,6.40357419793482,6.20050917404269,6.4831073514572,6.73578001424233,6.75925527066369,6.47850964220857,6.42648845745769,6.22653666928747,6.12029741895095,5.7268477475872,5.52545293913178,5.22035582507832,5.65599181081985,5.61312810638807,5.58724865840025,5.85220247977447,5.81413053182507,6.07534603108868,6.24416690066374,6.3578422665081,6.58617165485467,6.32076829425058,6.2709884318583,6.30444880242198,6.35088571671474,6.57088296233958,6.29341927884648,6.51471269087253,6.10031895202006,6.12468339089421,6.22851100359118,6.12905021006055,5.75574221358691,5.66296048013595,5.53733426701854,5.52942908751142,5.43372200355424,5.54907608489522,5.39362754635236,5.62040086571715,5.4510384535657,5.48893772615669,5.48063892334199,5.5683445037611,5.31811999384422,5.32787616878958,5.74939298590825,5.47646355193151,5.62040086571715,5.57594910314632,6.15485809401642,6.2363695902037,6.15909538849193,5.75890177387728,5.68017260901707,5.48063892334199,5.38449506278909,5.56068163101553,5.25227342804663,5.05624580534831,5.10594547390058,4.83628190695148,4.78749174278205,4.45434729625351,5.08140436498446,4.78749174278205,4.70048036579242,4.12713438504509,4.63472898822964,3.80666248977032,5.08759633523238,5.30330490805908,5.27299955856375,4.78749174278205
"OTU_27",4.46590811865458,4.55387689160054,4.49980967033027,4.85981240436167,5.11198778835654,5.30330490805908,6.34388043412633,6.02102334934953,5.95583736946483,6.361302477573,6.07534603108868,6.03068526026126,6.27852142416584,6.07073772800249,5.54517744447956,5.31320597904179,5.51342874616498,5.25227342804663,4.89034912822175,4.85203026391962,5.47646355193151,4.82028156560504,4.51085950651685,4.61512051684126,4.91998092582813,4.4188406077966,4.48863636973214,3.95124371858143,3.58351893845611,3.76120011569356,3.89182029811063,3.80666248977032,4.14313472639153,4.49980967033027,4.31748811353631,4.69134788222914,4.61512051684126,4.12713438504509,4.07753744390572,3.29583686600433,4.0943445622221,4.38202663467388,4.46590811865458,4.56434819146784,4.36944785246702,4.49980967033027,4.69134788222914,4.91998092582813,4.46590811865458,5.28320372873799,5.67332326717149,6.25766758788264,6.56807791141198,6.69826805411541,6.85856503479136,7.04053639021596,7.18462915271731,7.73105314400713,8.0179667034936,8.20712916807133,8.10440130792161,7.77695440332244,7.1276936993474,6.97354301952014,6.27852142416584,6.15909538849193,6.22455842927536,5.73009978297357,4.99043258677874,4.21950770517611,4.43081679884331,4.18965474202643,4.33073334028633,4.55387689160054,5.18178355029209,4.7361984483945,4.8283137373023,4.39444915467244,4.27666611901606,4.26267987704132,4.21950770517611,3.36729582998647,3.29583686600433,2.89037175789616,2.83321334405622,2.77258872223978,2.30258509299405,1.94591014905531,2.70805020110221,2.19722457733622,2.07944154167984,1.38629436111989,1.6094379124341,0.693147180559945,0,-0.408341114944359,-0.310474129528113,0.693147180559945,0.693147180559945,-0.338224296828693,-0.325974062629779,-0.499622487791017
"OTU_17",5.06259503302697,5.58724865840025,4.70953020131233,4.99721227376411,4.58496747867057,4.11087386417331,4.20469261939097,4.02535169073515,4.26267987704132,4.66343909411207,5.43372200355424,5.61312810638807,5.41164605185504,6.36990098282823,6.24610676548156,6.92067150424868,7.30114780585603,7.28550654852279,7.3031700512368,6.91373735065968,6.66057514983969,6.26530121273771,6.11809719804135,6.94697599213542,7.18916773842032,6.71052310945243,6.70563909486,5.80513496891649,5.57594910314632,5.52942908751142,7.38087903556412,7.62021477057445,7.72400465667607,7.38398945797851,7.63626960337937,7.55171221535131,7.27309259599952,6.47543271670409,6.48004456192665,5.81413053182507,6.08449941307517,5.99396142730657,5.85220247977447,5.58724865840025,4.4188406077966,4.69134788222914,4.60517018598809,4.23410650459726,3.49650756146648,4.14313472639153,4.04305126783455,4.70953020131233,4.12713438504509,4.70953020131233,4.77912349311153,4.68213122712422,3.09104245335832,4.39444915467244,3.46573590279973,3.3322045101752,2.63905732961526,1.79175946922805,2.19722457733622,2.07944154167984,1.09861228866811,1.94591014905531,0.693147180559945,1.09861228866811,0,1.09861228866811,1.38629436111989,0,0,1.09861228866811,1.09861228866811,1.6094379124341,0.693147180559945,-0.506717803075983,1.6094379124341,-0.518845098706013,0,0.693147180559945,0.693147180559945,1.79175946922805,1.6094379124341,0,0,1.38629436111989,1.09861228866811,2.77258872223978,0,1.38629436111989,1.6094379124341,0.693147180559945,1.6094379124341,0.693147180559945,4.15888308335967,3.58351893845611,4.39444915467244,4.90527477843843,5.88332238848828,5.24174701505964
"OTU_19",5.38449506278909,4.27666611901606,4.07753744390572,4.48863636973214,4.52178857704904,4.55387689160054,5.29831736654804,4.78749174278205,4.29045944114839,3.63758615972639,2.30258509299405,2.484906649788,1.38629436111989,0,0,0,-0.50642958059549,-0.506294882594879,0,0,0.693147180559945,0,0.693147180559945,1.09861228866811,-0.553189330525541,2.484906649788,2.30258509299405,3.80666248977032,3.97029191355212,4.24849524204936,4.78749174278205,5.02388052084628,5.59842195899838,6.09582456243222,6.22851100359118,6.33150184989369,6.60394382460047,7.18462915271731,7.41758040241454,7.34342622914737,7.59538727885397,7.32317071794347,6.95844839329766,7.40488757561612,6.70073110954781,7.28276117960559,6.92362862813843,6.35088571671474,4.77912349311153,6.00635315960173,6.23441072571837,5.73334127689775,5.60947179518496,5.72358510195238,5.40267738187228,5.59471137960184,4.99043258677874,5.29330482472449,4.60517018598809,4.67282883446191,3.29583686600433,3.55534806148941,3.40119738166216,3.36729582998647,2.30258509299405,3.04452243772342,2.39789527279837,3.25809653802148,4.04305126783455,4.26267987704132,4.00733318523247,2.77258872223978,2.19722457733622,2.19722457733622,2.83321334405622,3.04452243772342,3.55534806148941,3.43398720448515,4.85203026391962,5.42934562895444,6.15060276844628,6.49828214947643,5.82894561761021,5.5834963087817,6.2709884318583,5.91620206260743,5.52942908751142,5.42053499927229,4.83628190695148,5.77144112313002,5.02388052084628,4.9416424226093,5.89164421182577,5.40717177146012,5.36129216570943,5.80513496891649,6.63594655568665,6.8134445995109,7.01121398735037,7.32646561384032,6.93634273583405,6.27664348934164
"OTU_20",6.36818718635049,6.30261897574491,6.93244789157251,6.90073066404517,6.72982407048948,6.84481547920826,6.29894924685594,6.06145691892802,6.03787091992214,5.99645208861902,5.73334127689775,5.57594910314632,5.41164605185504,5.75890177387728,5.90536184805457,5.83188247728352,5.67675380226828,6.31535800152233,6.4707995037826,6.54965074223381,4.99043258677874,6.66695679242921,7.03966034986208,6.40357419793482,5.68357976733868,6.19644412779452,6.87212810133899,6.67834211465433,7.01660968389422,6.94985645500077,5.28826703069454,5.23110861685459,5.48893772615669,5.70711026474888,5.17614973257383,4.97673374242057,5.56068163101553,6.43615036836943,6.23048144757848,6.38856140554563,4.82028156560504,4.49980967033027,4.23410650459726,4.48863636973214,5.53733426701854,4.02535169073515,4.65396035015752,4.85203026391962,4.63472898822964,4.44265125649032,4.52178857704904,3.91202300542815,3.98898404656427,4.18965474202643,4.48863636973214,4.30406509320417,5.49306144334055,4.30406509320417,5.50125821054473,5.27299955856375,5.55682806169954,5.15329159449778,5.39362754635236,4.96284463025991,5.01727983681492,5.39362754635236,5.18178355029209,4.89783979995091,4.39444915467244,5.32787616878958,5.67332326717149,4.97673374242057,5.01727983681492,4.90527477843843,4.63472898822964,5.34233425196481,4.72738781871234,5.04985600724954,5.00394630594546,4.64439089914137,4.65396035015752,4.51085950651685,4.59511985013459,5.18738580584075,5.28826703069454,5.14166355650266,5.18738580584075,5.64897423816121,5.50533153593236,5.03043792139244,5.31811999384422,5.84932477994686,3.89182029811063,5.6970934865054,5.38449506278909,6.02102334934953,6.32793678372919,6.22851100359118,5.37989735354046,6.13556489108174,6.4281052726846,6.21460809842219
