"ASVID","DonorA_Stool123","DonorA_Stool125","DonorA_Stool126","DonorA_Stool127","DonorA_Stool128","DonorA_Stool129","DonorA_Stool134","DonorA_Stool135","DonorA_Stool136","DonorA_Stool138","DonorA_Stool139","DonorA_Stool140","DonorA_Stool141","DonorA_Stool142","DonorA_Stool143","DonorA_Stool144","DonorA_Stool146","DonorA_Stool147","DonorA_Stool149","DonorA_Stool150","DonorA_Stool151","DonorA_Stool152","DonorA_Stool153","DonorA_Stool154","DonorA_Stool155","DonorA_Stool156","DonorA_Stool158","DonorA_Stool159","DonorA_Stool160","DonorA_Stool161","DonorA_Stool162","DonorA_Stool163","DonorA_Stool164","DonorA_Stool165","DonorA_Stool166","DonorA_Stool167","DonorA_Stool168","DonorA_Stool169","DonorA_Stool170","DonorA_Stool171","DonorA_Stool172","DonorA_Stool173","DonorA_Stool174","DonorA_Stool175","DonorA_Stool176","DonorA_Stool177","DonorA_Stool178","DonorA_Stool179","DonorA_Stool180","DonorA_Stool181","DonorA_Stool182","DonorA_Stool183","DonorA_Stool184","DonorA_Stool185","DonorA_Stool186","DonorA_Stool187","DonorA_Stool284","DonorA_Stool285","DonorA_Stool286","DonorA_Stool287"
"OTU_282",16,18,14,7,8,10,11,18,10,17,9,24,11,14,16,19,30,17,11,7,9,20,19,14,18,8,19,10,21,14,15,10,12,8,11,16,16,8,16,13,9,3,4,20,6,27,21,17,10,15,30,17,9,34,25,13,16,4,14,15
"OTU_109",6,16,6,18,13,6,15,13,38,15,14,4,19,11,13,24,6,10,11,23,16,6,5,3,24,11,26,15,17,8,19,16,22,4,9,19,22,14,22,16,8,24,11,31,9,22,9,12,11,27,10,8,10,21,15,14,17,13,9,11
"OTU_150",6,10,7,12,14,22,5,3,34,8,7,22,21,10,21,33,24,20,1,8,6,8,12,29,8,7,11,10,30,12,35,31,7,3,2,3,4,1,15,6,19,16,1,4,17,16,46,59,16,19,15,11,10,9,0,15,19,13,10,17
"OTU_118",8,6,10,9,18,3,5,6,16,21,34,48,24,11,29,14,9,15,1,9,15,18,30,17,2,4,3,7,14,7,13,9,4,4,5,5,3,5,8,11,14,18,2,8,28,16,35,22,12,13,20,13,18,10,6,27,26,17,27,14
"OTU_132",25,30,25,16,9,5,15,14,5,13,5,9,14,10,19,13,18,7,12,21,17,1,7,2,13,20,31,12,14,17,23,16,22,9,11,11,21,4,14,15,22,12,2,13,22,14,8,9,12,16,9,23,12,14,14,5,5,2,8,34
"OTU_142",2,4,5,2,2,1,74,18,0,0,9,0,8,46,60,14,1,10,40,13,4,4,1,0,28,17,4,4,14,19,0,0,7,33,36,8,31,44,12,4,20,14,31,20,1,17,8,6,3,3,6,0,13,9,4,16,2,4,16,2
"OTU_131",16,19,32,13,7,4,21,17,4,8,6,15,13,10,21,17,13,8,9,13,12,1,11,10,6,9,13,4,20,21,29,13,28,5,8,13,24,3,15,14,20,19,4,16,15,7,6,5,14,7,9,18,9,23,12,2,7,4,10,32
"OTU_100",3,1,12,1,0,0,12,18,1,7,3,6,16,13,4,16,0,0,30,47,5,37,14,2,17,11,2,16,9,23,2,1,3,17,66,18,7,53,17,7,6,23,30,11,10,25,10,6,5,8,2,0,0,4,0,26,1,16,10,9
"OTU_27",16,42,76,7,8,4,23,29,5,4,0,5,4,6,1,18,3,35,28,5,6,15,20,51,17,13,11,3,34,3,5,10,16,2,3,3,16,34,9,11,25,10,0,3,1,0,2,1,6,15,2,2,1,6,3,1,0,0,1,3
"OTU_123",25,3,3,10,4,7,5,10,19,11,18,11,14,21,32,27,22,28,8,10,12,9,10,2,10,8,6,4,20,6,9,15,13,2,7,12,6,7,16,14,7,11,2,2,6,7,19,17,9,4,8,14,3,3,12,7,26,7,10,8
