"ID","UK01A","UK02A","UK03A","UK04A","UK05A","UK06A","UK08A","UK09A","UK10A","UK11A","UK12A","UK13A","UK14A","UK15A","UK16A","UK17A","UK18A","UK19A","UK20A","UK21A","UK22A","UK23A","UK24A","UK25A","UK26A","UK27A","UK28A","UK29A","UK30A","UK31A","UK32A","UK33A","UK34A","UK35A","UK36A","UK37A","UK38A","UK39A","UK40A","UK41A","UK42A","UK43A","UK44A","UK45A","UK46A","UK47A","UK48A","UK49A","UK50A","UK51A","UK52A"
"5dd9b4c4fb4de32a93a6e834dde0faa2",0,10,6,4,0,1,4,4,9,9,5,0,0,5,4,6,0,4,2,8,3,6,7,3,10,10,8,3,0,0,0,0,0,3,0,0,0,13,14,15,5,8,11,5,9,8,4,10,12,10,14
"5e881daab846993e2a1262bd76e598f2",80,63,75,69,65,66,49,63,50,61,38,34,62,39,48,55,53,48,88,103,90,81,134,151,158,204,237,198,374,357,466,293,211,69,45,32,40,37,54,62,126,119,139,87,120,107,104,116,94,112,78
"5eb09f98fdf655d8e7367569ea3b4b3c",0,0,1,4,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,12,2,0
"5ec7485582e96e450b0c65c431780a11",26,50,82,278,228,294,380,361,216,159,21,5,32,27,28,14,10,15,30,23,1,5,3,2,0,0,0,1,1,3,0,0,0,28,25,22,15,12,3,8,12,6,23,198,12,17,16,10,161,26,154
"5f1e574982a8d051af8f55f132638e00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,7,7,0,3,0,5,0,0,0,0
"5f5b143cc441d9e8bfe662536aa5e1b2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,9,10,12,6,5,4,8,0,3,0,2,0,5,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
"5fc700fccb243bf15e9a100f7c4253c6",10,8,7,6,7,9,9,23,20,24,35,10,16,2,6,5,5,3,3,9,5,6,3,0,7,8,9,17,13,6,2,0,0,1,4,4,3,5,4,5,5,20,28,31,17,15,13,17,12,17,17
"5fe8a79baa0e9601bc73ff3938dbf497",0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,9,6,7,9,15,15,18,13,11,10,7,15,17,5,4,0,5,11,6,12,5,6,0,0,0,0,0,0,0,0,0
"60100a196856996735dfb367491283a4",30,20,18,18,18,15,6,4,4,4,12,19,6,7,9,17,5,10,23,24,47,62,84,70,42,46,75,83,76,58,122,82,98,33,14,25,27,34,71,102,128,114,69,23,65,59,86,73,14,29,10
"609d1ae0045de753ac19f31803e3e19d",0,0,8,0,0,8,0,0,0,0,5,0,0,0,0,7,0,0,0,0,14,4,0,0,0,13,14,5,0,0,0,0,0,0,0,0,6,0,8,0,9,0,6,5,0,5,7,0,0,0,8
