"SampleID","Week","SS.Bacteria.mL","SS.AOB.per.mL","SS.Virus.mL","Eff.Virus.mL","Influent.Flow..L.sec.","HRT..Hours.","SRT..Days.","SS.COD..mg.L.","SS.COD..mg.L..1","Eff.COD..mg.L.","SS.NH4.N..mg.L.","Eff.NH4.N..mg.L.","SS.MLSS..g.L.","Eff.MLSS..g.L.","SS.MLVSS..g.L.","Eff.MLVSS..g.L.","SS.Nitrate..mg.L.","Eff.Nitrate..mg.L.","SS.Nitrite..mg.L.","Eff.Nitrite..mg.L.","SS.Sulphate..mg.L.","Eff.Sulphate..mg.L.","SS.Phosphate..mg.L.","Eff.Phosphate..mg.L.","SS.Fluoride..mg.L.","Eff.Fluoride..mg.L.","SS.Chloride..mg.L.","Eff.Chloride..mg.L.","SS.Calcium..ug.L.","SS.Magnesium..ug.L.","SS.Potassium..ug.L.","SS.Iron..ug.L.","SS.Manganese..ug.L.","SS.Aluminium..ug.L.","SS.Zinc..ug.L.","SS.Lead..ug.L.","SS.Copper..ug.L.","SS.Arsenic..ug.L.","SS.Cadmium..ug.L.","SS.Sulphur..ug.L.","SS.Sillicon..ug.L.","SS.Nickel..ug.L.","SS.Chromium..ug.L."
"SS_63",63,13397573.38,471111.1111,103857034.4,713015575.1,95.56,9.881422925,10.58,187,26,20,79.3,51.1,0.16,0,0.14,0,0,31.398,0.235,0,60.082,53.525,13.176,2.994,18.627,0.87,71.232,63.996,41528.4,9368.14,12936.2,0,218.045,261.87,63.743,0,25.286,15.735,0.554,21529.6,4118.21,7.63,6.069
"SS_64",64,21343884.17,260155.5556,110630777.6,529206549.5,89.57,10.55408971,11.05,154,21,37,35.4,76.4,0.18,0.05,0.17,0.02,0,29.46,0,0,69.51,81.933,11.002,2.173,6.747,1.541,65.607,52.114,53697.6,12599.8,11110,4751.88,242.819,241.695,90.561,22.99,111.049,0,0.787,23092.9,5222.42,7.965,7.288
"SS_65",65,26165477.6,179555.5556,124453924.1,506006190.1,85.2,10.95410231,7.45,97,17,46,25.3,63.9,0.09,0.05,0.09,0.04,3.351,36.971,0.196,0,28.533,86.275,6.247,3.896,1.035,1.572,23.317,57.882,31245.3,6405.2,4552.27,1891.64,118.459,410.707,76.441,4.226,33.825,10.448,1.859,10556.2,3548.97,8.53,10.724
"SS_66",66,37178972.93,212888.8889,91630709.82,623881629.4,95.8,5.485463522,11.05,184,32,18,35.1,2.3,0.09,0,0.09,0,0.351,45.107,0,0,71.189,97.492,11.315,2.185,6.906,1.529,73.936,59.432,44628.2,10949.3,11011.8,3297.98,188.407,197.977,91.773,1.976,57.874,0,0,22274.6,4326.76,11.201,10.761
"SS_67",67,20018789.01,126411.1111,74758219.93,660076916.9,76.85,5.733944954,11.52,200,27,15,36.8,3,0.05,0,0.05,0,0,57.695,0,0,46.226,96.234,13.524,4.576,1.595,1.288,48.519,62.084,38762.4,9011.68,10783.7,3004.73,164.418,255.99,108.402,0,35.117,0,0.404,20782.6,4185.82,22.848,11.796
"SS_68",68,24227888.67,81511.11111,85183265.91,199673682.1,77.57,7.917656374,12.15,180,32,17,36.7,1,0.11,0,0.11,0,2.871,87.626,0,0,73.319,136.466,15.414,1.473,2.298,0.295,70.742,69.086,34384.2,8200.48,11722.9,2705.74,125.665,259.754,95.727,5.811,83.611,15.596,0.715,21804.1,3691.27,9.808,10.018
"SS_69",69,20171467.3,93555.55556,177819345.3,231178354.6,184.2,7.898894155,7.87,87,22,12,6.9,1,0.04,0.05,0.04,0.05,21.148,28.17,0.296,0,77.254,50.121,4.691,2.33,0.402,0.492,41.614,26.031,65187.6,15537.7,10586.3,2203.45,75.2872,420.501,63.2177,9.19844,37.4186,23.2351,0.456787,22569.9,6760.66,6.41469,9.31006
"SS_70",70,497772.9677,7711.111111,166946708.3,551761781.2,90.91,7.326007326,12.78,205,19,16,40,2,0.17,0,0.13,0,0.628,32.708,0.236,0,73.929,104.945,3.753,1.59,2.397,0.32,63.672,64.259,51967.7,12400.3,14872.4,0,226.493,413.265,104.006,15.3994,114.761,9.2025,1.19901,25019.5,4872.47,9.56509,11.4828
"SS_71",71,3284227.731,20823.33333,191099448.3,956855002.3,84.72,8.417508418,10.35,197,30,20,35.8,2.5,0.12,0,0.12,0,2.596,45.443,0,0.491,74.891,89.758,16.948,9.434,1.94,0.32,69.394,67.399,47472.8,11292.2,17710.3,4080.65,177.718,294.087,118.543,11.8859,90.2272,13.4064,0.881053,25889.3,2452,14.6766,15.6994
"SS_72",72,281450.9068,7014.444444,190156417.8,396811679.5,191.6,6.389776358,8.8,144,17,14,30.1,6.3,0.16,0,0.09,0,7.793,30.345,0.314,0,53.399,62.875,9.478,6.405,1.308,0.44,36.32,38.939,54713.2,12812.5,10080.7,4873.87,183.36,756.207,91.4749,11.7573,37.7178,14.7377,0.727957,18178.6,4369.07,18.399,16.1979
"SS_73",73,551818.809,6707.777778,159428319.2,391738207.3,124.4,10.10509297,14.59,84,17,22,16.1,1.3,0.05,0,0.05,0,1.645,40.689,0.589,0,69.642,92.588,9.724,4.079,0.483,0.29,49.848,52.905,58874.9,13630.3,10597.4,1150.47,135.582,268.507,64.4833,11.4412,31.1704,17.3221,1.03991,23004.1,5002.64,12.4988,11.915
"SS_74",74,479524.1767,188511.1111,132321294.6,606205885,101.2,8.665511265,12.28,1172,24,20,26.9,1.8,0.1,0.03,0.06,0.01,17.57825408,1.328422372,0.705278986,0.185200169,94.04330337,69.83277859,6.084603611,24.47407023,0.362212001,0.548530228,65.95638492,70.05548641,56808.4,14035,13234.3,2633.88,195.041,298.478,72.4459,10.1509,31.9142,17.2739,0.569169,24923.9,4753.06,12.6117,15.3264
"SS_75",75,5477566.031,20623.33333,229026493.6,829777953.8,94.75,5.285412262,13.89,430,47,39,37.7,2,0.15,0,0.12,0,1.119038077,0.655722462,0,1.055475633,92.4608193,63.35001344,9.603104765,15.40108926,0.330594954,7.498403217,133.7346144,75.73754444,51334.5,11601.6,18794.6,4977.47,221.381,326.44,85.5925,6.93894,31.4617,13.9282,0.452136,23350.2,2848.06,12.3746,13.8742
"SS_76",76,3263369.262,9600,179597115.8,345248800.4,91.29,9.302325581,10.19,216,26,23,28.3,2,0.15,0,0.15,0,25.2896302,3.642259996,0,0.201792673,117.84597,28.22828627,3.86154902,8.496652673,0.333207126,0.125718436,78.81795474,29.150066,42109.5,10174.9,16310.3,2944.27,139.308,252.074,62.3197,5.54036,40.1479,21.3153,0.878729,24244.2,3038.09,17.5577,20.7866
"SS_77",77,511011.6271,102411.1111,149361392.7,514944635.6,182.3,12.75022313,12.18,137,24,15,22.8,2,0.09,0.05,0.09,0.05,9.611637003,16.57525674,1.139808235,0.179574516,79.98040553,79.31174153,3.833172132,5.995934212,0.328817351,0.568470569,67.17079001,47.55458449,39631.3,8909.43,10813.6,2220.76,100.309,641.245,77.5291,7.95129,53.8695,10.0355,0.645752,17734.5,3428.5,26.0229,13.5616
"SS_78",78,1898387.292,19925.55556,252624845.5,110428610.2,174.4,12.23091977,7.51,172,15,6,12.6,2.9,0.14,0,0.11,0,20.48083437,5.843968017,1.024651985,0.314939916,78.59491629,84.86385306,0.812447397,9.718801047,0.488164095,1.481383319,39.1219834,103.7532834,70208.1,17181.1,10585.2,4649.02,161.598,0,110.558,18.8597,106.142,17.7767,0.61122,22249.2,6803.1,14.4743,14.959
"SS_79",79,1152929.175,6793.666667,111137577.3,185194931.9,126.3,9.803921569,12.43,154,21,18,20.2,3,0.12,0,0.09,0,19.73087982,3.297901458,3.889889821,0.626011205,115.5090755,77.09369202,1.697322115,2.098564421,0.36796536,1.997512187,137.6409076,228.7412662,60192.8,15313.5,13086.7,2869,158.603,334.179,73.8773,9.51692,69.8047,8.4249,1.29665,26985.8,4685.56,9.14677,11.0552
"SS_80",80,1903279.366,6651.111111,234313885.5,114341822.8,126.6,12.96512382,13.4,132,27,15,19.7,2,0.04,0,0.04,0,20.04514196,1.551506364,4.927909171,5.299327141,104.2555603,66.28107422,1.793976091,11.9465702,0.396995989,0.410499927,109.903678,53.14031402,59113,15466,12253.1,1305.43,102.379,225.83,60.4065,8.66729,60.2778,17.9638,0.93331,26779.3,4254.5,13.1938,15.679
"SS_81",81,2992645.305,7180,178821508,338792206.1,136.5,9.775171065,10.42,116,30,23,17,5.8,0.12,0.01,0.12,0.01,15.062,45.41,2.236,4.163,70.766,88.877,12.847,6.465,0.287,0.407,101.646,102.871,60864.9,14940.9,12868.8,2849.82,131.358,506.291,136.557,9.9168,136.094,24.7584,0.656181,23875.4,4627.48,135.751,20.8194
"SS_82",82,2766689.289,8665.555556,98662814.07,380756005.1,118.8,5.37056928,18.17,171,41,38,18.7,0.1,0.09,0,0.08,0,5.632,63.544,0.313,0.653,82.495,79.543,11.041,8.325,0.265,0.308,86.475,106.288,56452.7,14516.3,10711.3,1159.75,145.734,218.867,68.9423,8.36462,48.9017,20.3605,0.960976,24083.3,4195.72,9.52661,12.3608
"SS_84",84,374715.7893,7217.777778,247623007.9,483330829.1,98.96,12.40079365,10.58,105,22,11,24.5,1.1,0.08,0.02,0.08,0,8.14,64.975,0.65,0,73.285,92.887,6.092,2.285,0.255,0.296,0.255,396.097,51112.4,12152.8,14795.9,1605.55,124.996,259.044,86.9352,6.84676,47.6711,0,0.68043,23372.3,3238.55,11.8126,12.1017
"SS_85",85,1469539.04,6826.666667,133270962,571285066.4,115.4,12.98869983,12.03,91,20,20,15.2,1.2,0.06,0.03,0.05,0,5.697,1.928,0,0.305,68.002,89.631,8.864,0,0.235,0.246,72.168,461.377,57823.1,12277.4,15826.4,1775.13,208.663,261.555,81.5279,12.92,41.5431,9.94331,0.910094,20642,3244.65,18.1072,24.5031
"SS_86",86,1474889.009,5912.2222225,52639518.52,241595235.9,189.2,10.2145046,8.9,193,20,16,6.1,1,0.05,0,0.03,0,12.8,25.777,0,0,58.701,49.631,2.915,1.105,0.636,0.451,147.765,147.817,60092.9,14296.8,8719.88,1678.03,59.9231,443.947,63.6469,6.4059,33.9692,16.4447,0.935665,17807.4,4799.95,37.486,57.807
"SS_87",87,2078507.589,4997.777778,145726037,556836397.4,107.5,7.02247191,11.74,137,13,16,20,11.8,0.09,0.03,0.07,0.03,7.032,77.6,0.49,0.387,90.837,90.664,14.258,11.797,0.339,0.444,116.835,127.511,61278.3,16113.9,12790.1,1362.99,151.974,258.78,60.6956,13.1123,36.0227,13.069,0.540652,27694.9,4007.39,11.5704,12.6491
"SS_88",88,1111419.184,2485.222222,162193777.8,525005111.3,78.43,16.10305958,11.74,179,13,57,7,4.7,0.11,0.02,0.11,0.02,0.511,72.538,0,0.407,0,0,14.2444,0,0.805,0.378,127.3,137.955,56500.1,13862.7,14544.8,1745.14,157.077,366.065,97.1712,13.1828,53.8884,18.4067,0.944155,27448.4,2346.27,24.8989,10.695
"SS_89",89,553711.725,2312.555556,107558481.5,660343363.6,81.76,12.46261216,11.74,187,28,15,5.8,5.7,0.12,0.03,0.12,0.03,0.408,81.708,0,0.46,0,0,13.781,2.815,0.31,0.284,114.014,113.967,54156.8,13837.3,14693.6,1100.87,125.644,522.108,96.5538,9.27214,54.6902,18.8308,19.2609,28469.3,4344.6,11.1292,12.9173
"SS_90",90,781928.8373,2096,129808750,516464303.4,102,12.10067764,11.74,209,21,14,6.8,5.6,0.09,0.03,0.07,0.03,6.608,84.548,0.181,0.365,0,0,11.773,2.331,0.488,0.286,123.13,127.882,60299,14898.6,13307.6,848.835,117.202,359.294,154.225,14.0331,39.5086,9.30574,19.5352,28794.9,2766.06,12.9619,44.3602
"SS_91",91,1976572.32,2376.444444,162102481.5,673162572.1,77.13,8.658008658,11.74,200,34,29,33.2,2.1,0.08,0.01,0.08,0.01,0.412,96.717,0,0.496,87.182,140.23,17.086,3.651,1.06,0.286,98.85,90.603,49670.2,12586,16823.6,1768.67,128.466,427.994,85.84,15.4593,28.5875,18.3542,5.79087,30074.8,3326.67,51.174,9.52244
"SS_92",92,1866291.708,4215.222222,174685125,793346990.9,102.3,12.28501229,11.74,426,30,29,27.4,6.5,0.09,0.02,0.09,0.02,4.715,49.157,0.201,0.603,79.957,107.98,15.713,2.135,0.339,0.462,320.337,232.707,54485.1,13134.3,20885.7,1128.41,106.975,298.401,167.758,6.27103,29.7124,11.0847,2.78505,26681.1,3683.37,21.1815,7.71541
"SS_93",93,1197167.821,6438.888889,198860000,369076257.2,186.2,15.22070015,11.74,419,58,38,10.9,1.3,0.04,0.01,0.04,0.01,12.951,37.635,0,0,69.387,69.234,8.334,3.562,0.42,0.474,148.698,122.708,64050,15522,11251.7,2253.29,91.5436,383.006,75.3066,11.4119,33.1056,0,0.81193,21912.7,5040.23,12.5446,16.5319
"SS_94",94,1033198.931,2665.333333,162102481.5,557544435.3,97.84,14.18439716,11.74,349,108,52,22.5,6.1,0.02,0.03,0.02,0.03,2.88,52.667,0.258,0.591,82.008,134.155,10.623,1.137,0.418,0.347,25.188,332.792,55173.7,13890.1,15191.1,1234.93,110.814,308.689,73.1623,15.0752,24.6931,8.41147,2.9667,27780.1,2911.19,11.0358,14.9059
"SS_95",95,2166746.764,3734.222222,171007148.1,617180985.9,80.64,9.267840593,11.74,88,48,22,22,6.1,0.1,0,0.08,0,0.456,77.731,0,0.596,89.895,136.967,12.716,1.299,0.234,0.227,98.923,107.968,48982.1,12403,15631.7,919.292,108.005,340.86,71.0876,5.1211,34.0649,8.51599,1.43061,29641.7,3715.78,12.594,5.86522
"SS_96",96,3936948.767,8436.666667,228683296.3,923101006,76.99,11.49954002,11.45,98,34,34,29.5,9.5,0.07,0.07,0.07,0.04,0.339,59.771,0,0.504,81.22,121.492,14.162,1.931,1.763,0.218,98.962,91.522,47194.2,11691.1,18834.2,2297.93,129.189,0,88.7636,13.032,39.9405,13.681,0.501887,28672.5,170.947,10.5546,10.7952
"SS_97",97,2467043.029,14857.77778,88815074.07,1144886972,97.9,10.03009027,12.73,143,39,23,25.7,7.1,0.08,0.04,0.08,0.04,0.635,66.711,0,0.523,101.081,107.774,6.87,3.562,1.169,0.215,97.107,91.056,40214.1,9801.79,16720.4,6906.29,150.075,244.874,81.2675,12.2053,35.8652,6.00018,6.89279,32907.1,3515.63,24.0953,8.19455
"SS_98",98,3132488.966,48744.44444,353860981.6,917306318.8,142.4,14.65845793,13.87,213,41,24,21.2,6.5,0.11,0,0.11,0,0.663,79.681,0,0.472,103.31,137.561,7.803,2.113,1.685,0.208,86.142,83.635,34606.5,8333.73,15561.8,6644.37,135.856,185.432,53.3408,1.91152,34.3916,12.3514,0.390726,30582.8,3109.44,9.91306,6.64367
"SS_99",99,2332430.199,4025.222222,437599018.4,377898284.1,62.1,13.96648045,9.73,216,45,25,38.6,6.7,0.14,0.04,0.14,0.04,0,48.566,0,0,69.684,139.062,21.145,0,2.207,0.292,81.509,81.762,39611.5,9141.43,16927.1,3840.47,136.511,315.826,69.8623,0,34.1273,7.05351,0.314,24991.2,3818.86,7.59478,7.83319
"SS_100",100,824810.3943,2366.333333,229559391.8,940275781.9,80.24,14.94544911,9.77,177,48,46,33.4,1.5,0.13,0.05,0.13,0.05,0,83.306,0,0,98.213,102.866,10.89,6.046,1.014,0,70.846,70.172,35168.7,8490.55,18314.5,8072.29,147.118,262.136,68.2326,0,27.7271,1.51528,0.740963,36591.8,1040.06,10.3641,7.8893
"SS_101",101,505153.6385,2375.444444,159453749.6,547925405.2,82.64,12.88992008,10.83,29,38,38,9.7,1.1,0.07,0,0.07,0,9.308,28.008,0,0,74.472,54.569,7.258,6.589,0.604,0.469,96.759,73.033,50676.2,11893.6,11181.7,3717.43,134.596,154.674,49.3201,7.02711,25.8438,11.6726,0.364386,26436.6,147.746,9.18337,8.32941
"SS_102",102,15054187.8,102781.1111,258778495.4,420156442.5,115.5,13.74003847,9.64,128,64,55,9.8,1.4,0.07,0,0.07,0,10.356,53.4,0.465,0,78.38,75.341,15.981,10.752,1.27,0.717,95.735,89.807,61753.6,15452.6,13199.9,2467.39,147.415,190.114,38.4739,0,17.7101,15.6604,0.25704,25553.6,4004.67,8.86633,8.59774
