"SampleID","Week","SS.Bacteria.mL","SS.AOB.per.mL","SS.Virus.mL","Eff.Virus.mL","Influent.Flow..L.sec.","HRT..Hours.","SRT..Days.","SS.COD..mg.L.","SS.COD..mg.L..1","Eff.COD..mg.L.","SS.NH4.N..mg.L.","Eff.NH4.N..mg.L.","SS.MLSS..g.L.","Eff.MLSS..g.L.","SS.MLVSS..g.L.","Eff.MLVSS..g.L.","SS.Nitrate..mg.L.","Eff.Nitrate..mg.L.","SS.Nitrite..mg.L.","Eff.Nitrite..mg.L.","SS.Sulphate..mg.L.","Eff.Sulphate..mg.L.","SS.Phosphate..mg.L.","Eff.Phosphate..mg.L.","SS.Fluoride..mg.L.","Eff.Fluoride..mg.L.","SS.Chloride..mg.L.","Eff.Chloride..mg.L.","SS.Calcium..ug.L.","SS.Magnesium..ug.L.","SS.Potassium..ug.L.","SS.Iron..ug.L.","SS.Manganese..ug.L.","SS.Aluminium..ug.L.","SS.Zinc..ug.L.","SS.Lead..ug.L.","SS.Copper..ug.L.","SS.Arsenic..ug.L.","SS.Cadmium..ug.L.","SS.Sulphur..ug.L.","SS.Sillicon..ug.L.","SS.Nickel..ug.L.","SS.Chromium..ug.L."
"SS_20",20,13127256.96,77311.11111,76701103.1,513641191.6,75.59,7.336757153,12.03,275,33,32,25.5,3.7,0.12,0.03,0.1,0.03,0.709,33.216,0.368,0,53.467,106.228,21.823,3.412,3.458,0.406,55.627,65.512,37626.3,6975.47,11572.1,3823.45,160.115,315.907,97.203,24.5642,68.9512,11.3866,1.66693,16420.2,3551.28,52.1646,17.8424
"SS_21",21,14148038.8,57700,28652639.69,468681354.5,76.91,10.80380294,9.5,245,22,24,40,3.3,0.12,0,0.09,0,0,68.949,0,0.303,68.843,117.107,19.77,2.219,3.01,0.274,65.191,68.561,42121.4,9058.85,15621,2483.41,118.538,312.838,118.32,18.2556,95.5753,0,0.575766,23255.4,3737.65,16.4884,12.8014
"SS_22",22,26462821.53,80322.22222,59370481.7,685468076.9,91.66,11.91185229,6.03,231,35,25,34.3,6.2,0.17,0,0.16,0,2.395,41.837,0.35,0.377,55.977,112.647,19.713,3.383,4.515,0.239,58.999,63.412,39242,6850.97,13226.3,3095.12,146.359,698.556,428.092,35.7237,275.543,0,1.65327,10715.6,3074.37,40.0313,28.396
"SS_23",23,14809552.35,58033.33333,57519768.79,495378798.1,78.25,9.737098345,10.76,186,25,17,34.3,1.3,0.09,0.06,0.09,0.04,0.366,81.358,0,0.623,64.321,97.012,16.655,3.542,2.529,0.15,67.39,64.299,40671.1,8675.16,16006.8,2934.22,115.608,367.103,108.534,13.0403,62.9372,3.49679,0.77302,22799.9,3541.62,17.3624,12.1764
"SS_24",24,10923621.2,74877.77778,102085163.8,575149375,80.73,11.69317119,12.09,261,25,18,39.9,2.3,0.15,0.02,0.15,0.01,0.531,54.91,0.498,0.457,69.061,112.824,17.244,2.798,4.43,0.17,68.995,62.41,48232.4,10325.7,16239.5,5423.99,169.198,276.89,85.6699,11.0005,85.045,0,1.01842,24240.6,4072.38,11.7177,10.2073
"SS_25",25,15330628.99,115822.2222,77454878.05,492100384.6,87.65,13.15443304,13.34,255,28,29,39.5,2.8,0.15,0.06,0.15,0.06,0.644,57.375,0,0.423,34.061,103.803,21.622,5.256,2.044,0.198,31.829,54.365,46978.4,9937.86,15676.6,4927.12,169.589,340.421,89.1906,8.56107,42.7399,0,0.47156,24153.3,3483.99,10.1962,12.9715
"SS_26",26,18283420.43,83222.22222,106756602,563727571.1,102.3,10.91107474,13.55,333,254,133,35.4,2.3,0.16,0.08,0.12,0.08,1.039,69.439,0.827,0.368,91.321,160.625,15.339,5.071,5.001,0.343,70.979,79.47,46957.3,9522.01,15897.7,6231.5,209.493,331.014,107.49,13.8064,61.5739,11.6711,0.610571,22811.7,4278.49,9.10239,6.66806
"SS_27",27,32655092.71,69255.55556,149579497,654599205.6,73.9,10.95050372,13.03,284,23,14,41.5,0.8,0.16,0.07,0.08,0.07,0.732,60.72,0.405,0.619,70.429,114.4,22.439,4.43,5.178,0.166,63.508,59.099,39359.8,7885.65,14462.1,4966.67,160.864,391.843,87.7591,6.16563,58.5083,0,0.950135,22163.3,3338.28,17.1888,18.4394
"SS_28",28,21543480.25,75977.77778,97013833.84,773046557.8,102,13.54096141,12.01,232,26,37,38.4,2.5,0.14,0.03,0.14,0.03,0.66,31.866,0,0.747,64.321,97.012,13.1,1.814,4.014,0,99.117,110.383,47771.9,10459.7,16790.9,4674.47,131.455,293.001,82.0965,19.8684,54.7579,0,0.374396,21624.8,1169.14,10.6841,12.6325
"SS_29",29,40480981.95,72055.55556,40223628.05,656338173,85.04,12.56913022,12.37,177,18,148,31.8,1.5,0.1,0.02,0.1,0.02,0.668,40.757,0,1.997,66.56,110.737,13.6,2.298,3.352,0,82.765,70.864,42516.9,9801.28,15102.9,1378.92,99.5223,286.59,81.5957,9.69502,64.2061,0,0.847171,24729.3,1164.79,9.6899,10.3905
