"ASVID","N01C","N02C","N03C","N04C","N05C","N06C","N07C","N08C","N09C","N10C","N11C","N12C","N13C","N14C","N15C","N16C","N17C","N18C","N19C","N20C","N21C","N22C","N23C","N24C","N25C","N26C","N27C","N28C","N29C","N30C","N31C","N32C","N33C","N34C","N35C","N36C","N37C","N38C","N39C","N40C","N41C","N42C","N43C","N44C","N45C","N46C","N47C","N48C","N49C","N50C","N51C","N52C"
"008a4f0fdbff8e989b828d5cb2751cb9",-3.49462538297695,-3.48943599786208,-3.48776350935807,-3.48542338888372,-3.48128413259936,-3.47532260602516,-3.47615811452211,-3.4752277785642,-3.47744098173394,-3.47932457545777,-3.47941992524565,-3.48900129613446,-3.48414538737059,-3.62414408077806,-3.48099182250451,-3.47807848232086,-3.47978090508402,-3.481996463897,-3.47998029451543,-3.47675893371653,-3.68971146490437,-3.48095956950898,-3.4900610803442,-3.48148011442505,-3.48047604246679,-3.48099483941199,-3.47861663437602,-3.47976233917075,-3.47955522818854,-3.48146619962881,-3.47684485821549,-3.48074814094489,-3.48125703259069,-3.48102869279982,-3.48125998013846,-3.47742324860489,0.693147180559945,3.49650756146648,4.11087386417331,4.14313472639153,3.66356164612965,3.3322045101752,2.07944154167984,-3.47246588826891,-3.47220697794192,2.39789527279837,1.94591014905531,-3.476284254922,-3.47230345353286,-3.48235610647705,-3.47684949250389,-3.4771377292285
"0093efa2968345efef497cc1f61f701a",-4.59323767164506,-4.58804828653019,-4.58637579802618,-4.58403567755183,-4.57989642126747,-4.57393489469327,-4.57477040319022,-4.57384006723231,-4.57605327040205,-4.57793686412588,-4.57803221391376,3.2188758248682,2.39789527279837,-4.72275636944617,1.94591014905531,1.94591014905531,1.6094379124341,2.89037175789616,2.07944154167984,-4.57537122238464,1.09861228866811,-4.57957185817709,-4.58867336901231,-4.58009240309316,-4.5790883311349,-4.5796071280801,-4.57722892304413,-4.57837462783886,-4.57816751685665,-4.58007848829692,-4.5754571468836,-4.579360429613,-4.5798693212588,-4.57964098146793,-4.57987226880657,-4.576035537273,-4.81368855233694,-4.57577131973656,-4.57790048414779,-4.56991487452183,-4.57326541230997,-4.57176654359962,-4.57197197961965,-4.57107817693702,-4.57081926661003,-4.57095853372828,-4.57547546291982,-4.57489654359011,-4.57091574220097,-4.58096839514516,-4.575461781172,-4.57575001789661
"0117e9c502bd1cee660d22cb0e8b4a3c",4.93447393313069,4.38202663467388,4.46590811865458,4.85981240436167,4.89783979995091,5.30826769740121,5.63121178182137,6.10255859461357,6.20050917404269,5.08759633523238,1.79175946922805,4.07753744390572,4.75359019110636,5.18738580584075,5.96357934361845,5.64897423816121,4.38202663467388,4.75359019110636,4.49980967033027,4.56434819146784,3.85014760171006,4.45434729625351,3.80666248977032,2.94443897916644,2.484906649788,2.63905732961526,2.70805020110221,3.49650756146648,3.36729582998647,3.25809653802148,3.85014760171006,3.8286413964891,4.53259949315326,5.01063529409626,5.18178355029209,5.40267738187228,3.93182563272433,3.25809653802148,1.6094379124341,1.94591014905531,-0.449785931785541,-0.448287063075196,-0.448492499095228,0.693147180559945,2.39789527279837,2.83321334405622,3.09104245335832,-0.451417063065688,2.94443897916644,2.56494935746154,5.12396397940326,5.3890717298165
"0120eae8d0288b26275c226dadf50e68",-4.45970627902053,-4.45451689390567,-4.45284440540166,-4.45050428492731,-4.44636502864295,-4.44040350206874,1.6094379124341,1.79175946922805,1.6094379124341,2.19722457733622,3.2188758248682,3.13549421592915,2.70805020110221,-4.58922497682165,-4.4460727185481,-4.44315937836445,-4.44486180112761,-4.44707735994059,1.09861228866811,-4.44183982976012,-4.65479236094796,-4.44604046555257,1.09861228866811,-4.44656101046863,-4.44555693851038,0.693147180559945,-4.44369753041961,-4.44484323521434,-4.44463612423213,-4.4465470956724,-4.44192575425908,-4.44582903698847,-4.44633792863427,-4.44610958884341,-4.44634087618205,-4.44250414464847,-4.68015715971242,-4.44223992711204,-4.44436909152327,-4.4363834818973,-4.43973401968544,-4.4382351509751,-4.43844058699513,-4.4375467843125,-4.43728787398551,-4.43742714110376,-4.4419440702953,-4.44136515096559,-4.43738434957645,-4.44743700252063,-4.44193038854747,-4.44221862527209
"01923d322482dd6c7151c3df36abc1a5",-1.4286671916344,-1.42347780651953,1.38629436111989,1.09861228866811,1.6094379124341,2.77258872223978,2.89037175789616,2.70805020110221,3.13549421592915,2.63905732961526,3.17805383034795,3.76120011569356,4.0943445622221,2.94443897916644,3.13549421592915,2.56494935746154,2.30258509299405,2.484906649788,1.38629436111989,0,-1.62375327356183,-1.41500137816643,0.693147180559945,-1.4155219230825,-1.41451785112424,-1.41503664806944,-1.41265844303347,-1.4138041478282,-1.413597036846,-1.41550800828626,-1.41088666687294,-1.41478994960234,-1.41529884124814,-1.41507050145728,-1.41530178879591,-1.41146505726234,-1.64911807232628,-1.4112008397259,-1.41333000413713,-1.40534439451117,-1.40869493229931,2.56494935746154,3.17805383034795,4.20469261939097,4.88280192258637,6.02344759296103,6.46458830368996,4.77912349311153,5.47646355193151,2.83321334405622,2.19722457733622,1.6094379124341
"022401fcfd824c74a2ffd3ff41c78189",-4.06120984022846,-4.0560204551136,-4.05434796660959,-4.05200784613524,-4.04786858985088,-4.04190706327667,-4.04274257177362,-4.04181223581571,-4.04402543898545,-4.04590903270928,-4.04600438249716,-4.05558575338598,-4.05072984462211,4.00733318523247,-4.04757627975603,-4.04466293957238,-4.04636536233554,-4.04858092114852,-4.04656475176695,-4.04334339096805,3.80666248977032,-4.0475440267605,-4.05664553759572,-4.04806457167656,-4.0470604997183,-4.04757929666351,-4.04520109162754,-4.04634679642226,-4.04613968544006,-4.04805065688033,-4.04342931546701,-4.0473325981964,-4.0478414898422,-4.04761315005134,-4.04784443738998,-4.0440077058564,3.76120011569356,-4.04374348831997,-4.0458726527312,-4.03788704310523,-4.04123758089337,-4.03973871218303,-4.03994414820306,-4.03905034552043,-4.03879143519344,-4.03893070231169,-4.04344763150323,-4.04286871217352,-4.03888791078437,-4.04894056372856,-4.0434339497554,-4.04372218648002
"022edc60492d19d4c19eeecbef2f4006",-3.98062935356912,-3.97543996845426,-3.97376747995025,-3.9714273594759,-3.96728810319154,-3.96132657661733,-3.96216208511428,-3.96123174915637,-3.96344495232611,-3.96532854604994,-3.96542389583782,-3.97500526672664,-3.97014935796277,-4.11014805137024,-3.96699579309669,-3.96408245291304,-3.9657848756762,-3.96800043448918,-3.96598426510761,-3.96276290430871,-4.17571543549655,-3.96696354010116,-3.97606505093638,-3.96748408501722,-3.96648001305896,-3.96699881000417,-3.9646206049682,-3.96576630976293,-3.96555919878072,-3.96747017022099,-3.96284882880767,-3.96675211153706,-3.96726100318286,-3.967032663392,-3.96726395073064,-3.96342721919706,-4.20108023426101,-3.96316300166063,-3.96529216607186,-3.95730655644589,-3.96065709423403,-3.95915822552369,2.39789527279837,2.19722457733622,-3.9582109485341,1.79175946922805,2.39789527279837,3.04452243772342,2.83321334405622,3.76120011569356,3.2188758248682,2.484906649788
"028cb7dec44769395943fa5e62a0f12a",4.14313472639153,3.76120011569356,4.15888308335967,4.15888308335967,4.85981240436167,5.4971682252932,5.71373280550937,5.50125821054473,5.4510384535657,4.11087386417331,1.6094379124341,3.52636052461616,3.98898404656427,2.484906649788,2.83321334405622,1.38629436111989,-1.51868059053473,1.94591014905531,1.6094379124341,2.07944154167984,1.6094379124341,3.13549421592915,2.94443897916644,3.04452243772342,3.04452243772342,2.56494935746154,2.07944154167984,0.693147180559945,-1.51845491363926,-1.52036588507952,-1.5157445436662,-1.5196478263956,-1.5201567180414,-1.51992837825054,-1.52015966558917,-1.5163229340556,-1.75397594911954,-1.51605871651916,-1.51818788093039,-1.51020227130443,-1.51355280909257,-1.51205394038222,-1.51225937640226,-1.51136557371963,-1.51110666339263,-1.51124593051088,-1.51576285970242,-1.51518394037272,-1.51120313898357,-1.52125579192776,2.70805020110221,4.23410650459726
"02b4cbe5c2955ab2f66dc82cdf6dad64",5.31320597904179,5.3890717298165,5.40267738187228,5.40267738187228,5.72031177660741,5.23110861685459,4.72738781871234,5.39362754635236,5.97635090929793,5.54126354515843,5.37527840768417,5.54517744447956,5.72358510195238,5.08140436498446,6.04025471127741,5.40267738187228,5.11198778835654,4.57471097850338,3.52636052461616,3.49650756146648,2.83321334405622,3.43398720448515,3.25809653802148,3.55534806148941,2.83321334405622,2.63905732961526,2.89037175789616,-0.59159760048869,-0.591390489506485,-0.59330146094675,-0.588680119533433,-0.592583402262828,-0.593092293908626,-0.592863954117765,-0.593095241456402,-0.589258509922827,-0.826911524986769,-0.588994292386393,-0.591123456797622,-0.583137847171657,-0.586488384959798,-0.584989516249453,-0.585194952269485,-0.584301149586855,-0.58404223925986,-0.584181506378113,-0.588698435569652,3.89182029811063,-0.584138714850799,3.49650756146648,3.2188758248682,2.30258509299405
"02ebbca8dde221104efc62afa66a8540",-4.64202783581449,-4.63683845069962,-4.63516596219561,-4.63282584172126,-4.6286865854369,-4.6227250588627,-4.62356056735965,-4.62263023140174,-4.62484343457148,-4.62672702829531,-4.62682237808319,-4.636403748972,-4.63154784020814,3.2188758248682,-4.62839427534206,-4.62548093515841,-4.62718335792156,-4.62939891673455,-4.62738274735298,-4.62416138655408,2.89037175789616,-4.62836202234652,-4.63746353318174,-4.62888256726259,-4.62787849530433,-4.62839729224953,-4.62601908721356,-4.62716479200829,-4.62695768102609,-4.62886865246635,-4.62424731105303,-4.62815059378243,-4.62865948542823,-4.62843114563737,-4.628662432976,-4.62482570144243,3.61091791264422,-4.62456148390599,-4.62669064831722,-4.61870503869126,-4.6220555764794,-4.62055670776905,-4.62076214378909,-4.61986834110646,-4.61960943077946,-4.61974869789771,-4.62426562708925,-4.62368670775955,-4.6197059063704,-4.62975855931459,-4.62425194534143,-4.62454018206604
