"ID","nahant_02um_d1_1","nahant_02um_d2_4","nahant_02um_d3_7","nahant_02um_d4_10","nahant_02um_d5_13","nahant_02um_d6_16","nahant_02um_d7_19","nahant_02um_d8_22","nahant_02um_d9_25","nahant_02um_d10_28","nahant_02um_d11_31","nahant_02um_d12_34","nahant_02um_d13_37","nahant_02um_d14_40","nahant_02um_d15_43","nahant_02um_d16_46","nahant_02um_d17_49","nahant_02um_d18_52","nahant_02um_d19_55","nahant_02um_d20_58","nahant_02um_d21_61","nahant_02um_d22_64","nahant_02um_d23_67","nahant_02um_d24_70","nahant_02um_d25_73","nahant_02um_d26_76","nahant_02um_d27_79","nahant_02um_d28_82","nahant_02um_d29_85","nahant_02um_d30_88","nahant_02um_d31_91","nahant_02um_d32_94","nahant_02um_d33_97","nahant_02um_d34_100","nahant_02um_d35_103","nahant_02um_d36_106","nahant_02um_d37_109","nahant_02um_d38_112","nahant_02um_d39_115","nahant_02um_d40_118","nahant_02um_d41_121","nahant_02um_d42_124","nahant_02um_d43_127","nahant_02um_d44_130","nahant_02um_d45_133","nahant_02um_d46_136","nahant_02um_d47_139","nahant_02um_d48_142","nahant_02um_d49_145","nahant_02um_d50_148","nahant_02um_d51_151","nahant_02um_d52_154","nahant_02um_d53_157","nahant_02um_d54_160","nahant_02um_d55_163","nahant_02um_d56_166","nahant_02um_d57_169","nahant_02um_d58_172","nahant_02um_d59_175","nahant_02um_d60_178","nahant_02um_d61_181","nahant_02um_d62_184","nahant_02um_d63_187","nahant_02um_d64_190","nahant_02um_d65_193","nahant_02um_d66_196","nahant_02um_d67_199","nahant_02um_d68_202","nahant_02um_d69_205","nahant_02um_d70_208","nahant_02um_d71_211","nahant_02um_d72_214","nahant_02um_d73_217","nahant_02um_d74_220","nahant_02um_d75_223","nahant_02um_d76_226","nahant_02um_d77_229","nahant_02um_d78_232","nahant_02um_d79_235","nahant_02um_d80_238","nahant_02um_d81_241","nahant_02um_d82_244","nahant_02um_d83_247","nahant_02um_d84_250","nahant_02um_d85_253","nahant_02um_d86_256","nahant_02um_d87_259","nahant_02um_d88_262","nahant_02um_d89_265","nahant_02um_d90_268","nahant_02um_d91_271","nahant_02um_d92_274"
"OTU_224",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,2,0,2,0,0,2,0,0,0,0,1
"OTU_3721",1,0,1,1,1,2,0,1,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,1,1,2,2,0,2,1,1,1,0,0
"OTU_23",1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,1,1,2,0,1,1,0,0,0,1,0,0,2,1,0,1,3,3,4,0,0,1,0,1,1,0,0,0,3,3,1,21,26,16,19,13,1,19,11,6,28,21,15,11,16,3,4,7,10,7,8,3,11,3,0,2,4,0,1
"OTU_525",3,0,0,0,0,0,0,0,3,1,1,7,7,7,3,3,3,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,0,2,0,2,0,1,3,3,4,7,2,7,4,4,6,3,2,1,0,0,0,0,1,3,2,3,2,3,9,21,94,178,29,13,6,5,6,2,2,13,12,0,29,26,37,22,22,6,11,6,9,9,7,4,6,3,2,2,4,3
"OTU_2101",2,0,1,0,2,1,3,1,3,3,1,5,5,9,7,5,3,2,2,3,0,1,2,0,0,4,6,6,4,2,1,2,0,0,1,2,2,2,3,2,2,0,1,0,2,1,1,6,2,3,1,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,1,0,1,1,2,2,1,1
"OTU_1810",53,34,44,29,23,27,55,47,61,28,45,19,12,24,12,18,27,28,120,84,163,103,71,79,56,53,18,35,79,38,46,48,8,37,19,7,4,7,9,11,23,12,56,16,20,44,9,50,42,66,197,149,108,53,46,33,29,23,38,15,30,34,42,37,99,73,68,80,93,17,53,45,89,108,54,53,25,22,18,16,13,18,14,17,20,25,19,26,24,19,12,16
"OTU_249",30,19,21,14,22,14,15,18,19,12,15,7,9,10,11,9,10,12,8,22,22,34,23,31,30,30,24,26,35,27,24,20,0,8,12,3,5,2,8,6,10,17,10,12,12,13,4,16,6,7,9,8,2,1,0,1,1,0,1,0,3,3,1,0,0,0,2,1,0,4,3,0,3,4,6,4,6,2,4,2,1,5,4,5,3,3,2,2,3,5,2,1
"OTU_368",23,26,17,16,8,17,15,14,17,11,15,15,10,10,13,14,13,12,7,18,13,12,20,18,28,14,23,15,6,10,10,11,3,9,9,10,2,4,6,16,18,14,12,14,15,20,20,12,6,6,4,3,4,7,10,15,10,8,8,9,14,3,0,3,0,1,1,2,0,3,0,2,0,0,0,0,1,1,2,2,0,1,2,1,4,3,5,9,4,6,9,6
"OTU_6342",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,3,0,0,0,2,1,0,0,0,0,0,1,0,0,2,1,0,0,2,4,0,1,0,2,0,3,4,2,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0
"OTU_679",0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,2,0,0,1,1,0,0,0,1,3,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,4,0,0,0,0,1,0,1,0,0,0
"OTU_4123",0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,0,1,1,2,0,0,0,2,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0
"OTU_2562",1,2,0,2,0,2,0,1,1,1,2,1,2,1,2,7,1,0,4,2,0,2,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,2,1,2,0,2,1,0,0,0,1,0,0,1,2,1,0,0,2,1,2,0,1,2,1,1,0,1,4,2,2,2,3,1,7,4,1,6,3,7,3,6,4,1,5,3,4,6,5,10,2,1,2,1,2,2
"OTU_2854",0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2,1,0,5,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,3,0,1,0,0,0,0,0,0
