"ASVID","Nov2rep1","Nov3rep1","Nov6rep1","Nov9rep1","Nov10rep1","Nov11rep1","Nov12rep1","Nov13rep1","Nov16rep1","Nov17rep1","Nov18rep1","Nov19rep1","Nov20rep1","Nov24rep1","Nov25rep1","Nov26rep1","Nov27rep1","Dec1rep1","Dec2rep1","Dec3rep1","Dec7rep1","Dec8rep1","Dec9rep1","Dec10rep1","Dec11rep1","Dec14rep1","Dec15rep1","Dec16rep1","Dec17rep1","Dec18rep1","Dec21rep1","Dec23rep1","Jan4rep1","Jan5rep1","Jan6rep1","Jan7rep1","Jan11rep1","Jan12rep1","Jan13rep1","Jan14rep1","Jan15rep1","Jan18rep1","Jan19rep1","Jan20rep1","Jan21rep1","Jan25rep1","Jan26rep1","Jan27rep1","Jan28rep1","Jan29rep1","Feb1rep1","Feb2rep1","Feb3rep1","Feb4rep1","Feb5rep1","Feb8rep1","Feb9rep1","Feb11rep1","Feb12rep1","Feb15rep1","Feb16rep1","Feb18rep1","Feb19rep1","Feb22rep1","Feb23rep1","Feb25rep1","Feb26rep1","Feb29rep1","Mar2rep1","Mar3rep1","Mar4rep1","Mar7rep1","Mar8rep1","Mar9rep1","Mar10rep1","Mar11rep1","Mar14rep1","Mar15rep1","Mar21rep1","Mar22rep1","Mar23rep1","Mar24rep1","Mar28rep1","Apr18rep1"
"OTU_1",5.31320597904179,5.40267738187228,5.12989871492307,4.63472898822964,5.06259503302697,3.87120101090789,5.10594547390058,4.91998092582813,5.13579843705026,4.96284463025991,4.90527477843843,5.04985600724954,4.99043258677874,4.51085950651685,4.62497281328427,4.70048036579242,4.80402104473326,4.89783979995091,5.01063529409626,4.85203026391962,5.12989871492307,5.18178355029209,4.89034912822175,5.05624580534831,4.69134788222914,5.20948615284142,5.21493575760899,5.29831736654804,5.25749537202778,4.52178857704904,4.64439089914137,4.86753445045558,4.45434729625351,4.35670882668959,4.44265125649032,4.14313472639153,4.81218435537242,4.45434729625351,4.31748811353631,3.95124371858143,4.59511985013459,4.29045944114839,4.4188406077966,4.27666611901606,4.24849524204936,4.11087386417331,4.26267987704132,4.21950770517611,4.24849524204936,4.39444915467244,4.24849524204936,4.33073334028633,4.38202663467388,4.67282883446191,4.57471097850338,4.43081679884331,4.54329478227,4.4188406077966,4.34380542185368,4.36944785246702,4.62497281328427,4.62497281328427,3.91202300542815,4.23410650459726,4.26267987704132,4.67282883446191,4.15888308335967,4.48863636973214,4.40671924726425,4.71849887129509,4.40671924726425,4.76217393479776,4.47733681447821,4.38202663467388,4.34380542185368,4.47733681447821,4.57471097850338,4.9416424226093,4.67282883446191,4.75359019110636,4.75359019110636,5.62762111369064,3.36729582998647,3.58351893845611
"OTU_2",4.56434819146784,2.19722457733622,4.58496747867057,4.95582705760126,4.86753445045558,4.7361984483945,5.03695260241363,5.07517381523383,5.36597601502185,5.18738580584075,4.99721227376411,4.12713438504509,4.34380542185368,4.4188406077966,4.96284463025991,4.83628190695148,4.92725368515721,4.90527477843843,5.12396397940326,5.11799381241676,5.01063529409626,5.14749447681345,5.25749537202778,5.21493575760899,5.18738580584075,4.21950770517611,4.27666611901606,3.55534806148941,3.13549421592915,4.31748811353631,4.92725368515721,4.95582705760126,4.78749174278205,4.88280192258637,4.67282883446191,4.45434729625351,4.97673374242057,4.88280192258637,4.81218435537242,4.07753744390572,4.86753445045558,4.80402104473326,4.17438726989564,4.86753445045558,4.70953020131233,4.06044301054642,4.34380542185368,4.70953020131233,4.35670882668959,4.38202663467388,4.58496747867057,4.49980967033027,4.47733681447821,4.46590811865458,4.59511985013459,4.56434819146784,4.20469261939097,4.23410650459726,4.4188406077966,4.00733318523247,4.11087386417331,4.31748811353631,4.21950770517611,4.23410650459726,4.11087386417331,4.11087386417331,3.63758615972639,3.97029191355212,3.91202300542815,4.15888308335967,4.00733318523247,3.93182563272433,3.98898404656427,4.11087386417331,3.97029191355212,4.12713438504509,3.78418963391826,3.97029191355212,4.04305126783455,3.61091791264422,3.52636052461616,4.0943445622221,3.25809653802148,0.693147180559945
"OTU_3",5.00394630594546,2.30258509299405,4.88280192258637,5.06890420222023,5.09375020080676,5.12396397940326,5.06890420222023,4.82028156560504,4.72738781871234,4.47733681447821,4.66343909411207,4.52178857704904,4.63472898822964,4.79579054559674,4.58496747867057,4.56434819146784,4.63472898822964,4.53259949315326,4.35670882668959,4.44265125649032,5.12396397940326,5.04985600724954,4.70953020131233,4.68213122712422,4.44265125649032,4.58496747867057,4.60517018598809,4.24849524204936,4.18965474202643,4.33073334028633,4.35670882668959,4.7361984483945,4.31748811353631,4.38202663467388,4.45434729625351,4.80402104473326,4.40671924726425,4.64439089914137,4.53259949315326,4.44265125649032,4.61512051684126,4.40671924726425,4.7361984483945,4.62497281328427,4.76217393479776,4.80402104473326,4.7361984483945,4.64439089914137,4.7361984483945,4.7361984483945,4.36944785246702,4.48863636973214,4.70048036579242,4.69134788222914,4.53259949315326,4.62497281328427,4.64439089914137,4.67282883446191,4.68213122712422,4.68213122712422,4.60517018598809,4.74493212836325,4.65396035015752,4.70048036579242,4.44265125649032,4.20469261939097,4.67282883446191,4.39444915467244,4.23410650459726,4.06044301054642,4.27666611901606,4.14313472639153,3.98898404656427,4.24849524204936,4.12713438504509,3.80666248977032,3.93182563272433,3.76120011569356,4.02535169073515,3.36729582998647,3.66356164612965,1.94591014905531,2.99573227355399,2.07944154167984
"OTU_4",4.66343909411207,1.79175946922805,4.53259949315326,4.29045944114839,4.44265125649032,4.78749174278205,4.17438726989564,3.98898404656427,3.52636052461616,3.80666248977032,3.91202300542815,3.97029191355212,4.02535169073515,4.56434819146784,4.60517018598809,4.44265125649032,4.45434729625351,4.07753744390572,4.21950770517611,4.06044301054642,4.47733681447821,4.38202663467388,4.20469261939097,4.23410650459726,4.36944785246702,4.15888308335967,4.26267987704132,4.29045944114839,4.17438726989564,4.26267987704132,4.48863636973214,4.44265125649032,4.26267987704132,4.40671924726425,4.33073334028633,4.54329478227,4.26267987704132,4.23410650459726,4.15888308335967,4.81218435537242,4.20469261939097,4.27666611901606,3.97029191355212,4.43081679884331,4.18965474202643,4.26267987704132,4.17438726989564,4.18965474202643,4.12713438504509,4.34380542185368,4.17438726989564,4.14313472639153,4.00733318523247,4.11087386417331,4.31748811353631,4.07753744390572,4.15888308335967,4.48863636973214,4.49980967033027,4.24849524204936,3.97029191355212,3.71357206670431,3.87120101090789,3.85014760171006,3.49650756146648,1.94591014905531,3.63758615972639,4.46590811865458,4.61512051684126,4.46590811865458,4.64439089914137,4.61512051684126,4.24849524204936,4.71849887129509,4.61512051684126,4.62497281328427,4.67282883446191,4.26267987704132,4.81218435537242,4.24849524204936,4.47733681447821,3.17805383034795,4.72738781871234,3.46573590279973
"OTU_13",2.484906649788,1.94591014905531,2.07944154167984,1.38629436111989,1.38629436111989,1.09861228866811,1.79175946922805,1.38629436111989,1.6094379124341,1.94591014905531,0,2.39789527279837,2.56494935746154,2.56494935746154,1.79175946922805,1.09861228866811,2.484906649788,3.29583686600433,3.3322045101752,2.99573227355399,4.21950770517611,4.02535169073515,3.09104245335832,3.36729582998647,3.04452243772342,3.29583686600433,3.2188758248682,3.29583686600433,3.36729582998647,2.56494935746154,3.04452243772342,3.40119738166216,3.09104245335832,3.36729582998647,3.3322045101752,3.71357206670431,3.55534806148941,3.66356164612965,3.2188758248682,4.27666611901606,3.66356164612965,3.80666248977032,4.35670882668959,4.04305126783455,3.78418963391826,4.23410650459726,4.26267987704132,4.39444915467244,3.93182563272433,4.23410650459726,4.23410650459726,4.4188406077966,4.0943445622221,4.76217393479776,3.43398720448515,4.30406509320417,4.58496747867057,4.85981240436167,4.17438726989564,4.51085950651685,5.26269018890489,4.69134788222914,5.06259503302697,5.33271879326537,5.29330482472449,5.65248918026865,5.4510384535657,5.18178355029209,5.27811465923052,4.91265488573605,4.57471097850338,4.66343909411207,4.8283137373023,4.58496747867057,4.71849887129509,4.67282883446191,4.52178857704904,4.43081679884331,3.63758615972639,3.93182563272433,3.98898404656427,2.19722457733622,3.80666248977032,3.80666248977032
"OTU_6",3.17805383034795,1.09861228866811,3.40119738166216,4.56434819146784,4.93447393313069,4.91998092582813,4.44265125649032,4.45434729625351,4.24849524204936,4.21950770517611,3.68887945411394,2.70805020110221,3.17805383034795,4.38202663467388,4.61512051684126,4.30406509320417,3.95124371858143,4.23410650459726,4.44265125649032,4.27666611901606,4.39444915467244,4.24849524204936,3.97029191355212,3.71357206670431,4.02535169073515,3.04452243772342,3.09104245335832,2.07944154167984,2.39789527279837,3.36729582998647,4.11087386417331,3.87120101090789,4.34380542185368,4.30406509320417,4.52178857704904,4.66343909411207,4.57471097850338,4.60517018598809,4.60517018598809,4.75359019110636,4.35670882668959,4.59511985013459,4.35670882668959,4.53259949315326,4.20469261939097,4.90527477843843,4.39444915467244,4.43081679884331,4.48863636973214,4.47733681447821,4.21950770517611,4.21950770517611,4.52178857704904,4.65396035015752,4.51085950651685,4.33073334028633,4.62497281328427,4.51085950651685,4.02535169073515,4.40671924726425,4.17438726989564,4.20469261939097,3.73766961828337,4.15888308335967,3.36729582998647,3.93182563272433,4.34380542185368,3.8286413964891,3.29583686600433,3.73766961828337,3.73766961828337,4.12713438504509,3.61091791264422,3.80666248977032,3.43398720448515,3.3322045101752,2.89037175789616,1.79175946922805,2.56494935746154,1.94591014905531,2.30258509299405,0.501192174126484,2.39789527279837,-0.141529423685311
"OTU_5",3.95124371858143,1.09861228866811,4.14313472639153,4.43081679884331,4.17438726989564,4.15888308335967,4.53259949315326,4.45434729625351,4.47733681447821,4.43081679884331,4.31748811353631,3.66356164612965,3.78418963391826,4.00733318523247,4.55387689160054,4.68213122712422,4.66343909411207,4.70953020131233,4.70953020131233,4.57471097850338,4.53259949315326,4.27666611901606,4.91998092582813,4.72738781871234,4.90527477843843,3.66356164612965,3.49650756146648,2.70805020110221,2.94443897916644,3.80666248977032,4.45434729625351,4.39444915467244,4.55387689160054,4.51085950651685,4.48863636973214,4.31748811353631,4.68213122712422,4.36944785246702,4.34380542185368,3.98898404656427,4.23410650459726,4.34380542185368,3.98898404656427,4.04305126783455,4.00733318523247,3.87120101090789,3.85014760171006,3.97029191355212,4.0943445622221,4.11087386417331,3.93182563272433,3.8286413964891,3.63758615972639,4.04305126783455,3.73766961828337,3.71357206670431,3.87120101090789,3.71357206670431,3.68887945411394,2.89037175789616,3.36729582998647,2.99573227355399,3.25809653802148,2.99573227355399,3.55534806148941,3.25809653802148,3.2188758248682,3.17805383034795,3.13549421592915,3.63758615972639,3.43398720448515,3.29583686600433,3.63758615972639,3.78418963391826,3.29583686600433,3.36729582998647,3.43398720448515,3.40119738166216,2.77258872223978,2.94443897916644,3.36729582998647,3.55534806148941,3.40119738166216,0
"OTU_9",4.0943445622221,1.94591014905531,4.00733318523247,4.53259949315326,4.63472898822964,4.51085950651685,4.15888308335967,4.06044301054642,3.89182029811063,3.25809653802148,3.04452243772342,2.484906649788,3.09104245335832,4.40671924726425,4.02535169073515,3.98898404656427,3.68887945411394,3.98898404656427,3.73766961828337,4.24849524204936,4.17438726989564,4.17438726989564,3.93182563272433,4.06044301054642,3.76120011569356,3.04452243772342,3.09104245335832,2.94443897916644,1.79175946922805,2.56494935746154,4.04305126783455,3.78418963391826,3.98898404656427,4.15888308335967,3.91202300542815,4.27666611901606,3.52636052461616,4.15888308335967,3.97029191355212,4.06044301054642,4.04305126783455,3.80666248977032,4.27666611901606,4.49980967033027,4.24849524204936,4.39444915467244,4.20469261939097,4.15888308335967,4.27666611901606,4.14313472639153,4.07753744390572,4.12713438504509,4.47733681447821,4.43081679884331,4.20469261939097,4.38202663467388,4.29045944114839,4.34380542185368,3.68887945411394,4.11087386417331,4.39444915467244,4.23410650459726,4.18965474202643,4.31748811353631,3.73766961828337,3.52636052461616,4.12713438504509,3.66356164612965,3.71357206670431,3.71357206670431,3.55534806148941,3.29583686600433,2.89037175789616,2.99573227355399,3.09104245335832,2.99573227355399,2.94443897916644,2.77258872223978,1.6094379124341,2.07944154167984,2.07944154167984,0.271774130571743,0.693147180559945,1.6094379124341
"OTU_8",2.70805020110221,0,2.39789527279837,2.19722457733622,3.09104245335832,2.63905732961526,2.19722457733622,2.07944154167984,2.07944154167984,3.09104245335832,2.63905732961526,2.83321334405622,2.70805020110221,3.89182029811063,4.06044301054642,3.76120011569356,3.61091791264422,3.46573590279973,3.71357206670431,3.87120101090789,4.35670882668959,3.98898404656427,4.07753744390572,4.0943445622221,3.8286413964891,3.29583686600433,3.68887945411394,3.68887945411394,2.99573227355399,4.31748811353631,3.36729582998647,3.63758615972639,3.93182563272433,4.18965474202643,4.21950770517611,4.33073334028633,3.85014760171006,3.76120011569356,3.98898404656427,4.02535169073515,4.06044301054642,3.8286413964891,3.8286413964891,4.27666611901606,4.23410650459726,4.45434729625351,4.58496747867057,4.36944785246702,4.21950770517611,4.12713438504509,4.12713438504509,4.18965474202643,4.30406509320417,3.8286413964891,3.97029191355212,4.27666611901606,4.34380542185368,4.18965474202643,4.29045944114839,3.73766961828337,4.46590811865458,4.27666611901606,4.21950770517611,4.14313472639153,3.85014760171006,3.98898404656427,4.24849524204936,4.30406509320417,4.18965474202643,4.17438726989564,3.98898404656427,4.30406509320417,4.06044301054642,4.06044301054642,4.17438726989564,4.02535169073515,3.73766961828337,3.68887945411394,3.8286413964891,3.40119738166216,3.71357206670431,3.17805383034795,2.99573227355399,0
"OTU_7",2.56494935746154,1.79175946922805,3.46573590279973,2.70805020110221,2.63905732961526,2.07944154167984,1.6094379124341,1.6094379124341,-0.482482581777854,3.40119738166216,4.30406509320417,5.02388052084628,4.48863636973214,4.07753744390572,3.68887945411394,3.98898404656427,3.46573590279973,3.04452243772342,2.99573227355399,3.29583686600433,4.00733318523247,3.29583686600433,3.3322045101752,3.3322045101752,3.04452243772342,3.55534806148941,3.85014760171006,4.74493212836325,4.53259949315326,3.25809653802148,3.76120011569356,3.58351893845611,3.87120101090789,3.93182563272433,4.14313472639153,4.21950770517611,4.00733318523247,3.76120011569356,4.30406509320417,3.2188758248682,3.97029191355212,4.06044301054642,4.70048036579242,4.39444915467244,3.91202300542815,4.35670882668959,4.26267987704132,4.35670882668959,4.12713438504509,4.31748811353631,3.73766961828337,3.8286413964891,3.93182563272433,4.11087386417331,4.29045944114839,3.98898404656427,3.87120101090789,3.68887945411394,3.49650756146648,3.40119738166216,3.8286413964891,3.66356164612965,3.36729582998647,3.98898404656427,3.71357206670431,3.29583686600433,3.46573590279973,3.36729582998647,3.40119738166216,3.09104245335832,2.89037175789616,3.2188758248682,2.99573227355399,3.17805383034795,2.63905732961526,2.99573227355399,2.56494935746154,1.09861228866811,2.83321334405622,1.79175946922805,2.56494935746154,0,0.693147180559945,2.94443897916644
